# doc_id: p1074_35556036532208
# work_id: 8208c84c-fe4c-406e-9c20-76ebbed71475
# title: Alternative fuels demonstration program : environmental impact statement.
# grade options: correct|minor_issue|wrong|cant_tell
# page numbers are ESTIMATED from char offsets at 2500 chars/page

field,extracted_value,source_pages,critic_verdict,model_confidence,your_grade,your_notes
title,Alternative fuels demonstration program : environmental impact statement.,NUL,PASS_WITH_NOTE,high,,"The extracted title is plausible and well-formed for an EIS document, following standard bibliographic conventions. However, no cited page text was provided to verify the extraction, and only a single source (NUL) was used. Confidence is medium due to the absence of corroborating page-level evidenc…"
year,2026,"NUL, regex (first 3 pages)",HUMAN_REVIEW,low,,"The extracted year of 2026 is a future date and fails the upper-bound validity check for an EIS document. The regex independently found 1977, which is a plausible EIS publication year and falls within the valid range. No cited page text was provided to adjudicate between the two values. A human rev…"
eis_type,Final,"regex (first page), Sonnet (first 2 pages)",PASS_WITH_NOTE,high,,"The extracted value 'Final' is well-supported by both extraction methods and the evidence phrase is unambiguous. However, no cited page text was provided, preventing direct verification against the source document. The extraction is accepted with the caveat that source text confirmation is unavaila…"
lead_agency,"[""United States. Energy Research and Development Administration""]",NUL,PASS,high,,"The single extracted agency, United States. Energy Research and Development Administration, is confirmed present in the NUL contributors field with no role text artifacts. No cited title pages were provided for cross-verification, which slightly limits confidence, but the NUL source alone is suffic…"
summary.project_description,"The Alternative Fuels Demonstration Program (formerly the Synthetic Fuels Commercialization Program) is a federal effort to prove that fuels made from coal, oil shale, and organic wastes can be produced at commercial scale. The program would build large plants using technologies such as high- and low-Btu coal gasification, coal liquefaction, oil shale surface and in-place processing, and solid waste pyrolysis. Production options range from 350,000 to 1.7 million barrels per day of oil-equivalent fuel by 1985, supported by federal incentives like loan guarantees. Plants would be built across f…","1-51, 49-99, 97-147, 337-387, 385-435, 433-483, 481-531",PASS_WITH_NOTE,high,,The extraction is broadly accurate and well-supported by the cited pages. Two minor concerns: (1) the specific claim of '49 written comments' and 'January 1976' draft filing date are not verifiable f…
summary.affected_community,"The program would affect six regions: the Appalachian, Eastern Interior, Fort Union, Powder River, and Four Corners coal regions, and the Oil Shale Region in Colorado, Utah, and Wyoming. Permanent population increases could reach tens of thousands per region, with the largest impacts in sparsely populated rural Western counties and on Indian reservations including the Navajo, Crow, Northern Cheyenne, Fort Peck, Fort Berthold, and Uintah and Ouray. Many affected counties have predominantly blue-collar workforces, below-average incomes, aging or substandard housing, and economies dependent on a…","1-51, 49-99, 97-147, 145-195, 193-243, 241-291, 289-339, 385-435, 433-483, 481-531",PASS_WITH_NOTE,high,,
summary.alternatives_overview,"Thirteen main alternatives are evaluated, including no action (increased oil and gas imports or accepting an energy shortfall), direct use of coal, increased energy conservation, nuclear, geothermal, solar, wind, hydroelectric, tidal, tar sands, more domestic oil and gas, a hydrogen economy, and energy from solid wastes. Different program sizes are also analyzed, from 350,000 up to 1.7 million barrels per day, along with $2, $4, and $6 billion budget options. Except for varying production levels, none of the alternatives would meet all program goals, and renewables like solar, wind, geotherma…","1-51, 49-99, 337-387, 433-483, 481-531, 817-867",PASS_WITH_NOTE,high,,
summary.environmental_impact,"Plants would emit sulfur oxides, nitrogen oxides, particulates, hydrocarbons, carbon monoxide, aldehydes, and trace amounts of toxic metals and polycyclic aromatic compounds that may pose chronic health risks, including cancer. Water demand is large—up to about 60,000 acre-feet per year per plant for some technologies—and could strain limited supplies in the Powder River, Fort Union, Four Corners, and Oil Shale regions, while raising salinity in the Colorado River and threatening groundwater from mining and spent shale leachate. Land impacts include up to roughly 171,000 acres disturbed cumul…","1-51, 49-99, 97-147, 145-195, 193-243, 241-291, 289-339, 337-387, 385-435, 433-483, 481-531, 817-867",PASS_WITH_NOTE,high,,
summary.public_response,"After the Draft EIS was filed in January 1976, ERDA received 49 written comments during and after the two-month public comment period from federal agencies, many state governments, industry groups, environmental organizations, and Indian tribes, in addition to testimony at public meetings and Congressional hearings. In response, the Final EIS was substantially revised, expanding analysis of water availability and quality, socioeconomic effects, community growth mitigation, surface mine reclamation, and coal slurry pipelines. Concerns raised included unresolved Indian water rights claims in th…","1-51, 49-99, 193-243, 289-339, 385-435, 433-483",PASS_WITH_NOTE,high,,
alternatives,"[{""name"": ""No Action (Increased Oil and Gas Imports)"", ""description"": ""Assumes all parts of the 1975 Energy Program except the synthetic fuels commercialization program are adopted, with the resulting domestic energy shortfall of 1 million barrels per day oil equivalent met by increased oil and gas imports. Includes a sub-option of an energy shortfall if import constraints prevent additional impo…",823-852,PASS,high,,"All extracted alternatives are present and discussed in the cited text. The No Action alternative is included with its two sub-options (increased imports and energy shortfall). Names, descriptions, and page citations are consistent with the document content, and no outside-knowledge alternatives we…"
themes,"{""themes"": [""Energy Systems"", ""Wildlife and Natural Areas"", ""Indigenous Narratives and Sovereignty""], ""subthemes"": [""Energy Extraction and Production"", ""Habitat Conservation and Biodiversity"", ""Water Scarcity and Environmental Change"", ""Sovereignty, Rights, and Self-Determination"", ""Indigenous Knowledge and Environmental Stewardship""]}",summary,HUMAN_REVIEW,high,,"No cited page text was provided, making it impossible to verify that the extracted themes and subthemes are grounded in the actual document content. The thematic choices are plausible given the justification narrative, but the absence of source text is a critical gap. A human reviewer should confir…"
location,"{""places"": [{""name"": ""Appalachian Region"", ""kind"": ""region"", ""state"": null}, {""name"": ""Eastern Interior Region"", ""kind"": ""region"", ""state"": null}, {""name"": ""Fort Union Region"", ""kind"": ""region"", ""state"": null}, {""name"": ""Powder River Region"", ""kind"": ""region"", ""state"": null}, {""name"": ""Four Corners Region"", ""kind"": ""region"", ""state"": null}, {""name"": ""Oil Shale Region (Colorado, Utah, Wyoming)"", ""…",1-30,PASS_WITH_NOTE,high,,"All six place names are confirmed in the cited pages and the multi-site flag is correctly set. The geocoded coordinates for several regions (Eastern Interior, Fort Union, Powder River, Four Corners) are clearly wrong — they resolve to Philippines, Guadeloupe, Connecticut, etc. — but the core extrac…"
key_people.agency_preparers,"[{""name"": ""James L. Liverman"", ""role"": ""Assistant Administrator for Environment and Safety, Responsible Official""}]",1-30,HUMAN_REVIEW,medium,,"James L. Liverman and the three agencies are verifiable in the cited text. However, the Columbia Gas System Service Corporation quote is flagged as unverified by the extractor itself, the source page…"
key_people.cooperating_agencies,"[{""name"": ""Energy Research and Development Administration (ERDA)""}, {""name"": ""U.S. Department of the Interior""}, {""name"": ""U.S. Environmental Protection Agency (EPA)""}]",1-30,HUMAN_REVIEW,medium,,
key_people.public_commenters,"[{""name"": ""Columbia Gas System Service Corporation"", ""kind"": ""organization"", ""stance"": ""conditional"", ""quote"": ""Initially, it should be pointed out that there are no commercial plants in operation in the U.S. today; consequently, the DES was to be written in general terms and was not intended to be process specific. Therefore, it follows that, the calculations, data and conclusions presented were…",1011-1035,HUMAN_REVIEW,medium,,
