# doc_id: p1074_35556036862068
# work_id: 1d9ca3fe-6260-4990-b4aa-081821da89a5
# title: Olympic Winter Games, 1980, Lake Placid, North Elba and Wilmington and vicinity : environmental impact statement.
# grade options: correct|minor_issue|wrong|cant_tell
# page numbers are ESTIMATED from char offsets at 2500 chars/page

field,extracted_value,source_pages,critic_verdict,model_confidence,your_grade,your_notes
title,"Olympic Winter Games, 1980, Lake Placid, North Elba and Wilmington and vicinity : environmental impact statement.",NUL,PASS_WITH_NOTE,high,,"The extracted title is well-formed, specific, and highly consistent with what an EIS title for the 1980 Lake Placid Winter Olympics would look like. Only one source (NUL) was cited with no page-level text provided for verification, but the title itself is internally coherent and credible. No major …"
year,2026,"NUL, regex (first 3 pages)",HUMAN_REVIEW,low,,"The extracted year of 2026 fails the validity range check as it exceeds the current year. The regex-derived value of 1980 is plausible for an EIS document and falls within the valid range, while 2026 does not. No cited page text was provided to adjudicate between the two sources, making human revie…"
eis_type,Draft,"regex (first page), Sonnet (first 2 pages)",RE_EXTRACT,low,,"The evidence phrase clearly shows the checkbox is marked on 'Final' with '(X) Final Environmental Statement', while 'Draft' is unchecked '( ) Draft'. The extracted value of 'Draft' directly contradicts the cited evidence. The correct extraction should be 'Final', consistent with Sonnet's reading. T…"
lead_agency,"[""United States. Economic Development Administration""]",NUL,PASS,high,,"The single extracted agency, United States. Economic Development Administration, is cleanly formatted and sourced from NUL. No cited title pages were provided for cross-verification, which slightly limits confidence, but the NUL source attribution is consistent with the extraction. No issues with r…"
summary.project_description,"The 1980 XIII Olympic Winter Games at Lake Placid, New York will include construction or upgrade of major venues such as a new Field House/Arena, a refrigerated 400-meter Speed Skating Oval at the high school, 70 and 90 Meter Ski Jumps at Intervale, refrigerated bobsled and luge runs at Mt. Van Hoevenberg, expanded Alpine facilities at Whiteface Mountain, an Olympic Village at Ray Brook (designed for after-use as a federal correctional institution), and a Television Center on the Chubb River. The program is supported by a roughly $50 million LPOOC construction budget plus about $9.3 million i…","145-195, 193-243, 289-339, 337-387, 481-531, 529-579, 673-723",RE_EXTRACT,high,,The extraction contains at least one direct numerical error (266-foot vs. 270-foot ski jump tower as stated in the cited pages). Multiple specific figures and claims in all five fields cannot be veri…
summary.affected_community,"The directly affected communities are the Town of North Elba (including the Village of Lake Placid), the Village of Saranac Lake, and the Town of Wilmington, with secondary effects in surrounding Essex and Franklin County towns such as Keene, Jay, Harrietstown, Elizabethtown, and others. The area has a permanent population of roughly 6,500–12,000 that swells with seasonal residents and tourists, and faces challenges including high seasonal unemployment, incomes well below the state average, nearly 11% of families in poverty, and overcrowded or substandard housing in some towns. Specific neigh…","145-195, 193-243, 289-339, 337-387, 385-435, 433-483, 481-531, 529-579, 673-723",RE_EXTRACT,high,,
summary.alternatives_overview,"The EIS evaluated a No Olympics alternative, alternative sites for each major facility, alternative distribution patterns concentrating or dispersing venues, and growth scenarios ranging from a no-Olympics baseline through low-, mid-, and high-range projections. Site alternatives examined included Bassett Mountain and Mt. Whitney for the 90 Meter Ski Jump; the Horse Show Grounds, Fish & Game Club, Holiday Inn, and existing Ray Brook complex for the Field House, Speed Skating Oval, and Olympic Village; and the Airport/Horse Show Grounds for the Television Center to avoid the Chubb River floodp…","145-195, 193-243, 241-291, 289-339, 337-387, 385-435, 433-483, 481-531, 529-579, 577-627, 625-675, 673-723",RE_EXTRACT,high,,
summary.environmental_impact,"Construction will cause short-term soil disturbance, erosion, dust, noise, and tree clearing—including roughly 57 acres of forest at Ray Brook, about 10 acres at Whiteface, and filling of about 3,000 square feet of the Ausable River floodplain at the 90 Meter Ski Jump—with potential siltation of the Chubb, Ausable, and Ray Brook waterways. The 266-foot ski jump tower at Intervale will create a significant long-term visual impact on the rural setting of John Brown's Farm and on travel corridors along Routes 73 and 86, while the refrigerated venues, Olympic Village, and Television Center will c…","145-195, 193-243, 241-291, 289-339, 337-387, 385-435, 433-483, 481-531, 529-579, 577-627, 625-675, 673-723",RE_EXTRACT,high,,
summary.public_response,"A North Elba town referendum approved the Olympic concept, and household surveys showed strong satisfaction with local police and fire services, but residents and officials voiced concerns about fiscal burdens, with the LPOOC affirming the Games will not proceed if they impose severe local costs. The 90 Meter ski jump's height drew particular controversy, with the Adirondack Park Agency granting conceptual approval at Intervale while NYSDEC Commissioner Peter A.A. Berle voted to disapprove, and the State Historic Preservation Officer found no adverse effect on John Brown's Farm. Extensive con…","145-195, 193-243, 241-291, 289-339, 337-387, 385-435, 433-483, 481-531, 577-627, 625-675, 673-723",RE_EXTRACT,high,,
alternatives,"[{""name"": ""Field House/Arena – Horse Show Grounds"", ""description"": ""Locating the new Field House and refrigerated Speed Skating Oval on the North Elba Park District-owned Horse Show Grounds along Route 73, approximately 1¼ miles from Lake Placid Village center, rather than in the Village Center as proposed by LPOOC."", ""source_pages"": [""595-674""]}, {""name"": ""Field House/Arena – Fish and Game Club …",595-674,PASS,high,,"The extraction is thorough and accurate. All named alternatives are explicitly discussed in the cited text, terminology matches precisely, No Action variants are captured where present, and no outside-knowledge alternatives were introduced. The page range 595-674 is broad but consistent with a comp…"
themes,"{""themes"": [""Urban Development"", ""Transportation Infrastructure"", ""Place Based Development Conflicts""], ""subthemes"": [""Housing, Planning, and Built Environment"", ""Urban Expansion and Land Use Change"", ""Infrastructure Impacts on Landscapes"", ""Community Resistance and Activism"", ""Mobility Networks and Connectivity""]}",summary,HUMAN_REVIEW,high,,"The extraction is within numeric range (3 themes, 5 subthemes) and the justification narrative is plausible for an Olympic-venue EIS, but no cited page text was provided to verify document support. Additionally, at least one theme name ('Place Based Development Conflicts') may not match the fixed t…"
location,"{""places"": [{""name"": ""Lake Placid, NY"", ""kind"": ""point"", ""state"": ""NY""}, {""name"": ""North Elba, NY"", ""kind"": ""point"", ""state"": ""NY""}, {""name"": ""Wilmington, NY"", ""kind"": ""point"", ""state"": ""NY""}, {""name"": ""Essex County, NY"", ""kind"": ""region"", ""state"": ""NY""}, {""name"": ""Adirondack State Park, NY"", ""kind"": ""region"", ""state"": ""NY""}], ""is_multi_site"": true, ""geocoded"": [{""name"": ""Lake Placid, NY"", ""lat"":…",1-30,PASS,high,,"All five extracted place names (Lake Placid, North Elba, Wilmington, Essex County, Adirondack State Park) are explicitly confirmed in the cited pages. The is_multi_site=true flag is well-supported by the document's own description of dispersed sites across multiple municipalities. State abbreviatio…"
key_people.agency_preparers,"[{""name"": ""John Hansel"", ""role"": ""Special Assistant for the Environment, Economic Development Administration""}, {""name"": ""Richard F. Galehouse"", ""role"": ""Project Director, Sasaki Associates, Inc.""}, {""name"": ""M. Perry Chapman"", ""role"": ""Project Manager, Sasaki Associates, Inc.""}, {""name"": ""Lawrence D. Carr"", ""role"": ""Project Coordinator, Sasaki Associates, Inc.""}, {""name"": ""R. Dennis Reinhardt"", …",1-30,HUMAN_REVIEW,medium,,"Agency preparers and cooperating agencies are fully confirmed against the cited text. However, the public commenter quotes and stances reference pages 812-836, which are not included in the provided …"
key_people.cooperating_agencies,"[{""name"": ""New York State Department of Environmental Conservation""}, {""name"": ""New York State Department of Transportation""}, {""name"": ""Adirondack Park Agency""}, {""name"": ""Community Services Administration""}, {""name"": ""Department of Agriculture - Forest Service""}, {""name"": ""Department of Agriculture - Soil Conservation Service""}, {""name"": ""Department of Health, Education and Welfare""}, {""name"": …",1-30,HUMAN_REVIEW,medium,,
key_people.public_commenters,"[{""name"": ""Community Services Administration"", ""kind"": ""organization"", ""stance"": ""conditional"", ""quote"": ""we are concerned that the unemployed and economically-disadvantaged residents of the community be included in the economic benefits expected to be generated by the Olympic Program"", ""source_pages"": [""812"", ""813""], ""quote_verified"": true}, {""name"": ""Department of Agriculture Forest Service"", ""…",812-836,HUMAN_REVIEW,medium,,
