# doc_id: P0491_35556036808186
# work_id: be007e4b-d662-4e2f-81c0-53f93844929c
# title: TARP tunnel component, Lower Des Plaines : environmental impact statement.
# grade options: correct|minor_issue|wrong|cant_tell
# page numbers are ESTIMATED from char offsets at 2500 chars/page

field,extracted_value,source_pages,critic_verdict,model_confidence,your_grade,your_notes
title,"TARP tunnel component, Lower Des Plaines : environmental impact statement.",NUL,PASS_WITH_NOTE,high,,"The extracted title is plausible and well-formed for an EIS document related to the TARP project in the Lower Des Plaines area. However, no cited page text was provided to verify the extraction, and only a single source (NUL) was used. Confidence is medium due to the absence of corroborating page t…"
year,2026,"NUL, regex (first 3 pages)",HUMAN_REVIEW,low,,"NUL metadata yields 2026, which is a future year and almost certainly erroneous (possibly a metadata entry error or digitization artifact). The regex value of 1977 falls within the valid EIS range and is far more plausible for an Environmental Impact Statement. No cited page text was provided to ad…"
eis_type,Draft,"regex (first page), Sonnet (first 2 pages)",PASS_WITH_NOTE,high,,"The extracted value of 'Draft' is strongly supported by the evidence phrase 'DRAFT ENVIRONMENTAL IMPACT STATEMENT,' and both extraction methods agree. However, no cited page text was provided, preventing independent verification of the evidence phrase against the actual document. The extraction is …"
lead_agency,"[""United States. Environmental Protection Agency""]",NUL,PASS,high,,"A single lead agency, United States. Environmental Protection Agency, is extracted and sourced from NUL with no role text present. No cited title pages were provided for secondary verification, but the NUL source and clean formatting support a passing verdict. No joint-lead concerns apply."
summary.project_description,"The EIS evaluates EPA construction grant funding for the Phase I conveyance tunnels of the Tunnel and Reservoir Plan (TARP), proposed by the Metropolitan Sanitary District of Greater Chicago, with focus on the Lower Des Plaines Tunnel System. The Des Plaines component includes about 26 miles of tunnel located 150-325 feet underground in dolomite, 55 drop shafts, 10 access shafts, 5 construction shafts, 80 collecting structures, and one pumping station, all designed to capture combined-sewer overflows and convey them to treatment plants. The Des Plaines system alone is estimated at $346.9 mill…","1-51, 97-147, 145-195, 337-354",RE_EXTRACT,medium,,"The extraction contains at least one clear numerical discrepancy: the tunnel depth is stated as '150-325 feet' but the cited pages specify '150 to 290 feet below ground level.' Additionally, several …"
summary.affected_community,"The MSDGC service area covers about 860 square miles in Cook County, Illinois, including Chicago and roughly 120 municipalities with a population near 5.5 million. The Des Plaines tunnel route passes through highly urbanized, mostly residential watersheds and Cook County Forest Preserve lands, serving suburbs such as Des Plaines, Park Ridge, Maywood, Riverside, Brookfield, and Forest Park. The area has experienced higher-than-national unemployment (about 9.6% in Cook County and 11.2% in Chicago in 1975), and households face potential property tax increases tied to the project.","1-51, 49-99, 97-147, 145-195, 193-243, 289-339, 337-354",RE_EXTRACT,medium,,
summary.alternatives_overview,"The Flood Control Coordinating Committee developed 23 alternative plans over two decades, eliminated 6, and modified the remaining 17 into 51 subplans evaluated against eight parameters including cost, benefits, and construction impacts. Four favorable Chicago Underflow plans were consolidated into TARP, which ranked highest against alternatives (including no-action) on 15 environmental criteria as the least costly and most environmentally acceptable option. If TARP were not built, alternatives such as instream aeration, treatment plant expansion, or reallocation of about $300 million in fede…","1-51, 97-147, 145-195, 193-243, 241-291, 337-354",RE_EXTRACT,medium,,
summary.environmental_impact,"The tunnels would capture about 90 percent of combined-sewer overflow pollutant load and reduce overflow frequency from roughly 100 to 10 times per year, but Illinois water quality standards for dissolved oxygen and ammonia would not be fully met without additional treatment upgrades, reservoirs, and instream aeration. Construction will generate about 3.78 million cubic yards of mostly non-marketable rock spoil, cause localized noise, dust, vibration, traffic disruption, and glare, and pose worker safety risks (an estimated 84 disabling injuries for the Des Plaines system). Risks include grou…","1-51, 49-99, 97-147, 145-195, 193-243, 289-339, 337-354",RE_EXTRACT,medium,,
summary.public_response,"MSDGC held public meetings in October 1972 and July 1973 on the TARP plan and its environmental issues, and additional hearings were conducted by the Northern Illinois Planning Commission (1974), MSDGC (July 1975), Illinois EPA (September 1975), and the U.S. Army Corps of Engineers (November 1975). The Cook County Forest Preserve District formally requested that rock excavated from beneath its lands be stockpiled on Forest Preserve property for use in bicycle paths, equestrian trails, and winter recreation, and initial public reaction to the related NuEarth sludge-as-fertilizer program was po…","1-51, 97-147, 145-195, 337-354",RE_EXTRACT,medium,,
alternatives,[],,HUMAN_REVIEW,low,,"The extraction returned an empty result with no cited pages, citing a structural detection failure and a deliberate skip per the v2 plan. Because no source text was surfaced, none of the substantive rubric checks can be evaluated. A human reviewer should locate the Alternatives chapter in the EIS a…"
