# doc_id: p1074_35556036861797
# work_id: csv:35556036861797
# title: Average fuel economy standard for nonpassenger automobiles, model year 1979 : environmental impact statement.
# grade options: correct|minor_issue|wrong|cant_tell
# page numbers are EXACT (from per-page JSON source).
# quote_verified: yes = quote present verbatim on cited page; no = forced HUMAN_REVIEW; mixed = some verified, some not.

field,extracted_value,quote,source_pages,quote_verified,critic_verdict,model_confidence,your_grade,your_notes
title,"Average fuel economy standard for nonpassenger automobiles, model year 1979 : environmental impact statement.",,inventory index (MARC 245$ab),,PASS,high,,"The extracted title is drawn directly from the MARC 245$ab field, which is the standard bibliographic source for document titles. The title is well-formed, appropriately descriptive of an Environmental Impact Statement, and consistent with the expected format for a federal government EIS document f…"
year,1977,,"NUL, regex (first 3 pages)",,HUMAN_REVIEW,low,,"NUL metadata (1977) and regex extraction from the first 3 pages (1979) disagree by two years, and no cited page text was provided to adjudicate between them. The low-confidence flag was correctly applied, but the conflict cannot be resolved without reviewing the actual document pages. A human revie…"
eis_type,Final,,"regex (first page), Sonnet (first 2 pages)",,PASS_WITH_NOTE,high,,"The extracted value 'Final' is strongly supported by the evidence phrase 'FINAL ENVIRONMENTAL IMPACT STATEMENT', and both extraction methods agree. The only caveat is that no cited page text was provided for independent verification of the source document, so the verdict is PASS_WITH_NOTE rather th…"
lead_agency,"[""National Highway Traffic Safety Administration""]",,NUL,,PASS,high,,"The single extracted agency, National Highway Traffic Safety Administration, is clean and sourced from NUL with no role text artifacts. Confidence is medium rather than high because no cited title pages were provided to independently corroborate the NUL attribution, leaving the extraction unverifie…"
summary.overview,"The National Highway Traffic Safety Administration (NHTSA) is issuing the first federal fuel-economy rule for light trucks, vans, and jeep-type four-wheel-drive vehicles (called 'nonpassenger automobiles') rated at 6,000 pounds gross vehicle weight or less, for model year 1979 only. Manufacturers must achieve a production-weighted fleet average of 17.2 miles per gallon, or may elect a split standard of 17.2 mpg for other nonpassenger automobiles plus 15.8 mpg for jeep-type vehicles, with a $5 penalty per 0.1 mpg shortfall per vehicle. The rule directly affects domestic manufacturers — General Motors, Ford, Chrysler, American Motors, and International Harvester — plus captive imports (foreign-built pickups like the Chevrolet LUV and Ford Courier sold by domestic firms). NHTSA considered but rejected taking no action, extending the standard to trucks over 6,000 pounds (data not available), and setting higher or lower levels, ultimately lowering its proposed 18.7 mpg to 17.2 mpg to reflect an 8 percent fuel-economy loss from revised EPA test procedures. The primary environmental benefit is roughly 102.5 million gallons of gasoline saved annually (about 0.07-0.1 percent of 1975 U.S. consumption), with minor secondary effects from increased use of aluminum, plastics, and catalytic-converter metals. Every affected manufacturer objected that the proposed level was too high given 1979 emission and test-procedure changes, and no consumer or public-interest groups submitted substantive comments.","[p.113] This notice establishes average fuel economy standards for nonpassenger automobiles which are rated at 6,000 pounds gross vehicle weight or less and are manufactured in model year 1979. | [p.113] The standard for four-wheel drive nonpassenger automobiles which are jeep-type vehicles is 15.8 mpg. The standard for all other nonpassenger automobiles is 17.2 mpg. | [p.23] a manufacturer who fails to comply with an AFES will be liable for a civil penalty equal to $5 for each tenth of a mile per gallon by which the manufacturer's average fuel economy falls below the applicable AFES | [p.128] Captive imports are vehicles, such as the Chevrolet LUV and the Ford Courier pickup trucks, which are marketed by a domestic manufacturer but fabricated by a foreign manufacturer. | [p.59] The basic alternatives considered are: a. Take no action, b. Extend the scope of the standard to NPA's above 6,000 pounds GVWR, c. Make the standard effective for years beyond MY 1979, and d. Set a higher or lower standard. | [p.117] Therefore, in the final rule, the proposed standard of 18.7 mpg is lowered to 17.2 mpg. | [p.113] The agency estimates that 102,500,000 gallons of gasoline will be saved annually by the 1979 nonpassenger automobile fleet, over 1976 levels. | [p.9] The annual and lifetime savings in gasoline would be between 0.07 percent and 0.1 percent of total national consumption based on total national consumption per year of 10.2 billion gallons in 1975. | [p.115] Most of the comments were submitted by automobile manufacturers. There were no comments received from consumer groups, or other public interest organizations. | [p.28] Virtually all manufacturers of nonpassenger automobiles who submitted comments indicated their belief that the level of the standard was too high, in light of the effects of emissions and other factors.","113, 23, 128, 59, 117, 9, 115, 28",yes,HUMAN_REVIEW,medium,,"The extraction is largely accurate and well-supported, with most quotes verified verbatim against cited pages. However, three quotes are explicitly flagged as quote_verified: false with no source pag…"
summary.project_description,"NHTSA is setting the first federal fuel-economy standard for model year 1979 'nonpassenger automobiles' — pickup trucks, vans, and jeep-type four-wheel-drive vehicles rated at 6,000 pounds gross vehicle weight or less — as required by section 502(b) of Title V of the Motor Vehicle Information and Cost Savings Act. The final rule sets 17.2 mpg for the general class and 15.8 mpg for jeep-type vehicles (four-wheel drive, off-highway capable, wheelbase not more than 110 inches), with manufacturers allowed to include their jeep-type vehicles in the general 17.2 mpg fleet at their option. Compliance is measured as a production-weighted average across each manufacturer's fleet, and the proposed level of 18.7 mpg was lowered by 8 percent to reflect measured effects of revised EPA test procedures.","[p.113] Vehicles affected by these standards include pickup trucks, vans, and four-wheel drive, jeep-type vehicles which are rated within that weight range. | [p.59] section 502(b) of the Motor Vehicle Information and Cost Savings Act directs the Secretary of Transportation to prescribe automotive fuel economy standards for automobiles which are ""not passenger automobiles"" in model years which begin more than 30 months after the date of enactment of Titl… | [p.113] The standard for four-wheel drive nonpassenger automobiles which are jeep-type vehicles is 15.8 mpg. The standard for all other nonpassenger automobiles is 17.2 mpg. | [p.164] ""Jeep-type vehicle"" means a 4-wheel drive, general purpose automobile capable of off-highway operation that has a wheelbase not more than 110 inches | [p.135] Each manufacturer of jeep-type vehicles will have the option of including those vehicles in the separate class, or including those vehicles in the general class of nonpassenger automobiles. | [p.23] Title V requires that the production-weighted average fuel economy of all of a manufacturer's automobiles subject to the AFES equal or exceed the level of that AFES. | [p.117] Therefore, in the final rule, the proposed standard of 18.7 mpg is lowered to 17.2 mpg.","113, 59, 164, 135, 23, 117",yes,HUMAN_REVIEW,medium,,
summary.affected_community,"The rule directly affects U.S. light-truck manufacturers — General Motors, Ford, Chrysler, American Motors Corporation, and International Harvester — because domestic nonpassenger automobiles average much lower fuel economy than imports (15.9 mpg for all domestics compared with 22.1 mpg for imports in MY 1976). Total MY 1979 domestic production was projected at about 1 million vehicles (52.6% GM, 27.9% Ford, 16.3% Chrysler, 3.7% AMC), plus about 100,000 'captive imports' — foreign-built pickups such as the Chevrolet LUV (built by Isuzu) and Ford Courier (built by Toyo-Kogyo) sold by domestic firms. Consumers, the United Auto Workers, and the U.S. Forest Service also weighed in, the Forest Service concerned that design constraints would push truck buyers toward heavier, costlier vehicles.","[p.5] the development of the AFES concentrated on domestic NPA's since their fuel economy is considerably below that of imported NPA's (15.9 mpg for all domestics compared to 22.1 for all imports in MY 1976). | [p.36] Total domestic production in MY 1979 was assumed to be 1 million vehicles of which 52.6 percent were GM, 27.9 percent were Ford, 16.3 percent were Chrysler, and 3.7 percent were AMC. | [p.36] it was assumed that GM and Ford would each sell 50,000 captive imports in MY 1979. | [p.128] Captive imports are vehicles, such as the Chevrolet LUV and the Ford Courier pickup trucks, which are marketed by a domestic manufacturer but fabricated by a foreign manufacturer. | [p.110] The Forest Service expressed concern that fuel economy goals will force manufacturers to design tracks in a limited manner which inhibits their usefulness in a variety of applications. | [p.145] Comments were received from General Motors, Ford, Chrysler, AMC and International Harvester.","5, 36, 128, 110, 145",yes,HUMAN_REVIEW,medium,,
summary.alternatives_overview,"NHTSA considered four principal alternatives: taking no action (rejected because the statute requires a standard); extending the standard to nonpassenger automobiles between 6,000 and 10,000 pounds gross vehicle weight (rejected because EPA baseline fuel-economy data for heavier trucks were not yet available); setting standards for model years beyond 1979 (deferred to future rulemakings because of uncertainty about market shifts to unregulated heavier vehicles); and setting a higher or lower level (a higher level was rejected because it could push consumers or manufacturers into the unregulated over-6,000-pound class, and a lower level was rejected as inconsistent with the Act's 'maximum feasible average fuel economy' requirement). The agency also considered whether to treat all nonpassenger automobiles as one class or split them, ultimately creating two classes with a separate 15.8 mpg level for jeep-type vehicles, and chose to include captive imports in domestic manufacturers' fleets for MY 1979 only.","[p.59] The basic alternatives considered are: a. Take no action, b. Extend the scope of the standard to NPA's above 6,000 pounds GVWR, c. Make the standard effective for years beyond MY 1979, and d. Set a higher or lower standard. | [p.14] Section 502(b) of Title V of the Motor Vehicle Information and Cost Savings Act, 15 U.S.C. 2002(b), requires the Secretary of Transportation to prescribe, by rule, average fuel economy standards for nonpassenger automobiles (NPA's). Therefore this alternative was rejected. | [p.15] Baseline fuel economy data from which to establish standards for MY 1979 were available from EPA for vehicles under 6,000 pounds GVWR. EPA could not supply data for heavier vehicles. | [p.70] if either vehicles or consumer purchases are shifted to the over 6,000 pounds GVWR class, a reduction in fleet fuel economy could result | [UNVERIFIED] If the AFES is set at a lower level, the standard will not meet the requirement of ""maximum feasible average fuel economy"" established by the Act. | [p.115] The final rule, which is still limited to nonpassenger automobiles 6,000 pounds GVWR or less, provides for two classes of nonpassenger automobiles, and a separate average fuel economy standard for nonpassenger automobiles in each class. | [p.133] the decision to include all captive import nonpassenger automobiles in the fleets of the domestic manufacturers which import them applies to model year 1979 only","59, 14, 15, 70, 115, 133",mixed,HUMAN_REVIEW,medium,,
summary.environmental_impact,"The main environmental benefit is gasoline savings: about 102.5 million gallons annually versus 1976 levels (roughly 0.07-0.1 percent of the 10.2 billion gallons the U.S. consumed in 1975), or 691 million to 1.027 billion gallons over the fleet's 10-year lifetime, equivalent to 18.13 to 26.9 million barrels of oil. Vehicle redesign is expected to reduce cast iron and steel use by about 42 million pounds while adding roughly 5.26 million pounds each of aluminum and plastics as substitutes, plus about 2,200 troy ounces more platinum and palladium for larger catalytic converters — a 9 percent (not 13.7 percent, as initially estimated) increase for nonpassenger automobiles under 6,000 pounds. Secondary effects on water quality, industrial water demand, stationary-source air pollution, solid waste (because plastics resist landfill decomposition), and community noise are all characterized as minor. NHTSA concluded manufacturers had not shown a fuel-economy penalty from EPA's tighter MY 1979 NOx (nitrogen oxide) standard (lowered from 3.1 to 2.3 grams per mile), but accepted an 8 percent measured penalty from EPA's revised road-load test procedure (roughly a 30 percent increase in road-load horsepower setting).","[p.113] The agency estimates that 102,500,000 gallons of gasoline will be saved annually by the 1979 nonpassenger automobile fleet, over 1976 levels. | [p.9] The annual and lifetime savings in gasoline would be between 0.07 percent and 0.1 percent of total national consumption based on total national consumption per year of 10.2 billion gallons in 1975. | [p.49] The combined fleet savings for both classes would be between 69.1 million gallons and 102.7 million gallons per year and 691 million gallons and 1027 million gallons for the lifetime of the fleet. | [UNVERIFIED] The net energy savings are equivalent in BTU's to between 18.13 million barrels of oil and 26.9 million barrels of oil. | [p.9] The agency estimates a savings of steel and cast iron of 42 million pounds in MY 1975 over current levels of consumption which is 0.018 percent of the total national consumption of steel and cast iron of 236.2 billion pounds in 1975. | [p.73] The resulting total increase in aluminum and plastics would be 5.26 million pounds each. | [p.100] An increase of 16,200 troy ounces over the base of 180,000 troy ounces represents an increase of 9 percent, and not 13.7 percent as stated. | [p.38] The agency believes that the additional use of 5.26 million pounds of plastics is likely to result in a minor increase in the solid waste disposal problem, particularly with respect to recycling. | [p.41] It is anticipated that reductions of engine size, resulting from this standard, will have an imperceptible effect on community noise levels. | [p.146] The change in the EPA emissions standard that affects fuel economy is the lowering of the standard for NOx from 3.1 grams per mile (gpm) to 2.3 gpm.","113, 9, 49, 73, 100, 38, 41, 146",mixed,HUMAN_REVIEW,medium,,
summary.public_response,"Sixteen commenters weighed in, dominated by manufacturers — American Motors, Chrysler, Ford, General Motors, and International Harvester — plus the UAW, several federal agencies (EPA, FEA, Interior, Labor, Agriculture, Forest Service, offices within DOT), the Society of the Plastics Industry, Consumers Union, and the University of Michigan; NHTSA specifically noted that 'no comments were received from consumer groups, or other public interest organizations' with substantive input. Virtually all manufacturers argued the proposed 18.7 mpg was too high, primarily because of expected fuel-economy penalties from the MY 1979 emission standard and test-procedure changes, with penalty estimates ranging from 3 percent (Ford, emissions only) to 10-15 percent (International Harvester); several urged separate, lower treatment for four-wheel-drive jeep-type vehicles, which led NHTSA to add the two-class option. Ford also challenged NHTSA's cost-benefit analysis, arguing compliance costs would be at least $100 per vehicle rather than NHTSA's $12 manufacturer / $24 retail estimate, and AMC argued its Jeep CJ vehicle was not an 'automobile' under Title V and opposed including captive imports as discriminatory toward non-importers.","[p.115] Most of the comments were submitted by automobile manufacturers. There were no comments received from consumer groups, or other public interest organizations. | [p.19] 1. American Motors Corporation 2. Chrysler Corporation 3, Environmental Protection Agency 4. Ford Motor Company 5. General Motors Corporation 6. International Harvester Corporation 7. UAW 8. Federal Energy Administration 9. The Society of the Plastics Industry, Inc. | [p.28] Virtually all manufacturers of nonpassenger automobiles who submitted comments indicated their belief that the level of the standard was too high, in light of the effects of emissions and other factors. | [UNVERIFIED] Fvery manufacturer challenged the assumption that the revised EPA emissions standard and testing procedures would have no effect on average fuel economy. | [p.146] The estimated fuel economy penalty due to the emission standard, including the effect of increased NOx emissions resulting from higher engine loading due to the revised test procedures, was 5 percent for General Motors, 3 percent for Ford, and 7 percent for Chrysler. | [p.146] International Harvester believes the penalty due to the emission standard will be 10 - 15 percent. | [p.28] several commenters indicated that four wheel drive, general utility vehicles had special fuel economy characteristics which entitle them to separate treatment from other nonpassenger automobiles. | [p.158] the cost of meeting the standard, if the proposed standard of 18.7 mpg is not reduced because of the penalties from 1979 emissions standards and testing procedures, will be at least $100.00, rather than the $12.00 assumed by NHTSA | [p.119] AMC contends in its comment to the NPRM that its Jeep CJ vehicle is not an automobile within the meaning of section 501(1) of Title V. | [p.130] AMC objected because it believes the net effect of the inclusion of the captive imports would be to discriminate against non-importers and stimulate foreign production at the expense of domestic production.","115, 19, 28, 146, 158, 119, 130",mixed,HUMAN_REVIEW,medium,,
