# doc_id: P0491_35556036107910
# work_id: 04f934e3-8c84-4e39-9827-5b062d04ae04
# title: Off-road vehicle regulations, proposed : environmental impact statement.
# grade options: correct|minor_issue|wrong|cant_tell
# page numbers are ESTIMATED from char offsets at 2500 chars/page

field,extracted_value,source_pages,critic_verdict,model_confidence,your_grade,your_notes
title,"Off-road vehicle regulations, proposed : environmental impact statement.",NUL,PASS_WITH_NOTE,high,,"The extracted title is plausible and well-formed for an EIS document concerning off-road vehicle regulations. However, no cited page text was provided to verify the extraction, and only a single source (NUL) was used. Confidence is medium due to the lack of corroborating page-level evidence."
year,2026,"NUL, regex (first 3 pages)",HUMAN_REVIEW,low,,"There is a direct conflict between NUL metadata (2026, a future/invalid year for an EIS) and the regex extraction from the first 3 pages (1973, a plausible EIS year). No cited page text was provided to adjudicate the disagreement. Given that 2026 exceeds the current year and 1973 is a historically …"
eis_type,Final,Sonnet (first 2 pages),HUMAN_REVIEW,medium,,"The extracted value of 'Final' is plausible but cannot be verified because no cited text or evidence phrases were provided, and the regex source is missing. With only Sonnet as the sole source and medium confidence, there is insufficient corroboration to confirm or reject the classification. Human …"
lead_agency,"[""United States. Forest Service""]",NUL,PASS,high,,"The single extracted agency, United States. Forest Service, is cleanly named and sourced from NUL contributors. No cited title pages were provided for cross-verification, which slightly limits confidence, but the extraction appears well-formed. No joint-lead or role-text issues detected."
summary.project_description,"The USDA Forest Service proposes regulations and administrative instructions under Executive Order 11644 to control off-road vehicle (ORV) use on the 187 million acres of National Forest System lands, to be added to 36 CFR Part 295 and the Forest Service Manual. The action would designate specific areas and trails where ORV use is allowed, restricted, or prohibited, with designations to be completed by December 31, 1976, in order to protect resources, promote user safety, and reduce conflicts among users.","1-51, 49-64",PASS,high,,"All extracted fields are well-supported by the cited pages. Key figures (187 million acres, 566 responses, 34,000 staff-days, $3.5M setup, $6M/year, December 31 1976 deadline) match the source text e…"
summary.affected_community,"Affected groups include ORV users such as four-wheel drivers, motorcyclists, snowmobilers, and dune buggy and all-terrain vehicle operators, as well as hikers, horseback riders, hunters, anglers, and others seeking quiet recreation. Rural and resort communities that depend on ORV sales and tourism are also affected, along with mining claimants, oil and gas and utility operators, Indian tribes on adjoining lands, ORV manufacturers, and federal, state, and local agencies that need access to forest lands.","1-51, 49-64",PASS,high,,
summary.alternatives_overview,"Two main alternatives were considered. Alternative A would immediately prohibit all ORV use on National Forest lands and then study where use should later be allowed, while Alternative B would continue to allow ORV use and study which areas and trails need controls. Alternative B was selected because it builds on existing programs, meets the intent of the Executive Order, and causes less immediate disruption; both alternatives were estimated to cost about 34,000 staff-days and $3.5 million to set up, plus about $6 million per year to run.","1-51, 49-64",PASS,high,,
summary.environmental_impact,"Controlling ORV use is expected to reduce harm to air and water quality, soils, vegetation, wildlife and habitat, tree regeneration, and noise levels, while improving safety and reducing conflicts among forest users. Unavoidable negative effects include visual impacts from signs, possible drops in needed game harvests where hunter access is limited, and continued damage from vehicles exempted from the rules, especially those used for prospecting and mineral development under the General Mining Act of 1872.","1-51, 49-64",PASS,high,,
summary.public_response,"Of 566 written responses, most supported Alternative B, though conservation groups such as the Sierra Club and Izaak Walton League generally favored immediate prohibition and called the Draft EIS too general and superficial on impacts. About 75 percent of comments on the mining exemption opposed it as unenforceable and inconsistent with Executive Order 11644, and many respondents urged posting open rather than closed areas, a faster implementation schedule, longer public comment periods, and stronger enforcement. EPA, the Department of the Interior, and other federal agencies recommended bett…","1-51, 49-64",PASS,high,,
alternatives,"[{""name"": ""No Action"", ""description"": ""Continue existing ad hoc management of off-road vehicle use on National Forest System lands without implementing new unified regulations or administrative instructions under Executive Order 11644."", ""source_pages"": [""2-5""]}, {""name"": ""Proposed Action (Regulated ORV Use)"", ""description"": ""Establish policies and procedures through regulations and administrativ…",2-5,HUMAN_REVIEW,high,,"The cited pages (2-5) do not include the actual Alternatives section (Section V) text in the pulled excerpt, making it impossible to verify whether the extracted alternative names and descriptions accurately reflect what appears on those pages. The Proposed Action description is consistent with Sec…"
