# doc_id: p1074_35556036811230
# work_id: csv:35556036811230
# title: Buffalo light rail rapid transit project construction : environmental impact statement.
# n_commenters: 59
# n_complaints: 74
# n_responses: 10
# grade options: correct|minor_issue|wrong|cant_tell
# stance vocab: in_favor|opposed|conditional|neutral
# kind vocab: individual|official|organization|agency|tribe|government|other
# response_pages: resolved by searching source per-page JSON for the response opening_anchor; '?' means anchor did not match any page.

complainer_id,entity,kind,role,stance,stance_confidence,comment_pages_from,comment_pages_to,comment_pages_all,n_complaints,responded,response_ids,response_pages,response_agency,needs_human_review,human_review_reasons,your_grade,your_notes
p1074_35556036811230_K001,Niagara Frontier Transportation Authority (NFTA),organization,"Project applicant, co-preparer of EIS",in_favor,medium,1,1,1,2,N,,,,no,,,
p1074_35556036811230_K002,Peter Benjamin,official,"Director, Office of Program Analysis, Urban Mass Transportation Administration",neutral,low,3,3,3,1,N,,,,yes,low_stance_confidence,,
p1074_35556036811230_K010,ENCRPB,agency,population/employment projection author (Erie and Niagara Counties Regional Planning Board),neutral,medium,46,56,"46,47,48,56",4,N,,,,no,,,
p1074_35556036811230_K012,Erie and Niagara Counties Regional Planning Board,agency,demographic data source / planning body,neutral,medium,47,55,"47,51,55",4,N,,,,no,,,
p1074_35556036811230_K007,Cornell Aeronautical Lab,organization,population projection author,neutral,medium,49,49,49,1,N,,,,no,,,
p1074_35556036811230_K009,"Economic Consultants Organization, Inc.",organization,population projection author,neutral,medium,49,49,49,1,N,,,,no,,,
p1074_35556036811230_K029,U.S. Department of Commerce,agency,employment data/projection source,neutral,medium,56,56,56,2,N,,,,no,,,
p1074_35556036811230_K005,Buffalo Sewer Authority,agency,utility authority / negotiating party,neutral,medium,71,71,71,1,N,,,,no,,,
p1074_35556036811230_K019,New York State Legislature,government,state legislature,in_favor,medium,78,78,78,1,N,,,,yes,quote_not_verbatim,,
p1074_35556036811230_K020,New York State Office of Planning Coordination (OPC),agency,planning study author,in_favor,medium,79,79,79,1,Y,p1074_35556036811230_R001,80,other,no,,,
p1074_35556036811230_K024,Niagara Frontier Transportation Study (NFTS),organization,early transit planning study body,neutral,medium,79,87,"79,87",2,N,,,,no,,,
p1074_35556036811230_K030,UMTA,agency,federal transit funding agency,in_favor,medium,79,79,79,1,N,,,,yes,quote_not_verbatim,,
p1074_35556036811230_K004,Area Committee for Transit (ACT),organization,special interest community group supporting rapid transit,in_favor,medium,83,83,83,1,N,,,,no,,,
p1074_35556036811230_K006,Committee for Federal Action,organization,citizen committee supporting Buffalo-Amherst rail rapid transit project,in_favor,medium,83,83,83,1,N,,,,no,,,
p1074_35556036811230_K011,entire State of New York Congressional delegation,government,Congressional delegation,in_favor,medium,83,83,83,1,N,,,,no,,,
p1074_35556036811230_K013,Erie County Executive,official,Erie County Executive,in_favor,medium,83,83,83,1,N,,,,no,,,
p1074_35556036811230_K014,Joint Executive Committee for Rapid Transit,organization,community support body for rapid transit,in_favor,medium,83,83,83,1,N,,,,no,,,
p1074_35556036811230_K016,Mass Transit Advisory Committee,organization,"advisory group of Federal, State, and local governmental representatives and citizens",in_favor,medium,83,83,83,1,N,,,,no,,,
p1074_35556036811230_K017,Mayor of the City of Buffalo,official,"Mayor, City of Buffalo",in_favor,medium,83,83,83,1,N,,,,no,,,
p1074_35556036811230_K021,New York State Transportation Commissioner,official,New York State Transportation Commissioner,in_favor,medium,83,83,83,1,N,,,,no,,,
p1074_35556036811230_K025,No Overhead Transit (NOT),organization,special interest community group,in_favor,medium,83,83,83,1,N,,,,no,,,
p1074_35556036811230_K032,National Fuel Gas,organization,property owner/commenter,neutral,low,135,135,135,1,N,,,,yes,low_stance_confidence,,
p1074_35556036811230_K033,American Public Transit Association,organization,industry association issuing noise/vibration design guidelines for rapid transit facilities,neutral,medium,168,168,168,4,N,,,,no,,,
p1074_35556036811230_K035,City of Chicago,government,Local government with noise ordinance cited as example,neutral,medium,171,171,171,1,N,,,,no,,,
p1074_35556036811230_K036,City's Department of Transportation,agency,Local traffic regulatory agency,conditional,medium,176,176,176,1,N,,,,no,,,
p1074_35556036811230_K034,Buffalo Urban Renewal Agency,agency,Public agency owning property in South Yard area,neutral,medium,183,183,183,1,Y,p1074_35556036811230_R002,183,NFTA,no,,,
p1074_35556036811230_K040,New York State Department of Transportation,agency,Relocation specialists / state agency,neutral,medium,183,183,183,1,N,,,,no,,,
p1074_35556036811230_K041,New York State Thruway Authority,agency,Public property owner in Ellicott Yard area,neutral,medium,185,185,185,1,Y,p1074_35556036811230_R003,185,other,no,,,
p1074_35556036811230_K038,Federal Highway Administration,agency,Federal agency providing traffic capacity standards,neutral,low,191,193,"191,193",2,N,,,,yes,quote_not_verbatim;low_stance_confidence,,
p1074_35556036811230_K042,"U.S. Department of Transportation, Federal Highway Administration",agency,Federal agency providing noise standards,neutral,medium,193,204,"193,194,204",2,N,,,,no,,,
p1074_35556036811230_K046,Greater Buffalo Development Foundation,organization,"civic/development organization, commenter",neutral,medium,195,195,195,1,Y,p1074_35556036811230_R004,195,other,no,,,
p1074_35556036811230_K043,Buffalo Historical Society,organization,historic preservation reviewer,neutral,medium,219,219,219,2,Y,p1074_35556036811230_R005;p1074_35556036811230_R006,219;222,other,no,,,
p1074_35556036811230_K044,Buffalo Landmark and Preservation Board,agency,historic preservation review board,in_favor,medium,219,219,219,1,N,,,,no,,,
p1074_35556036811230_K045,"Dr. Walter S. Dunn, Jr.",individual,"Director, Buffalo Historical Society",neutral,medium,219,219,219,1,Y,p1074_35556036811230_R007,219,other,yes,private_individual,,
p1074_35556036811230_K047,Landmark Society of the Niagara Frontier,organization,historic preservation reviewer,neutral,medium,219,219,219,1,Y,p1074_35556036811230_R008,219,other,no,,,
p1074_35556036811230_K049,"Mr. Olaf Shelgren, Jr.",individual,"Chairman, Landmark Society of the Niagara Frontier",neutral,medium,219,219,219,1,Y,p1074_35556036811230_R009,219,other,yes,private_individual,,
p1074_35556036811230_K050,New York State Historic Preservation Officer,official,State Historic Preservation Officer,neutral,medium,219,219,219,1,N,,,,no,,,
p1074_35556036811230_K048,Mr. Neil Trubowitz,individual,"Director, Archeological Survey, SUNYAB Anthropology Department",neutral,medium,222,222,222,1,Y,p1074_35556036811230_R010,222,other,yes,private_individual,,
p1074_35556036811230_K054,Occupational Safety and Health Administration,agency,regulatory body whose procedures govern permissible noise exposure calculations for construction workers and public,neutral,medium,274,274,274,1,N,,,,yes,quote_not_verbatim,,
p1074_35556036811230_K052,New York City Transit Authority,agency,transit authority with prior experience including noise restrictions in construction contract specifications,neutral,medium,276,276,276,1,N,,,,no,,,
p1074_35556036811230_K059,Washington Metropolitan Area Transit Authority,agency,transit authority with prior experience including noise restrictions in construction contract specifications,neutral,medium,276,276,276,1,N,,,,no,,,
p1074_35556036811230_K003,Urban Mass Transportation Administration (UMTA),agency,"Federal transit funding agency, co-preparer of EIS",in_favor,low,3,3,3,1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556036811230_K008,"Daniel, Mann, Johnson, & Mendenhall",organization,consultant / data source,neutral,low,53,53,53,1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556036811230_K015,Larry Smith & Company,organization,population projection author,neutral,low,49,49,49,1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556036811230_K018,New York State Department of Labor,agency,employment data source,neutral,low,52,52,52,1,N,,,,yes,quote_not_verbatim;low_stance_confidence;no_complaints,,
p1074_35556036811230_K022,NFTA,agency,project sponsor committing to include noise limit specifications in Metro Corridor construction contracts,in_favor,low,52,276,"52,135,163,165,178,183,192,197,276",1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556036811230_K023,NFTC,agency,population projection author / transit survey sponsor,neutral,low,49,49,49,1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556036811230_K026,NYS Economic Development Board,agency,population projection author,neutral,low,49,49,49,1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556036811230_K027,SUNYAB,organization,university / landowner at South Campus terminal site,neutral,low,70,213,"70,213",1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556036811230_K028,U.S. Census,agency,population projection author,neutral,low,49,49,49,1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556036811230_K031,City of Buffalo,government,local government with noise control regulations (Article XVII of Buffalo City Ordinances) applicable to construction activities,neutral,low,137,282,"137,175,194,282",1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556036811230_K037,Erie-Lackawanna Railroad,organization,Property owner in Terminal Yard area,neutral,low,186,186,186,1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556036811230_K039,National Fuel Gas Company,organization,Business with proposed relocation site in Ellicott Yard area,neutral,low,185,185,185,1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556036811230_K051,"Institute for Rapid Transit Technical and Operations Committee, Subcommittee on Design Standards",organization,standards body whose guidelines for rapid transit facility design are cited as a reference,neutral,low,284,284,284,1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556036811230_K053,New York State Department of Environmental Conservation,agency,state agency whose proposed noise pollution regulations are cited as a reference,neutral,low,284,284,284,1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556036811230_K055,"Society of Automotive Engineers, Inc.",organization,standards body whose practices (SAE J366a and SAE J952b) govern construction equipment noise level measurements,neutral,low,281,281,281,1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556036811230_K056,U.S. Department of Housing and Urban Development,agency,federal agency whose noise abatement and control policy circular is cited as a reference,neutral,low,284,284,284,1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556036811230_K057,U.S. Department of Transportation,agency,federal agency whose publication on transportation noise is cited as a reference,neutral,low,283,283,283,1,N,,,,yes,quote_not_verbatim;low_stance_confidence;no_complaints,,
p1074_35556036811230_K058,U.S. Environmental Protection Agency,agency,federal agency whose reports on community noise and noise criteria are cited as references for noise design guidelines,neutral,low,275,275,275,1,N,,,,yes,low_stance_confidence;no_complaints,,
