# doc_id: p1074_35556038062394
# work_id: d3e9092b-810f-4b1a-9e9e-def1c7b8a699
# title: Dade County metro rail transit : environmental impact statement.
# grade options: correct|minor_issue|wrong|cant_tell
# page numbers are ESTIMATED from char offsets at 2500 chars/page

field,extracted_value,source_pages,critic_verdict,model_confidence,your_grade,your_notes
title,Dade County metro rail transit : environmental impact statement.,NUL,PASS_WITH_NOTE,high,,"The extracted title is plausible and well-formed for an EIS document related to a Dade County metro rail transit project. However, no cited page text was provided to verify the extraction, and only a single source (NUL) was used. Confidence is medium due to the absence of corroborating text or a se…"
year,2026,"NUL, regex (first 3 pages)",HUMAN_REVIEW,low,,"There is a direct conflict between NUL metadata (2026) and regex extraction (1978). The NUL value of 2026 is a future year and implausible for an EIS document, strongly suggesting a metadata error. The regex value of 1978 is historically plausible for an EIS but cannot be confirmed without cited pa…"
eis_type,Final,"regex (first page), Sonnet (first 2 pages)",PASS_WITH_NOTE,high,,"The extracted value 'Final' is strongly supported by the evidence phrase 'FINAL ENVIRONMENTAL IMPACT STATEMENT', and both extraction methods agree. However, no cited page text was supplied, so direct verification of the source document is not possible. The extraction is accepted with the caveat tha…"
lead_agency,"[""United States. Urban Mass Transportation Administration""]",NUL,PASS,high,,"A single lead agency, United States. Urban Mass Transportation Administration, is extracted and confirmed via NUL. No role text is present in the name, and no joint-lead scenario applies. No cited title pages were provided, but NUL sourcing is sufficient for this single-agency case."
summary.project_description,"Metropolitan Dade County proposes a 20.5-mile heavy rail rapid transit system (Stage I) running from Dadeland in the south through downtown Miami to Okeechobee in Hialeah, with about 18 miles elevated and 2.5 miles at-grade. The system includes 20-21 stations (most with parking), 166 new rail cars using semi-automated duo-rail technology, expanded feeder bus service, and a yard and shop facility at Site H-1 in Hialeah. Total estimated capital cost is about $795 million, with construction planned from 1978-1979 through 1982-1983 and supported by a UMTA federal capital grant.","1-51, 97-147, 145-195, 193-243, 241-286",HUMAN_REVIEW,medium,,"The extraction is broadly consistent with the cited pages but contains several specific figures and details (construction timeline, station count, technology label, accident/job statistics, acreage, …"
summary.affected_community,"The corridor passes through diverse communities of Dade County (1976 population about 1,449,300), including South Miami, Coral Gables, downtown Miami, Hialeah, Miami Springs, and low-to-moderate income neighborhoods such as Culmer, Allapattah, and the Model Cities area. The county has a substantial Spanish-American population (about 32%), a sizable black community (about 15%), and many transit-dependent elderly residents. Project displacements are estimated at 575-650 residential units and 100-150 businesses, falling disproportionately on black households (about 58%) and Latin households (abo…","1-51, 49-99, 97-147, 145-195, 241-286",HUMAN_REVIEW,medium,,
summary.alternatives_overview,"Planners evaluated 41 systemwide networks, narrowing them to a Null (no-build) option, low- and high-cost All Bus alternatives, and several fixed-guideway rail options of varying scale. A Priority Engineering and Operational Analyses (PEOA) process then examined 30 corridor scenarios using conventional rail, light rail, and streetcar technology, advancing six finalists (A-1, A-2, A-4, A-7, A-8, and G-1(B)); Alternative A-7 was selected and adopted by the County Commission in October 1976. Eighteen yard and shop sites were screened down to seven finalists, with Site H-1 in Hialeah ultimately c…","1-51, 49-99, 97-147, 193-243, 241-286",HUMAN_REVIEW,medium,,
summary.environmental_impact,"The rail system is expected to reduce daily auto travel by roughly 1 million vehicle miles, lowering carbon monoxide, hydrocarbon, and nitrogen oxide emissions, conserving energy, and avoiding an estimated 15 fatal and 1,800 injury accidents per year, while creating about 3,000 construction and 1,600-1,800 operating jobs. Adverse impacts include displacement of hundreds of homes and businesses, visual intrusion from elevated structures, noise that may exceed APTA guidelines near some residences and parks, vegetation loss, and removal of about 358 acres from the tax rolls. Mitigation includes …","1-51, 49-99, 97-147, 145-195, 193-243, 241-286",HUMAN_REVIEW,medium,,
summary.public_response,"The project was shaped by extensive public involvement, including approval of a $132.5 million transit bond issue in 1972, roughly 500 public meetings during Preliminary Engineering, 24 public forums, citizen panels, and a February 6, 1978 public hearing on the Draft EIS. Comments from federal, state, and local agencies, environmental groups (Sierra Club, Tropical Audubon Society, American Lung Association), citizen organizations (STOP, Taxpayers League, League of Women Voters), and individual residents raised concerns about ridership and cost projections, displacement in the black community,…","1-51, 49-99, 97-147, 193-243, 241-286",HUMAN_REVIEW,medium,,
alternatives,"[{""name"": ""Alternative A-1 (Perrine to NW 65th Street)"", ""description"": ""Fully grade-separated conventional rail running approximately 23 miles from SW 184th Street/US 1 in Perrine to NW 65th Street/NW 27th Avenue. Includes 34,100 ft at-grade and 87,000 ft elevated double track, 23 stations, and the Cutler Ridge yard and shop site."", ""source_pages"": [""84"", ""97""]}, {""name"": ""Alternative A-2 (Perri…",84-163,PASS,high,,"All six extracted alternatives are accurately described and directly supported by the cited text. Track lengths, station counts, yard sites, vehicle types, and terminal endpoints all match the source document's Table IV-3 and narrative descriptions on pages IV-13 through IV-15. The designation of A…"
