# doc_id: p1074_35556036525772
# work_id: 
# title: Proposed endangered species conservation act of 1973 (incomplete appendices) : environmental impact statement.
# pass: blind
# source: run_manifest.json
# artifact_stage: v1
# grade options: correct|minor_issue|wrong|cant_tell
# BLIND PASS (MCAL_PLAN 7 Q5). critic_verdict is deliberately ABSENT and your_notes is deliberately EMPTY. Grade from extracted_value, quote and source_pages only. Do not open the reveal sheet until this one is finished: the human grade and the Critic verdict must be independent, because their agreement is what fits the conformal thresholds.
# page numbers are EXACT (from per-page JSON source).
# quote_verified: yes = quote located on the cited page +/-2 (OCR-normalized, mcal/quote_check.py); mixed = partially supported; no = not located.
# your_failure_tag: one tag from the tags[<field>] line below matching this row's field, or blank if your_grade is 'correct'. Leave blank rather than guessing -- an untagged defect is a signal that the taxonomy needs a new code.
# soi_useful (yes|no): fill ONCE, on the summary_of_interest row. Did summary_of_interest tell you something the standard summary.* fields did not? An empty summary_of_interest is a correct result for a routine document, so 'no' on an empty list is not a criticism of the field.
# extracted_value and quote are NOT truncated (MCAL_PLAN 6 acceptance item 4: gradable without opening another file).
# tags[title]: T04_undefined_acronym
# tags[year]: T11_year_ocr_error
# tags[eis_type]: T12_eis_type_confused_with_rod
# tags[lead_agency]: T04_undefined_acronym, T05_commenter_mislabeled_as_cooperator
# tags[summary.overview]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.project_description]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.affected_community]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.alternatives_overview]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.environmental_impact]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.public_response]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary_of_interest]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T17_manufactured_salience, T18_salience_duplicates_summary, T19_scope_qualifier_dropped
# tags[alternatives]: T01_missing_citation, T03_outside_text_fabrication, T04_undefined_acronym, T10_alternatives_chapter_missed
# tags[themes]: T03_outside_text_fabrication, T04_undefined_acronym
# tags[location]: T01_missing_citation, T03_outside_text_fabrication, T04_undefined_acronym, T06_geocode_missing, T07_geocode_wrong_specificity, T08_scope_misclassified_national, T09_multi_site_partial_geocode, T14_regional_scope_underspecified
# tags[key_people]: T01_missing_citation, T03_outside_text_fabrication, T04_undefined_acronym, T05_commenter_mislabeled_as_cooperator, T13_pre_1978_nepa_format, T20_role_bucket_underpopulated

field,extracted_value,quote,source_pages,quote_verified,model_confidence,your_grade,your_failure_tag,your_notes,soi_useful
title,Proposed endangered species conservation act of 1973 (incomplete appendices) : environmental impact statement.,"[p.1, 2, 3] ENDANGERED SPECIES CONSERVATION ACT OF 1973","1, 2, 3",yes,composite=0.850,,,,
year,1973,"[p.1, 2, 3] Final: AUG 7 1973","1, 2, 3",yes,composite=1.000,,,,
eis_type,Final,"[p.1, 2, 3] FINAL ENVIRONMENTAL STATEMENT","1, 2, 3",yes,composite=1.000,,,,
lead_agency,"[""Department of the Interior"", ""Bureau of Sport Fisheries and Wildlife""]","[p.1, 2, 3] Department of the Interior, Bureau of Sport Fisheries and Wildlife","1, 2, 3",yes,composite=0.850,,,,
summary.overview,"This Final Environmental Impact Statement evaluates H.R. 4758, the proposed Endangered Species Conservation Act of 1973, which would replace the 1969 Act with stronger federal authority to protect fish and wildlife 'threatened with extinction' or 'likely within the foreseeable future to become threatened with extinction.' Concretely, the bill would let the Secretary of the Interior maintain a single worldwide endangered-species list, buy habitat land with no dollar ceiling, take over from the states the authority to regulate the taking of listed resident wildlife, ban U.S. persons from taking endangered species on the high seas, and raise civil and criminal penalties to $10,000 and $20,000. The statement compares this proposal against six alternatives, including keeping state authority, imposing a spending ceiling on land purchases, taking 'no action' under the 1969 Act, and repealing the 1969 Act (which the drafters estimate would allow roughly 10 species to go extinct within 10 years and 25-30 within 20 years). The main environmental effects are described as largely positive for listed species — including geographically tiny populations such as the 14-15 remaining Puerto Rican parrots and the Devil's Hole pupfish in a single bedroom-sized Nevada spring — while curtailing pesticide use, water projects, timber, grazing, and mining on habitat lands. State fish and game agencies from Montana, Nebraska, Nevada, Maine, Indiana, Kansas, Arizona, Oregon, Texas, and Washington objected strongly to shifting management of resident wildlife from states to the federal government, while Maryland, Massachusetts, North Carolina, Rhode Island, and the Environmental Defense Fund supported the bill; the Florida Audubon Society and other conservation groups objected specifically to giving the Secretary of Commerce jurisdiction over some marine species.","[p.2, 3, 8, 35, 49, 56, 71, 96, 131, 145] An estimated 10 species would become extinct within 10 years and possibly 25 or 30 species in 20 years.","2, 3, 8, 35, 49, 56, 71, 96, 131, 145",yes,composite=1.000,,,,
summary.project_description,"The action is proposed federal legislation, H.R. 4758, the Endangered Species Conservation Act of 1973, prepared by the Bureau of Sport Fisheries and Wildlife in the Department of the Interior. The bill would repeal the 1969 Endangered Species Conservation Act and give the Secretary of the Interior (with some marine species assigned to the Secretary of Commerce) authority to list, protect, and propagate species in two groups: 'Group 1' species already threatened with extinction, and 'Group 2' species likely to become so in the foreseeable future. It would remove the previous $15 million ceiling on habitat acquisition using Land and Water Conservation Fund money, shift authority to regulate the taking of listed resident wildlife from the states to the federal government, ban U.S. persons from taking endangered species on the high seas, and raise civil penalties from $5,000 to $10,000 and criminal penalties from $10,000 to $20,000. Federal grazing leases and federal hunting or fishing permits held by convicted violators could be suspended or revoked.","[p.2, 7, 8, 96, 278] increases penalties for civil violations from $5,000 to $10,000 and criminal violations from $10,000 to $20,000","2, 7, 8, 96, 278",yes,composite=0.750,,,,
summary.affected_community,"The most directly affected groups are the listed animals themselves and the habitats they occupy, many of which are geographically tiny: for example, the Devil's Hole pupfish lives in a single bedroom-sized spring in Ash Meadows, Nevada; the Okaloosa darter lives in five streams originating on Eglin Air Force Base, Florida; fewer than 2,000 Attwater's greater prairie chickens remain in 12 coastal Texas counties; fewer than 300 pairs of Kirtland's warblers survive in half a dozen Michigan counties; roughly 6,000 Utah prairie dogs remain in three counties; and only 14-15 Puerto Rican parrots remain in the wild. Human groups affected include state fish and wildlife agencies losing regulatory authority over resident species, land developers, farmers and ranchers who suffer crop or livestock damage (such as red wolf depredations in southeastern Texas), foresters (who would have to leave old diseased pines standing for the red-cockaded woodpecker), miners and petroleum producers, pesticide users, holders of federal hunting and fishing permits or federal grazing leases, wildlife traders and importers, and federal agencies whose projects would have to accommodate endangered species. American Indians, Aleuts, and Eskimos are exempted when taking listed species for their own consumption or ritual purposes.","[p.2, 35, 36, 37, 49, 54, 55, 278] Attwater's is confined to a small area in 12 counties of coastal Texas. Less than 2,000 birds remain.","2, 35, 36, 37, 49, 54, 55, 278",yes,composite=1.000,,,,
summary.alternatives_overview,"The statement lays out six alternatives to the proposed bill. First, instead of legislating a ban on Group 1 imports and giving the Secretary discretion over Group 2, ban importation of all endangered species outright, or leave all import decisions to the Secretary's discretion. Second, reauthorize habitat acquisition with a spending ceiling in place, or remove that acquisition authority entirely, rather than lifting the ceiling. Third, leave state authority to regulate taking untouched. Fourth, leave authority with the states unless the Secretary judges a state's endangered-species program inadequate, at which point federal authority would step in. Fifth, take 'no action' and continue under the existing 1969 Act, which would forgo new powers such as pre-threat listing and unlimited land acquisition. Sixth, repeal the 1969 Act without replacement, which the drafters estimate would allow roughly 10 species to go extinct within 10 years and 25-30 within 20 years. The bill itself also embeds flexibility through permits for zoological, educational, or scientific use, one-year economic-hardship exemptions, and suspension of the federal take-prohibition in states running programs the Secretary judges at least as strict as the federal one.","[p.3, 71] Alternative 6: If the present authority under the Endangered Species Act of 1969 were repealed, efforts for restoration of most species would collapse.","3, 71",yes,composite=0.750,,,,
summary.environmental_impact,"The bill's effects are described as mostly positive for listed animals, ranging from small changes for species that are only threatened to many-fold increases for species pulled back from the brink of extinction. Forage and prey populations would shift as endangered species rebound, and non-listed species sharing protected habitat generally benefit, though some (like alewives in the Great Lakes) may need to be reduced to make room for recovering endangered fish. About 80 percent of species in the 1973 U.S. 'Red Book' are 'geographic isolates' — populations confined to very small ranges such as a single desert spring or a handful of streams — so recovery for most species would touch only a small area, while the roughly 20 percent that range across whole biomes (California condor, peregrine falcon, whooping crane, gray wolves) could affect broader grassland or coniferous-forest areas. Adverse or restrictive effects include curtailment of dams, canals, and groundwater pumping for irrigation (the Devil's Hole pupfish is threatened by such pumping), constraints on timber harvesting, grazing, farming, mining, and petroleum extraction on habitat lands, and restrictions on chlorinated-hydrocarbon pesticides affecting bald eagles, brown pelicans, and peregrine falcons. Preliminary estimates suggested the broadened definition of 'endangered' could add as many as 1,000 species, subspecies, or populations to the list. Every federal agency would have to ensure its own actions do not 'jeopardize the continued existence of endangered species.'","[p.2, 10, 29, 47, 53, 56] About 20 percent of the species and subspecies appearing in the 1973 U.S. ""Red Book"" are wide ranging in distribution being characteristic of one biome or ranging over two or more biomes","2, 10, 29, 47, 53, 56",yes,composite=0.400,,,,
summary.public_response,"The draft was circulated to all 50 states, Puerto Rico, the Virgin Islands, several federal departments, and private groups; 24 states replied, along with the Environmental Defense Fund. Maryland, Massachusetts, Mississippi, Florida, Rhode Island, and Washington broadly supported the bill; the North Carolina Department of Natural and Economic Resources called removal of state authority 'logical and acceptable'; and the Environmental Defense Fund pressed for stronger ecological language. State fish-and-game agencies in Montana, Nebraska, Nevada, Maine, Indiana, Kansas, Arizona, Oregon, Texas, and Washington objected — chiefly to shifting authority over resident wildlife from states to the federal government, arguing they have more field enforcement staff (for example, Nebraska has about 45 conservation officers versus three federal enforcement agents) and better track records. Arizona and Washington also complained that the new category 'likely within the foreseeable future to become threatened with extinction' is too vague. Nebraska and Nevada objected to federal suspension of state-issued hunting and fishing licenses; the response clarified this reaches only federal permits such as waterfowl stamps. The Florida Audubon Society, Archbold Biological Station, and A.R. Marshall of the University of Miami objected to giving the Secretary of Commerce jurisdiction over marine endangered species, arguing Commerce's fishery-production mandate conflicts with preservation.","[p.73, 75, 78, 96, 145, 152, 158, 163, 233] Replies were received, in most cases with comments, from 24 States","73, 75, 78, 96, 145, 152, 158, 163, 233",yes,composite=0.500,,,,
