# doc_id: p1074_35556039354196
# work_id: fe841cfc-70d7-4c1f-8121-6af4b14fc4a0
# title: Havasupai Indian Reservation addition : environmental impact statement.
# grade options: correct|minor_issue|wrong|cant_tell
# page numbers are ESTIMATED from char offsets at 2500 chars/page

field,extracted_value,source_pages,critic_verdict,model_confidence,your_grade,your_notes
title,Havasupai Indian Reservation addition : environmental impact statement.,NUL,PASS_WITH_NOTE,high,,"The extracted title is plausible and well-formed for an EIS document concerning the Havasupai Indian Reservation. However, no cited page text was provided to verify the extraction, and only a single source (NUL) was used. Confidence is medium due to the absence of corroborating page-level evidence."
year,2026,"NUL, regex (first 3 pages)",HUMAN_REVIEW,low,,The extracted year of 2026 exceeds the current year and is therefore an invalid EIS publication date. The regex-derived value of 1981 is plausible for an EIS document and falls within the valid range. No cited page text was provided to adjudicate between the two sources. A human reviewer should ins…
eis_type,Draft,"regex (first page), Sonnet (first 2 pages)",RE_EXTRACT,low,,"The extracted value of 'Draft' is directly contradicted by the cited evidence phrase 'FINAL ENVIRONMENTAL STATEMENT - VOLUME II', which clearly indicates a Final EIS. The regex and Sonnet signals disagree, and the extractor's own confidence is low. The correct value should almost certainly be 'Fina…"
lead_agency,"[""United States. Bureau of Indian Affairs""]",NUL,PASS,high,,"A single lead agency, United States. Bureau of Indian Affairs, is extracted and confirmed via NUL. The name is clean with no extraneous role text. No cited title pages were provided, but NUL sourcing is sufficient for a passing verdict given high extraction confidence."
summary.project_description,"Public Law 93-620 (signed January 3, 1975) added approximately 185,000 acres to the Havasupai Indian Reservation in northern Arizona and designated about 95,300 acres of adjacent Grand Canyon National Park as a permanent traditional use area for grazing and traditional purposes. The Secretarial Land Use Plan, prepared with the Havasupai Tribal Council, contains 20 divisions covering agriculture, cultural resources, domestic water, energy, fencing, grazing, residence, transportation, visitor use, wildlife management, and waste management. Specific proposals include small-scale gardens at Pastu…","1-51, 49-99, 145-195, 193-243, 241-291, 289-317",HUMAN_REVIEW,medium,,"The extraction contains many specific numeric details (population figures, livestock counts, cost estimates, tourism revenue) that do not appear in the provided cited page text. These figures may exi…"
summary.affected_community,"The Havasupai Tribe is the primary affected community, with about 281 residents on the reservation in 1977 (out of 452 enrolled members) living almost entirely in Havasu Canyon, plus roughly 115 members off-reservation. The Tribe had been confined for over 40 years to about 500 acres at the bottom of Havasu Canyon and depends heavily on tourism (over $200,000 in FY1976 from more than 10,000 annual visitors) and on packing services using a herd of 120-180 horses. Adjacent communities include Grand Canyon National Park, the Hualapai and Hopi Tribes, Kaibab National Forest, and ranchers holding …","1-51, 49-99, 97-147, 145-195, 289-317",HUMAN_REVIEW,medium,,
summary.alternatives_overview,"The EIS formally considers a No Action alternative, under which uncontrolled horse herds would expand and crash with drought, water sources would remain unreliable, and the Tribe would forgo substantial wage and packing income. For domestic water, alternatives include snow/rainwater collection, tapping underground aquifers (identified as most viable), pumping from Havasu Creek, and treating stock-tank water. Energy alternatives include local generators, extending commercial powerlines, and wind/solar systems, while grazing alternatives range from cattle-only operations to mixed horse-cattle u…","1-51, 49-99, 97-147, 145-195, 193-243",HUMAN_REVIEW,medium,,
summary.environmental_impact,"Most identified impacts are minor or beneficial, with primary concerns being soil erosion from agriculture and grazing, possible disturbance of archaeological sites, and pollution of Havasu Creek by coliform bacteria, Salmonella, and nitrates from inadequate waste treatment and livestock. Of about 98,000 acres of rangeland, most is in fair to poor condition from past overgrazing, and air quality is affected by helicopter-stirred dust at Supai and unpaved-road dust on the upper plateau. Unavoidable adverse effects include fencing, road kills, and disturbance of desert bighorn sheep, while wate…","1-51, 49-99, 97-147, 145-195, 193-243",HUMAN_REVIEW,medium,,
summary.public_response,"Over 300 copies of the draft EIS were distributed and three public hearings were held in September 1979 in Supai, Kingman, and Flagstaff, with response virtually unanimous in favor of the plan and no group rejecting it. Federal agencies (Fish and Wildlife Service, EPA, Forest Service, National Park Service, Bureau of Reclamation), state agencies (Arizona Game and Fish, State Land Department), the Hopi Tribe, and conservation groups (Sierra Club, Friends of the Earth, Southern Arizona Hiking Club) generally supported the Plan. Concerns raised included boundary disputes, grazing impacts on bigh…","1-51, 49-99",HUMAN_REVIEW,medium,,
alternatives,"[{""name"": ""No Action"", ""description"": ""No action would be taken regarding the proposed land use plan for the addition to the Havasupai Indian Reservation. The status quo would be maintained without implementing the provisions of Public Law 93-620."", ""source_pages"": [""62-64""]}, {""name"": ""Proposed Action"", ""description"": ""Implementation of the Land Use Plan for the Addition to the Havasupai Indian …",62-64,RE_EXTRACT,high,,"The cited source pages (62-64) do not appear in the provided text excerpt, which only contains the cover summary sheet and Table of Contents. The actual alternatives discussion is in Chapter VIII (Project Alternatives, page VIII-1), not pages 62-64. The descriptions of No Action and Proposed Action…"
themes,"{""themes"": [""Indigenous Narratives and Sovereignty"", ""Wildlife and Natural Areas"", ""Water Systems""], ""subthemes"": [""Sovereignty, Rights, and Self-Determination"", ""Indigenous Knowledge and Environmental Stewardship"", ""Habitat Conservation and Biodiversity"", ""Water Infrastructure and Management"", ""Water Scarcity and Environmental Change""]}",summary,HUMAN_REVIEW,high,,"The extraction is internally coherent and the counts are within range, but no cited page text was provided, making it impossible to verify that the document summary actually supports these themes. The taxonomy verbatim match and subtheme assignments also cannot be confirmed without the taxonomy ref…"
