# doc_id: p1074_35556036522308
# work_id: 
# title: Vinyl chloride emission standard : environmental impact statement.
# pass: blind
# source: run_manifest.json
# artifact_stage: v1
# grade options: correct|minor_issue|wrong|cant_tell
# BLIND PASS (MCAL_PLAN 7 Q5). critic_verdict is deliberately ABSENT and your_notes is deliberately EMPTY. Grade from extracted_value, quote and source_pages only. Do not open the reveal sheet until this one is finished: the human grade and the Critic verdict must be independent, because their agreement is what fits the conformal thresholds.
# page numbers are EXACT (from per-page JSON source).
# quote_verified: yes = quote located on the cited page +/-2 (OCR-normalized, mcal/quote_check.py); mixed = partially supported; no = not located.
# your_failure_tag: one tag from the tags[<field>] line below matching this row's field, or blank if your_grade is 'correct'. Leave blank rather than guessing -- an untagged defect is a signal that the taxonomy needs a new code.
# soi_useful (yes|no): fill ONCE, on the summary_of_interest row. Did summary_of_interest tell you something the standard summary.* fields did not? An empty summary_of_interest is a correct result for a routine document, so 'no' on an empty list is not a criticism of the field.
# extracted_value and quote are NOT truncated (MCAL_PLAN 6 acceptance item 4: gradable without opening another file).
# tags[title]: T04_undefined_acronym
# tags[year]: T11_year_ocr_error
# tags[eis_type]: T12_eis_type_confused_with_rod
# tags[lead_agency]: T04_undefined_acronym, T05_commenter_mislabeled_as_cooperator
# tags[summary.overview]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.project_description]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.affected_community]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.alternatives_overview]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.environmental_impact]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.public_response]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary_of_interest]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T17_manufactured_salience, T18_salience_duplicates_summary, T19_scope_qualifier_dropped
# tags[alternatives]: T01_missing_citation, T03_outside_text_fabrication, T04_undefined_acronym, T10_alternatives_chapter_missed
# tags[themes]: T03_outside_text_fabrication, T04_undefined_acronym
# tags[location]: T01_missing_citation, T03_outside_text_fabrication, T04_undefined_acronym, T06_geocode_missing, T07_geocode_wrong_specificity, T08_scope_misclassified_national, T09_multi_site_partial_geocode, T14_regional_scope_underspecified
# tags[key_people]: T01_missing_citation, T03_outside_text_fabrication, T04_undefined_acronym, T05_commenter_mislabeled_as_cooperator, T13_pre_1978_nepa_format, T20_role_bucket_underpopulated

field,extracted_value,quote,source_pages,quote_verified,model_confidence,your_grade,your_failure_tag,your_notes,soi_useful
title,Vinyl chloride emission standard : environmental impact statement.,"[p.1, 2, 3] ENVIRONMENTAL IMPACT STATEMENT VOLUME 2: PROMULGATED EMISSION STANDARD FOR VINYL CHLORIDE","1, 2, 3",yes,composite=1.000,,,,
year,1976,"[p.1, 2, 3] EPA-450/2-75-009b September 1976","1, 2, 3",yes,composite=1.000,,,,
eis_type,Final,"[p.1, 2, 3] Final Standard Support and Environmental Impact Statement","1, 2, 3",yes,composite=1.000,,,,
lead_agency,"[""Environmental Protection Agency""]","[p.1, 2, 3] U.S. ENVIRONMENTAL PROTECTION AGENCY Office of Air and Waste Management Office of Air Quality Planning and Standards","1, 2, 3",yes,composite=1.000,,,,
summary.overview,"The Environmental Protection Agency (EPA) is finalizing a national air-emission rule under section 112 of the Clean Air Act (the provision covering hazardous air pollutants) that limits vinyl chloride releases from about 50 chemical plants — those that make vinyl chloride monomer from ethylene dichloride and those that turn the monomer into polyvinyl chloride (PVC) resin. The rule requires 'best available control technology' — controls already in use elsewhere in the chemical industry — and would cut emissions by roughly 94% at a typical ethylene dichloride-vinyl chloride plant and 95% at a typical PVC plant, at about $198 million in capital costs and $70 million per year in annualized costs industry-wide. About 4.6 million people live within five miles of these plants (concentrated in Southwest Texas and Southern Louisiana) and face health risks including liver angiosarcoma, a rare cancer linked to vinyl chloride. EPA considered but rejected stricter alternatives (a total ban, zero-emission limits, and incinerating oxychlorination reactor emissions) and less stringent ones, choosing intermediate control levels where added stringency would have required, for example, ten times more energy at PVC dispersion plants. Beyond the intended air-quality benefit, EPA also examined side effects including increased hydrogen chloride emissions from incinerators, extra water and energy use, and solid waste from spent carbon adsorbers; industry commenters argued the standards were too costly and technically infeasible, while environmental commenters (including the Environmental Defense Fund) argued they were too weak and that vinyl chloride should be phased out.","[p.9, 10, 19, 30, 31, 99, 104, 113, 135] Fifty comment letters were received from environmental groups, industry, State and local air pollution control agencies, and individual citizens.","9, 10, 19, 30, 31, 99, 104, 113, 135",yes,composite=0.400,,,,
summary.project_description,"Environmental Protection Agency (EPA) is promulgating (finalizing) a national emission standard under section 112 of the Clean Air Act — the provision covering hazardous air pollutants — that limits vinyl chloride emissions from two kinds of chemical plants: ethylene dichloride-vinyl chloride plants (which make the vinyl chloride monomer) and polyvinyl chloride (PVC) plants (which convert that monomer into PVC resin). The rule requires 'best available control technology,' meaning controls already in use at chemical plants and adaptable to these facilities, applied to both process vents and fugitive (leak) sources such as valves, pumps, and flanges. Specific numeric limits include stripping most PVC resins down to 400 parts per million (ppm) residual vinyl chloride (2,000 ppm for harder-to-strip 'dispersion' resins used in specialty products) and a 10 ppm concentration limit on many stack emission points. For a typical average-sized ethylene dichloride-vinyl chloride plant, hourly emissions would fall from 176 kg to 10 kg (about 94%), and for a typical PVC plant from 330 kg to 16 kg (about 95%).","[p.7, 9, 57, 80, 99] For a typical average-sized ethylene dichloride-vinyl chloride plant, the standard will reduce hourly vinyl chloride emissions from 176 kg to 10 kg. This is approximately a 94 percent reduction. For a typical average-sized polyvinyl chloride plant, the hourly vinyl chloride emissions will be reduced from 330 kg to 16 kg, or by approximately 95 percent.","7, 9, 57, 80, 99",yes,composite=1.000,,,,
summary.affected_community,"Environmental Protection Agency (EPA) estimates about 4.6 million people live within a 5-mile radius of ethylene dichloride-vinyl chloride and PVC plants (about 1.7 million within 3 miles), and 14 of the 17 ethylene dichloride-vinyl chloride plants are concentrated in Southwest Texas and Southern Louisiana, in petrochemical complexes near cities such as New Orleans, Houston, Baton Rouge, and Long Beach. Workers at these plants and nearby residents face health risks including liver angiosarcoma (a rare liver cancer) and other cancers, based on studies of occupationally exposed people and lab animals. EPA looked for higher-than-average clustering of angiosarcoma cases among people living near these plants but its survey was not sensitive enough to find such clustering. A separate concern was accidental PVC particulate releases (dust containing residual vinyl chloride) drifting into ambient air near plants, and vinyl chloride levels up to 1.9 ppm measured at plant landfills with 0.4 ppm in a nearby residential area.","[p.19, 31, 32, 110, 122, 132, 135] EPA states that approximately 4.6 million people live within a 5-mile radius of ethylene dichloride/vinyl chloride and polyvinyl chloride manufacturing facilities.","19, 31, 32, 110, 122, 132, 135",yes,composite=1.000,,,,
summary.alternatives_overview,"Environmental Protection Agency (EPA) compared control options of different stringency for each emission point. For the oxychlorination reactor (a step in making vinyl chloride monomer), EPA considered three control levels — roughly 90%, 94%, and 97% plant-wide reductions — and chose the 94% level, rejecting the 97% option because incineration would require a large fuel penalty. For PVC dispersion plants (which make specialty resins), Alternative I cuts emissions 52% and the stricter Alternative II cuts 95% but uses ten times more energy. For PVC resin cleanup, EPA compared improved 'stripping' (removing residual vinyl chloride from the resin) with add-on controls like incinerators and found stripping cheaper — about $3.3 million installed capital and $1.36 million annualized versus $5.29 million and $4.89 million for incineration. EPA rejected as 'grossly disproportionate' in cost such options as placing a 'bubble' around a whole plant to capture all emissions, stacking multiple incinerators, and incinerating the oxychlorination process emissions. Broader alternatives raised by commenters and rejected included a total ban on vinyl chloride, a zero-emission limit, and setting an ambient air quality standard under section 109 or regulating only new sources under section 111.","[p.27, 30, 34, 54, 99, 113] For improved stripping, the installed capital cost is $3,319,000 and the total annualized cost is $1,363,000. For incineration, the installed capital cost is $5,287,000 and the total annualized cost is $4,892,000.","27, 30, 34, 54, 99, 113",yes,composite=0.600,,,,
summary.environmental_impact,"The primary impact is beneficial: emissions cuts of about 94–95% at typical plants and corresponding drops in ambient (outdoor) vinyl chloride concentrations, lowering health risks including angiosarcoma. Fugitive emissions — small leaks from valves, pumps, sample-taking, and equipment openings — are the largest source at these plants, with sources following the PVC resin stripper alone accounting for 46% of a PVC plant's emissions. Side effects include extra hydrogen chloride (HCl) from incinerators — even with a moderately efficient scrubber (98% control), HCl emissions at a typical ethylene dichloride-vinyl chloride plant could still rise about 35%, and under worst-case weather conditions ambient HCl concentrations could reach or exceed foreign standards and National Academy of Sciences guidelines. Other side effects are lower pH in in-process wastewater, small increases in vinyl chloride in wastewater, extra solid waste from spent activated carbon adsorbers (with a 1–3 year bed life Environmental Protection Agency (EPA) calls 'conjectural'), and increased energy and water use — though industry says water use will be much lower than EPA's worst-case estimate because plants will recycle. EPA's cancer risk assessment used a linear no-threshold model (which assumes any dose carries some cancer risk, with no safe cutoff), while industry argued a log-probit model would place risks about ten times lower.","[p.9, 10, 57, 71, 108, 109, 120, 122] Emission sources following the polyvinyl chloride resin stripper account for 46 percent of a polyvinyl chloride plant's vinyl chloride emissions.","9, 10, 57, 71, 108, 109, 120, 122",yes,composite=1.000,,,,
summary.public_response,"Environmental Protection Agency (EPA) received 50 comment letters and held a public hearing on February 3, 1976, drawing input from industry (e.g., Dow, Goodyear, B.F. Goodrich, Society of the Plastics Industry), state and local air agencies, environmental groups (Environmental Defense Fund, Health Research Group, West Virginia Citizen Action Group), federal agencies (NIOSH, Occupational Safety and Health (OSHA), Commerce, Interior), and individual residents. Industry commenters generally argued the standards were too strict, technically infeasible, or too costly — for example, requesting the 2,000 ppm dispersion-resin limit be relaxed to 6,000 ppm, longer averaging periods (30 days instead of 24 hours), removal of the double mechanical seal pump requirement, and provision for emergency manual venting; they also argued EPA overstated shutdown risk (three of four plants EPA had predicted would close later told EPA they would not) and picked an overly conservative cancer risk model. Environmental commenters, including the Environmental Defense Fund, urged much stricter action — a cost/risk analysis, zero-emission limits, phaseout of substitutable uses within one year, and a total ban within three years — and argued EPA's risk assessment understated risk by ignoring prenatal exposure, childhood exposure, longer human latency, and synergies with other pollutants. Hearing witness Barry Castleman argued substitutes exist for more PVC uses than EPA listed and criticized EPA for not putting a dollar value on worker and community health impacts. EPA declined most requests to weaken numeric limits and refused to add malfunction, startup, or variance exemptions given the seriousness of vinyl chloride health effects under section 112, but made clarifying changes including allowing emergency manual venting, correcting a reactor-opening emission factor to 0.002 kg vinyl chloride per 100 kg PVC, and relaxing the portable hydrocarbon detector sensitivity requirement from 5 ppm to 10 ppm.","[p.7, 30, 32, 51, 52, 59, 65, 69, 88, 100, 106, 124, 131] Fifty comment letters were received from environmental groups, industry, State and local air pollution control agencies, and individual citizens. On February 3, 1976, EPA held a public hearing on the proposed standard in Washington, D. C.","7, 30, 32, 51, 52, 59, 65, 69, 88, 100, 106, 124, 131",yes,composite=0.850,,,,
