# doc_id: p1074_35556036806586
# work_id: csv:35556036806586
# title: Bad Creek pumped storage project : environmental impact statement.
# n_commenters: 98
# n_complaints: 133
# n_responses: 48
# grade options: correct|minor_issue|wrong|cant_tell
# stance vocab: in_favor|opposed|conditional|neutral
# kind vocab: individual|official|organization|agency|tribe|government|other
# response_pages: resolved by searching source per-page JSON for the response opening_anchor; '?' means anchor did not match any page.

complainer_id,entity,kind,role,stance,stance_confidence,comment_pages_from,comment_pages_to,comment_pages_all,n_complaints,responded,response_ids,response_pages,response_agency,needs_human_review,human_review_reasons,your_grade,your_notes
p1074_35556036806586_K001,"Department of Health, Education, and Welfare",agency,Federal agency requested to review draft EIS; responded,neutral,medium,1,1,1,1,N,,,,no,,,
p1074_35556036806586_K006,Forest Service (Department of Agriculture),agency,Federal agency requested to review draft EIS; responded,neutral,medium,1,1,1,1,N,,,,no,,,
p1074_35556036806586_K010,South Carolina Department of Health and Environmental Control,agency,State environmental/health agency — fish consumption advisory,conditional,medium,1,1,1,2,N,,,,no,,,
p1074_35556036806586_K014,Tennessee Valley Authority (TVA),agency,Federal electric generating system considered as alternative developer/power source,neutral,medium,1,1,1,1,N,,,,no,,,
p1074_35556036806586_K004,Duke Power Company,organization,Applicant for Bad Creek Pumped Storage Project license,in_favor,medium,19,19,19,1,N,,,,no,,,
p1074_35556036806586_K018,North Carolina Wildlife Resources Commission,agency,State agency managing wildlife land at Long Spur Ridge and Coley Creek sites,neutral,medium,66,66,66,1,N,,,,no,,,
p1074_35556036806586_K020,South Carolina Wildlife and Marine Resources Department,agency,state wildlife agency referenced regarding wildlife management agreements,conditional,medium,66,66,66,1,N,,,,no,,,
p1074_35556036806586_K019,SCDHEC,agency,South Carolina Department of Health and Environmental Control — permitting authority,neutral,medium,77,77,77,1,N,,,,no,,,
p1074_35556036806586_K016,Abernathy (1975),individual,researcher/scientist — mercury study author,opposed,medium,89,89,89,2,Y,p1074_35556036806586_R001,89,other,yes,private_individual,,
p1074_35556036806586_K029,SERI,organization,"Southeast Reservoir Investigations, research body",neutral,medium,95,100,"95,98,100",3,Y,p1074_35556036806586_R002,100,other,no,,,
p1074_35556036806586_K021,Southeast Reservoir Investigations,agency,U.S. Fish and Wildlife Service unit — trout habitat assessment,neutral,medium,97,100,"97,98,99,100",5,N,,,,no,,,
p1074_35556036806586_K026,"Highlands Biological Station, Inc.",organization,Research organization identifying important bryophyte area in Thompson River Gorge,conditional,medium,103,103,103,1,Y,p1074_35556036806586_R003,103,other,no,,,
p1074_35556036806586_K033,The Highlands Biological Station,organization,biological survey organization,conditional,medium,103,103,103,1,Y,p1074_35556036806586_R004,103,other,no,,,
p1074_35556036806586_K030,Smithsonian Institution,organization,"scientific institution, threatened species identifier",neutral,medium,104,104,104,1,N,,,,no,,,
p1074_35556036806586_K035,U.S. Fish and Wildlife Service,agency,"federal wildlife agency, endangered species listing authority",neutral,medium,104,104,104,3,N,,,,no,,,
p1074_35556036806586_K028,North Carolina Department of Natural and Economic Resources,agency,"state natural resources agency, endangered species classification",neutral,medium,106,107,"106,107",2,N,,,,no,,,
