# doc_id: p1074_35556036861656
# work_id: 
# title: Motor carrier commercial zones and terminal areas : environmental impact statement.
# pass: reveal
# source: run_manifest.json
# artifact_stage: v1
# grade options: correct|minor_issue|wrong|cant_tell
# REVEAL PASS (MCAL_PLAN 7 Q5). critic_verdict, critic_failure_tag and critic_notes are shown for META-ANALYSIS ONLY. Fill this sheet only after the blind pass is complete. The Critic's notes are in critic_notes; your_notes is yours.
# page numbers are EXACT (from per-page JSON source).
# quote_verified: yes = quote located on the cited page +/-2 (OCR-normalized, mcal/quote_check.py); mixed = partially supported; no = not located.
# your_failure_tag: one tag from the tags[<field>] line below matching this row's field, or blank if your_grade is 'correct'. Leave blank rather than guessing -- an untagged defect is a signal that the taxonomy needs a new code.
# soi_useful (yes|no): fill ONCE, on the summary_of_interest row. Did summary_of_interest tell you something the standard summary.* fields did not? An empty summary_of_interest is a correct result for a routine document, so 'no' on an empty list is not a criticism of the field.
# extracted_value and quote are NOT truncated (MCAL_PLAN 6 acceptance item 4: gradable without opening another file).
# tags[title]: T04_undefined_acronym
# tags[year]: T11_year_ocr_error
# tags[eis_type]: T12_eis_type_confused_with_rod
# tags[lead_agency]: T04_undefined_acronym, T05_commenter_mislabeled_as_cooperator
# tags[summary.overview]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.project_description]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.affected_community]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.alternatives_overview]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.environmental_impact]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.public_response]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary_of_interest]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T17_manufactured_salience, T18_salience_duplicates_summary, T19_scope_qualifier_dropped
# tags[alternatives]: T01_missing_citation, T03_outside_text_fabrication, T04_undefined_acronym, T10_alternatives_chapter_missed
# tags[themes]: T03_outside_text_fabrication, T04_undefined_acronym
# tags[location]: T01_missing_citation, T03_outside_text_fabrication, T04_undefined_acronym, T06_geocode_missing, T07_geocode_wrong_specificity, T08_scope_misclassified_national, T09_multi_site_partial_geocode, T14_regional_scope_underspecified
# tags[key_people]: T01_missing_citation, T03_outside_text_fabrication, T04_undefined_acronym, T05_commenter_mislabeled_as_cooperator, T13_pre_1978_nepa_format, T20_role_bucket_underpopulated

field,extracted_value,quote,source_pages,quote_verified,critic_verdict,critic_failure_tag,critic_notes,model_confidence,your_grade,your_failure_tag,your_notes,soi_useful
title,Motor carrier commercial zones and terminal areas : environmental impact statement.,"[p.1, 2, 3] COMMERCIAL ZONES AND TERMINAL AREAS","1, 2, 3",yes,PASS,,The extracted title 'Motor carrier commercial zones and terminal areas : environmental impact statement.' is a plausible EIS title consistent with the document content. The cover page (page 1) shows 'COMMERCIAL ZONES AND TERMINAL AREAS' and page 5 references 'a draft environmental impact statement prepared in compliance with our responsibilities pursuant to the National Environmental Policy Act of,composite=1.000,,,,
year,1976,"[p.1, 2, 3] Decided December 17, 1976","1, 2, 3",yes,PASS,,,composite=1.000,,,,
eis_type,Unknown,"[p.1, 2, 3] Appended to the Interim Report was a draft environmental impact statement prepared in compliance with our responsibilities pursuant to the National Environmental Policy Act of 1969 (NEPA)","1, 2, 3",yes,HUMAN_REVIEW,T12_eis_type_confused_with_rod,"The cited pages contain a reference to 'a draft environmental impact statement' appended to the Interim Report, which indicates the EIS type is 'Draft' rather than 'Unknown'. However, this reference appears in body text rather than as a section heading or cover-page designation (Q7 = no). The document itself appears to be an ICC rulemaking report (Ex Parte No. MC-37), not the EIS itself — the draf; gate_reason=critic_verdict; gated_to_human=true",composite=0.650,,,,
lead_agency,"[""Interstate Commerce Commission""]","[p.1, 2, 3] REPORT OF THE COMMISSION BY THE COMMISSION:","1, 2, 3",yes,PASS,,"The document is an Interstate Commerce Commission report (Ex Parte No. MC-37), and the report is explicitly issued 'BY THE COMMISSION,' confirming the ICC as the lead agency. The document also references the ICC's responsibilities under NEPA on page 5.",composite=1.000,,,,
summary.overview,"The Interstate Commerce Commission is issuing a final rule that enlarges the 'commercial zones' and 'terminal areas' around U.S. cities — the geographic rings within which trucking companies and freight forwarders can pick up and deliver freight without needing full federal operating authority. The rule replaces a 1940s-era 2-to-5-mile formula with a graduated population-mileage formula that reaches 20 miles for cities of 1 million or more, with custom zones for places like New York, Los Angeles, and St. Louis and combined zones for 'twin cities' such as Minneapolis-St. Paul. Alternatives considered and rejected include keeping the old formula, defining each city's zone case-by-case, using Census Bureau Standard Metropolitan Statistical Areas (county-based groupings the Commission found too broad), and measuring the radius from a city's center rather than its corporate limits. The Commission prepared a draft and final environmental impact statement under the National Environmental Policy Act and concluded that zone expansion will not harm the environment, though commenters warned of more trucks on urban roads and possible sprawl into wetlands and farmland in rings like the one between the old and new Minneapolis-St. Paul boundaries. Public response split sharply: shippers, port authorities, chambers of commerce, and freight forwarders overwhelmingly supported expansion, while small short-haul carriers, specialized carriers, and 143 of 144 individual commenters opposed it, and two commissioners dissented, calling the result 'tantamount to a deregulatory effort.'","[p.5, 28, 53, 83, 118, 122, 134, 194] inasmuch as the effect of the majority's findings is tantamount to a deregulatory effort on the Commission's part","5, 28, 53, 83, 118, 122, 134, 194",yes,HUMAN_REVIEW,,"All major claims verify against cited pages: the graduated population-mileage formula reaching 20 miles for cities of 1 million or more (p.5/84), custom zones for New York, Los Angeles, St. Louis (pp.26-30), twin cities including Minneapolis-St. Paul (p.118), rejection of SMSA/county-based approach (p.81-82), rejection of radius-from-center measurement (p.83), the environmental conclusion (p.122),; gate_reason=composite_below_tau; gated_to_human=true",composite=0.750,,,,
summary.project_description,"The Interstate Commerce Commission is finalizing a rule (Ex Parte No. MC-37 (Sub-No. 26), amending 49 CFR Parts 1041, 1048, and 1049) that enlarges the 'commercial zones' and 'terminal areas' around U.S. cities — the geographic rings within which motor carriers and freight forwarders can pick up and deliver freight under a partial exemption from federal economic regulation in sections 203(b)(8) and 202(c) of the Interstate Commerce Act. The rule replaces the mid-1940s population-mileage formula with a larger graduated formula: for example, cities under 2,500 people get a 3-mile radius from city limits, cities of 100,000–199,999 get 8 miles, and cities of 1 million or more get 20 miles. Special custom-drawn boundaries apply to New York, Los Angeles (which abolishes the separate Harbor zone), St. Louis, Washington D.C., Pittsburgh, and twelve 'twin city' pairs (such as Minneapolis-St. Paul and Kansas City, Mo.-Kansas City, Kans.) that are treated as a single municipality. The rules take effect 90 days after Federal Register publication.","[p.1, 5, 53, 106, 118, 132, 202, 212] the rules adopted herein shall become effective 90 days from the date of publication of the attached notice in the Federal Register","1, 5, 53, 106, 118, 132, 202, 212",yes,HUMAN_REVIEW,,"Key claims verified: Ex Parte No. MC-37 (Sub-No. 26) amending 49 CFR Parts 1041, 1048, 1049 (page 200); population-mileage formula figures (pages 5, 203, 214); sections 203(b)(8) and 202(c) exemption framing (pages 6, 53, 117); Los Angeles Harbor zone abolished (page 106); twin cities list including Minneapolis-St. Paul and Kansas City pairs (pages 118, 211-212); 90-day effective date (page 132). ; gate_reason=composite_below_tau; gated_to_human=true",composite=1.000,,,,
summary.affected_community,"The rule reaches shippers, motor carriers, and freight forwarders nationwide, with the record focused on specific metropolitan areas: New York City and its New Jersey, Westchester, and Nassau suburbs; Chicago; Los Angeles and the Los Angeles Harbor area (San Pedro, Terminal Island, Wilmington); Seattle-Tacoma-Bremerton-Everett; Portland-Vancouver; Philadelphia and its seven surrounding Pennsylvania and New Jersey counties; Miami/Dade and Broward counties; and the St. Louis–East St. Louis–Belleville area. Participants included 313 motor carriers, 13 motor carrier associations, the Freight Forwarder Institute and its 28 members, 63 shippers, 23 shipper associations, 58 local-government/chamber/realtor commenters, 4 state agencies, 2 labor unions, 144 individuals, port authorities, and four members of the U.S. House of Representatives. A 'Short Haul Survival Committee' of 252 small trucking firms was the principal opposing voice, and some short-haul carriers predicted losing 20 to 70 percent of their volume.","[p.18, 26, 38, 63, 105, 168] 313 motor carriers have filed individual and joint representations and 13 motor carrier associations also presented their views","18, 26, 38, 63, 105, 168",yes,HUMAN_REVIEW,T03_outside_text_fabrication,"Several claims are not supported by the cited pages. (1) The extraction says 'Two freight forwarders filed comments, and the Freight Forwarder Institute submitted evidence on its own behalf and that of its 28 member forwarders' — the value collapses this into 'the Freight Forwarder Institute and its 28 members' which is acceptable, but then lists 'Miami/Dade and Broward counties' and 'St. Louis–Ea; gate_reason=critic_verdict; gated_to_human=true",composite=0.650,,,,
summary.alternatives_overview,"The environmental impact statement analyzed six alternatives: (1) no action (keep the existing formula); (2) eliminate the population-mileage formula and define each city case-by-case; (3) an even more expansive formula (Arthur D. Little proposed 5 to 30 miles by city size); (4) a 'ring approach' measuring the radius from the city center instead of the current 'contour approach' measuring from corporate limits; (5) a formula 50 percent larger for cities with physical barriers like oceans, mountains, or deserts; and (6) using Census Bureau Standard Metropolitan Statistical Areas (SMSAs — county-based groupings requiring a central city of at least 50,000). The Commission rejected SMSAs as too broad because they include entire counties regardless of population density, rejected center-point measurement because most cities lack a commonly accepted center, rejected case-by-case adjudication as too slow, and rejected a physical-limitations correction as not administratively feasible. Commenters also proposed treating pairs like San Francisco/Oakland as 'twin cities' with combined populations and exempting specialized carriers (bulk tank trucks, household goods movers, initial-movement auto transporters) — the Commission adopted twin-city treatment for twelve pairs but rejected the specialty-carrier carve-outs as contrary to uniform regulation.","[p.34, 79, 83, 121, 173, 174, 188, 189] 1. No action. 2. Eliminate the population-mileage formula completely. 3. Expansion of proposed formula.","34, 79, 83, 121, 173, 174, 188, 189",yes,HUMAN_REVIEW,T04_undefined_acronym,"The value introduces 'SMSAs' with an inline gloss on first use, which is good. However, the document also discusses SCSAs (Standard Consolidated Statistical Areas) as part of alternative 6 ('Use of SMSA's or SCSA's'), and the value collapses this to just SMSAs. This is a minor scope simplification rather than a fabrication -- the SMSA description is accurate. All six alternatives are correctly enu; gate_reason=composite_below_tau; gated_to_human=true",composite=0.600,,,,
summary.environmental_impact,"The Commission prepared a draft environmental impact statement under the National Environmental Policy Act of 1969 and a final statement in Appendix C, and concluded that zone expansion will not harm the environment. The main projected benefit is a reduction in 'interlining' (where a long-haul carrier hands off freight to a local carrier at a terminal), which the Commission expects to cut truck mileage, fuel use, and emissions of the four main motor-vehicle pollutants — carbon monoxide, nitrogen oxides, photochemical oxidants, and hydrocarbons — consistent with the Clean Air Act of 1970. The main adverse effect analyzed is that a larger exempt market may draw more local unregulated carriers, producing empty mileage, lower load factors, more fuel use, and more urban traffic congestion until competition stabilizes. Commenters warned that industrial development in the ring between the old and new Minneapolis-St. Paul boundaries could damage water bodies, groundwater recharge areas, wetlands, agricultural lands, and habitat for rare species; the Commission responded that there is not enough evidence linking zone expansion to sprawl and that such development is properly controlled by local land-use rules and existing state and federal wetlands regulations. Safety concerns about hazardous liquids and dry bulk commodities moving in unregulated urban operations were referred to the Federal Highway Administration.","[p.5, 121, 122, 173, 180, 181, 186, 193, 194, 195] Industrial development in the ring between boundaries of the present Commercial Zone of Minneapolis-St. Paul and the proposed 15 mile zone would have extremely serious adverse environmental consequences in such areas as water bodies and water courses, ground water recharge areas, wet lands, soils, agricultural lands, and unique or endangered plants and animals.","5, 121, 122, 173, 180, 181, 186, 193, 194, 195",yes,HUMAN_REVIEW,,gate_reason=composite_below_tau; gated_to_human=true,composite=1.000,,,,
summary.public_response,"Response split sharply by group. Of 121 shipper and local commenters, 120 favored expansion; all three state agencies supported it; but 143 of 144 individual commenters (mostly employees of regulated motor carriers) opposed it. Motor carriers divided along size lines — long-haul and irregular-route carriers generally supported expansion, while small short-haul carriers argued it amounted to deregulation, would divert their traffic to new unregulated entrants, and constituted an unconstitutional Fifth Amendment 'taking' of the value of their operating certificates. The Freight Forwarders Institute, the U.S. Department of Transportation, the Port Authority of New York and New Jersey, the Pennjerdel Corporation, and the chambers of commerce of Dallas, Houston, and Pittsburgh supported expansion; the Environmental Protection Agency did not object but asked for more air quality detail, and the Department of the Interior offered no comments. Several carriers demanded formal oral hearings and cross-examination and objected to Federal Register notice; the Commission rejected these procedural demands, holding that neither the Administrative Procedure Act nor the Constitution requires an oral hearing in a rulemaking on legislative facts. Commissioner Brown dissented, and Commissioner Hardin (joined by Chairman Stafford and Commissioner Murphy) dissented that the record did not justify the new formula, calling the result 'tantamount to a deregulatory effort.'","[p.22, 28, 46, 47, 50, 85, 120, 129, 133, 134, 192] Of the 121 shipper and local interest representatives, 120 favor and one opposes expansion. All three State agencies support expansion. The individuals who filed representations, most of whom are employees of regulated motor carriers, oppose the propose 143 to 1.","22, 28, 46, 47, 50, 85, 120, 129, 133, 134, 192",yes,HUMAN_REVIEW,T03_outside_text_fabrication,Multiple fabrications/misattributions. (1) The claim that 'Motor carriers divided along size lines — long-haul and irregular-route carriers generally supported expansion' is not supported: p.22 says irregular route carriers argue expansion is INEQUITABLE because it enlarges regular-route carriers' authority without equivalent benefit to them — the opposite of support. (2) 'The Freight Forwarders I; gate_reason=critic_verdict; gated_to_human=true,composite=0.650,,,,
