# doc_id: p1074_35556036525913
# work_id: 
# title: Marijuana eradication project, Pulaski County : environmental impact statement.
# pass: reveal
# source: run_manifest.json
# artifact_stage: v1
# grade options: correct|minor_issue|wrong|cant_tell
# REVEAL PASS (MCAL_PLAN 7 Q5). critic_verdict, critic_failure_tag and critic_notes are shown for META-ANALYSIS ONLY. Fill this sheet only after the blind pass is complete. The Critic's notes are in critic_notes; your_notes is yours.
# page numbers are EXACT (from per-page JSON source).
# quote_verified: yes = quote located on the cited page +/-2 (OCR-normalized, mcal/quote_check.py); mixed = partially supported; no = not located.
# your_failure_tag: one tag from the tags[<field>] line below matching this row's field, or blank if your_grade is 'correct'. Leave blank rather than guessing -- an untagged defect is a signal that the taxonomy needs a new code.
# soi_useful (yes|no): fill ONCE, on the summary_of_interest row. Did summary_of_interest tell you something the standard summary.* fields did not? An empty summary_of_interest is a correct result for a routine document, so 'no' on an empty list is not a criticism of the field.
# extracted_value and quote are NOT truncated (MCAL_PLAN 6 acceptance item 4: gradable without opening another file).
# tags[title]: T04_undefined_acronym
# tags[year]: T11_year_ocr_error
# tags[eis_type]: T12_eis_type_confused_with_rod
# tags[lead_agency]: T04_undefined_acronym, T05_commenter_mislabeled_as_cooperator
# tags[summary.overview]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.project_description]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.affected_community]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.alternatives_overview]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.environmental_impact]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.public_response]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary_of_interest]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T17_manufactured_salience, T18_salience_duplicates_summary, T19_scope_qualifier_dropped
# tags[alternatives]: T01_missing_citation, T03_outside_text_fabrication, T04_undefined_acronym, T10_alternatives_chapter_missed
# tags[themes]: T03_outside_text_fabrication, T04_undefined_acronym
# tags[location]: T01_missing_citation, T03_outside_text_fabrication, T04_undefined_acronym, T06_geocode_missing, T07_geocode_wrong_specificity, T08_scope_misclassified_national, T09_multi_site_partial_geocode, T14_regional_scope_underspecified
# tags[key_people]: T01_missing_citation, T03_outside_text_fabrication, T04_undefined_acronym, T05_commenter_mislabeled_as_cooperator, T13_pre_1978_nepa_format, T20_role_bucket_underpopulated

field,extracted_value,quote,source_pages,quote_verified,critic_verdict,critic_failure_tag,critic_notes,model_confidence,your_grade,your_failure_tag,your_notes,soi_useful
title,"Marijuana eradication project, Pulaski County : environmental impact statement.","[p.1, 2, 3] This Environmental Statement for a Marijuana Eradication Project is being submitted","1, 2, 3",yes,PASS_WITH_NOTE,,"The extracted title references 'Pulaski County' which is supported by page 5 ('In Pulaski County, Indiana, there are 65 square acres of wild growing marijuana'). However, the cover page (page 1) does not display a formal title — it reads 'FINAL ENVIRONMENTAL STATEMENT' without naming Pulaski County or the marijuana eradication project explicitly. The extracted title appears to be a catalogue-deriv",composite=0.850,,,,
year,1972,"[p.1, 2, 3] The Final Statement was made available to CEQ on May 9, 1972.","1, 2, 3",yes,PASS,,"The year 1972 is confirmed by multiple references on the cited pages, including the Draft Statement availability date of April 26, 1972 and the Final Statement availability date of May 9, 1972. The source_type 'body' is appropriate as these dates appear in the body text of the document. No OCR misread is plausible given the consistent '1972' across multiple instances.",composite=1.000,,,,
eis_type,Final,"[p.1, 2, 3] FINAL ENVIRONMENTAL STATEMENT","1, 2, 3",yes,PASS,,,composite=1.000,,,,
lead_agency,"[""Law Enforcement Assistance Administration""]","[p.1, 2, 3] LAW ENFORCEMENT ASSISTANCE ADMINISTRATION FINAL ENVIRONMENTAL STATEMENT Prepared By: Office of General Counsel Law Enforcement Assistance Administration","1, 2, 3",yes,PASS,,,composite=1.000,,,,
summary.overview,"The Law Enforcement Assistance Administration proposes a $3,000 grant to spray 65 acres of wild hemp/marijuana fields plus 65 linear miles of ditch and road shoulder in Richgrove Township, Pulaski County, Indiana — a farming community with no towns, growing mainly spearmint and potatoes. A helicopter would apply granulated 2,4-D herbicide (equivalent to 1 lb per acre) in one day in early May. Five alternatives were considered and rejected: burning, mowing, increased police patrols, legalizing marijuana, and doing nothing. The statement calls the overall environmental impact insignificant given the small area, though it acknowledges loss of cover and food for wild birds and changes to insects (including wild bees) and soil microorganisms; the herbicide is described as only slightly toxic to people and animals. Reviewing agencies were generally supportive, with U.S. Environmental Protection Agency (EPA) finding 'no serious impact on the environment' and the Indiana Stream Pollution Control Board believing the herbicide could be applied without direct toxic effect on aquatic life, though residual effects had not been evaluated.","[p.3, 5, 13, 14, 15, 18, 25] The Prosecutor's Office, Winamac, Indiana has requested a $3,000 grant to destroy the marijuana fields in Pulaski County","3, 5, 13, 14, 15, 18, 25",yes,HUMAN_REVIEW,T03_outside_text_fabrication,"Two specific claims fail substring verification: (1) The extracted value says spraying would occur 'in early May' as a one-day operation — page 13 says 'Immediate spraying in early May is essential' and page 5 says 'over a one day period by helicopter,' so this is supported. (2) The extracted value describes Richgrove Township as having 'no towns' — page 13 says 'There are no towns in this area,' ; gate_reason=critic_verdict; gated_to_human=true",composite=0.650,,,,
summary.project_description,"The Law Enforcement Assistance Administration proposes a $3,000 grant to spray 65 acres of wild hemp/marijuana fields plus 65 linear miles of ditch and road shoulder (20-foot strips on each side) in Richgrove Township, Pulaski County, Indiana. Spraying would be done in one day by helicopter using granulated 2,4-D herbicide (33% acid ester, 67% clay — equivalent to 1 lb 2,4-D per acre) applied in early May when plants are young. The contractor is Clarke Outdoor Spraying Company of La Grange, Illinois.","[p.3, 5] spray 65 square acres and 65 linear miles of ditch and road shoulder with granulated form 2, 4D herbicide","3, 5",yes,HUMAN_REVIEW,T02_numeric_hallucination,"The value says '20-foot strips on each side' for 65 linear miles, but page 3 states 'Twenty foot strips on both sides of the ditch area for a distance of 33 miles will be sprayed' — the 20-foot strips are attached to 33 miles, not 65. Also, the document says the grant was requested by 'The Prosecutor's Office, Winamac, Indiana', not proposed by LEAA (LEAA is the grantor/lead agency for the EIS). C; gate_reason=critic_verdict; gated_to_human=true",composite=0.650,,,,
summary.affected_community,"The spray area is in Richgrove Township, Pulaski County, Indiana — a farming community that grows mainly spearmint and potatoes, with no towns or population centers. Two state parks lie nearby (Jasper Pulaski Game Preserve, 7 miles northwest; Winamac Fish and Game Preserve, 8 miles east) but are not expected to be affected. The document also anticipates the project would prevent an influx of roughly 2,000 people coming to pick marijuana.","[p.13, 15] Richgrove Township, Pulaski County is a farmland community, which is predominantly a spearmint and potato growing area.","13, 15",yes,HUMAN_REVIEW,,"The 2,000 figure appears on p.15 (cited); parks and community description on p.13 (cited). Note: document spells the park 'Jasper Pulaski Came Preserve' (OCR of 'Game'); extraction correctly reads 'Game'. All claims verified.; gate_reason=composite_below_tau; gated_to_human=true",composite=1.000,,,,
summary.alternatives_overview,The statement considers five alternatives and rejects each: (a) burning is infeasible because the muck land would burn continuously and cause air pollution; (b) mowing or tillage cannot reach the inaccessible areas; (c) increased law enforcement patrols would require unavailable personnel and could still stop only about 10% of pickers; (d) legalizing marijuana is outside the agency's authority; and (e) doing nothing (letting the hemp mature) would result in an estimated 200 arrests as pickers are prosecuted.,"[p.14, 15] Burning of the Hemp. This is not a feasible alternative since the acreage involved is mostly muck land which would burn continuously and would lead to increased air pollution.","14, 15",yes,HUMAN_REVIEW,,"All five alternatives (burning, mowing/tillage, law enforcement, legalization, no action) are present on pages 14-15 with the rationales as described. The 10% figure and 200 arrests figure both match. No preferred alternative is claimed.; gate_reason=composite_below_tau; gated_to_human=true",composite=1.000,,,,
summary.environmental_impact,"The statement characterizes overall impact as insignificant given the small area. Expected adverse effects include loss of cover and food for wild birds and other fauna, and changes to local insects (including wild bees) and soil microorganisms. The 2,4-D chemical is described as only slightly toxic to people and animals, persisting 7–126 days before being metabolized by soil organisms. Mitigation includes reseeding the area with appropriate cover the same year, using granular (not liquid) form to reduce drift into ditches, spraying by helicopter on a windless day (0–10 mph), and stopping if wind reaches 10 mph. No known irreversible commitment of resources is anticipated.","[p.13, 14, 15, 16, 20] The principal impact on the immediate ecological system will be the loss of cover and food for the wild birds and other fauna which depend on the plants. The loss of these plants will likely also cause changes in the local insect population including any wild bees, and in soil microorganisms.","13, 14, 15, 16, 20",yes,HUMAN_REVIEW,T02_numeric_hallucination,"The value states spraying stops 'if wind reaches 10 mph' with windless day defined as '0–10 mph'. Page 16 says a wind check is made at 7 mph and spraying stops at 10 mph, with the windless-day range being 0-10 mph — so the stop threshold is correct but the value omits the 7 mph check step. More critically, the value says the helicopter sprays on a 'windless day (0–10 mph)' which matches, but confl; gate_reason=critic_verdict; gated_to_human=true",composite=0.650,,,,
summary.public_response,"Reviewing agencies were generally supportive. The U.S. Environmental Protection Agency wrote that 2,4-D is registered for wild hemp control and that the program 'will have no serious impact on the environment.' The U.S. Department of Agriculture had no comments. Indiana's Cooperative Extension Service (Purdue) endorsed the single-agency control approach over indiscriminate individual applications. The Indiana Stream Pollution Control Board, after meeting with the contractor, believed the herbicide could be applied without direct toxic effect on aquatic life but noted residual effects had not yet been evaluated. Professor Knake of the University of Illinois urged precautions to keep 2,4-D out of drainage ditches but vouched for the contractor's prior work.","[p.16, 17, 18, 20, 25] The United States Environmental Protection Agency has advised that the 2,4D herbicide proposed use is registered for the control of wild hemp","16, 17, 18, 20, 25",yes,HUMAN_REVIEW,,"All claims verified against cited pages. EPA quote on p.16/18, USDA no-comment on p.17/19, Purdue Extension endorsement on p.16/20, Stream Pollution Control Board findings on p.25, Professor Knake on p.16. Professor Knake is identified with University of Illinois Agronomy Department, so non-private role.; gate_reason=composite_below_tau; gated_to_human=true",composite=1.000,,,,
