# doc_id: P0491_35556036806768
# work_id: bbae926c-0ea9-401d-9b66-a08e1513a8c1
# title: Project STORMFURY, Atlantic weather modification : environmental impact statement.
# grade options: correct|minor_issue|wrong|cant_tell
# page numbers are ESTIMATED from char offsets at 2500 chars/page

field,extracted_value,source_pages,critic_verdict,model_confidence,your_grade,your_notes
title,"Project STORMFURY, Atlantic weather modification : environmental impact statement.",NUL,PASS_WITH_NOTE,high,,"The extracted title is plausible and well-formed, matching the known Project STORMFURY Atlantic hurricane modification program conducted by NOAA/Navy. However, no cited page text was provided to verify the extraction directly, and only a single source (NUL) was used. Confidence is medium due to lac…"
year,2026,"NUL, regex (first 3 pages)",HUMAN_REVIEW,low,,"There is a direct conflict between NUL metadata (2026, a future/invalid year for an EIS) and regex extraction from the first 3 pages (1977, a plausible EIS year). No cited page text was provided to adjudicate the disagreement. Given that 2026 exceeds the current year and 1977 is historically plausi…"
eis_type,Supplemental,Sonnet (first 2 pages),HUMAN_REVIEW,medium,,"The extracted value of 'Supplemental' is plausible but cannot be verified because no cited page text or regex evidence was provided. Only Sonnet inference was used, with no corroborating regex hit or direct evidence phrase. Without supporting text, the classification cannot be confirmed and require…"
lead_agency,"[""United States. National Oceanic and Atmospheric Administration""]",NUL,PASS,high,,"The single extracted agency, NOAA, is confirmed via NUL contributors. No cited title pages were provided, so verification relies solely on the NUL source, which slightly reduces confidence. The agency name is clean with no extraneous role text."
summary.project_description,"Project STORMFURY is a NOAA-led scientific experiment, with NASA and Department of Defense cooperation, to test whether seeding hurricane clouds with silver iodide can reduce maximum winds by 10-15 percent by redistributing energy away from the storm's eyewall. The 1977 plan proposes seeding one Atlantic hurricane between August 15 and October 15, using five instrumented aircraft based in Miami, Puerto Rico, or Bermuda to drop about 5,000 pyrotechnic flares over an 8-hour period at altitudes of 26,000 to 30,000 feet.",1-36,PASS,high,,"All extracted fields are well-supported by the cited pages. Key numbers (10-15% wind reduction, 5,000 flares, 8-hour period, 26,000-30,000 ft, 50 nm safety radius, 10% probability threshold, 6-18 hou…"
summary.affected_community,"To protect people on land, a hurricane is only eligible for seeding if there is less than a 10 percent chance its center will come within 50 nautical miles of a populated land mass in the 24 hours after seeding, and seeding aircraft will not operate within 50 nautical miles of populated areas. Compared with Western Pacific alternatives, the Atlantic experimental area places fewer countries and smaller populations at immediate risk, although Atlantic hurricanes can still directly threaten the United States.",1-36,PASS,high,,
summary.alternatives_overview,"Four alternatives are considered: do not perform the experiment, postpone it, conduct it in another ocean region such as the Western or Eastern North Pacific, or use a different modification technique. Other techniques considered include spreading thin films on the ocean to reduce evaporation and dispersing carbon dust to cause localized heating, but both are still in early research stages and lack working delivery systems, leaving silver iodide seeding as the only near-term option.",1-36,PASS,high,,
summary.environmental_impact,"Worst-case estimated concentrations of silver and iodine released by the flares are well below levels considered harmful to marine life, air quality, or human health, and risks from bioaccumulation or chemical conversion are judged to be negligible. Seeding may temporarily change a storm's intensity, size, wind pattern, surge, and waves—possibly increasing winds and waves at outer distances of 50 to 200 nautical miles—but storms are expected to return to their natural state within 6 to 18 hours, with no significant changes to total rainfall or storm tracks.",1-36,PASS,high,,
summary.public_response,,,PASS,high,,
alternatives,[],,HUMAN_REVIEW,low,,"The extraction returned an empty value with no cited pages, citing a structural detection failure and a deliberate skip per the v2 plan. Because no source text was provided for review, none of the substantive rubric checks can be evaluated. A human reviewer should locate the Alternatives chapter in…"
themes,"{""themes"": [""Climate and Weather Modification"", ""Governance and Institutional Control""], ""subthemes"": [""Climate Engineering and Intervention"", ""Adaptation to Climate Variability"", ""Environmental Regulation and Policy"", ""Institutional Power and Resource Management""]}",summary,HUMAN_REVIEW,high,,"The extraction is logically coherent and the justification narrative is plausible for a hurricane cloud-seeding EIS, but no cited page text was provided, making it impossible to verify documentary support. Additionally, theme and subtheme names cannot be confirmed against the fixed taxonomy without…"
location,"{""places"": [{""name"": ""Western Atlantic Ocean"", ""kind"": ""region"", ""state"": null}], ""is_multi_site"": false, ""geocoded"": [{""name"": ""Western Atlantic Ocean"", ""lat"": -34.285129, ""lon"": 18.449738, ""address"": ""View over lowland and Atlantic ocean, Cape of Good Hope Drive, Cape Town Ward 61, City of Cape Town, Western Cape, South Africa""}]}",1-30,RE_EXTRACT,high,,"The extraction captures only a vague regional label ('Western Atlantic Ocean') and omits the three named anchor sites (Miami, Puerto Rico, Bermuda) that define the operational corridor, meaning is_multi_site should be true and all three locations should be listed. More critically, the geocoded coor…"
key_people.agency_preparers,[],1-30,PASS_WITH_NOTE,high,,"The three cooperating agencies (NOAA, NASA, DOD) are accurately extracted and directly supported by the cited text. The empty agency_preparers list is appropriate given that no preparers section is v…"
key_people.cooperating_agencies,"[{""name"": ""National Oceanic and Atmospheric Administration (NOAA)""}, {""name"": ""National Aeronautics and Space Administration (NASA)""}, {""name"": ""Department of Defense (DOD)""}]",1-30,PASS_WITH_NOTE,high,,
key_people.public_commenters,[],,PASS_WITH_NOTE,high,,
