# doc_id: p1074_35556038314431
# work_id: 760952eb-290e-4c72-ac06-0277603570e5
# title: Havasupai Indian Reservation addition : environmental impact statement.
# grade options: correct|minor_issue|wrong|cant_tell
# page numbers are ESTIMATED from char offsets at 2500 chars/page

field,extracted_value,source_pages,critic_verdict,model_confidence,your_grade,your_notes
title,Havasupai Indian Reservation addition : environmental impact statement.,NUL,PASS_WITH_NOTE,high,,"The extracted title is plausible and well-formed for a government EIS document concerning the Havasupai Indian Reservation. However, no cited page text was provided to verify the extraction, and only a single source (NUL) was used. Confidence is medium due to the absence of corroborating evidence f…"
year,2026,"NUL, regex (first 3 pages)",HUMAN_REVIEW,low,,"There is a direct conflict between NUL metadata (2026, a future year outside valid range) and regex extraction from the first 3 pages (1979, a plausible EIS year). No cited page text was provided to adjudicate the disagreement. The regex value of 1979 is far more plausible for an EIS document, but …"
eis_type,Draft,"regex (first page), Sonnet (first 2 pages)",PASS_WITH_NOTE,high,,"The extracted value 'Draft' is strongly supported by the evidence phrase, which contains both a header label 'DRAFT ENVIRONMENTAL STATEMENT' and a checkbox indicator '(X) Draft'. Both extraction methods agree. The only caveat is that no cited page text was provided for independent verification, so …"
lead_agency,"[""United States. Bureau of Indian Affairs""]",NUL,PASS,high,,"A single lead agency, United States. Bureau of Indian Affairs, is extracted cleanly with no role text and is confirmed via the NUL source. No cited title pages were provided, but the NUL attribution is sufficient for verification. No joint-lead concern applies here."
summary.project_description,"Public Law 93-620 (1975) added about 185,000 acres to the Havasupai Indian Reservation in northern Arizona, and this draft EIS evaluates the Secretarial Land Use Plan developed by the Secretary of the Interior with the Havasupai Tribal Council to guide use of that land. The plan covers 20 topics including agriculture, grazing, residential areas, domestic and stock water, energy, roads and trails, fencing, revegetation, waste management, visitor use, and wildlife management. Specific actions include four designated residential areas (Pasture Wash, south of Hualapai Hilltop, Moqui Tank, and eas…","1-51, 97-147, 145-195, 241-291, 289-292",HUMAN_REVIEW,medium,,"The project_description, alternatives_overview, and public_response fields are well-supported by the visible cited page content. However, the affected_community field contains specific quantitative c…"
summary.affected_community,"The Havasupai Tribe is the primary affected community, with about 425 enrolled members in roughly 60 families and a reservation population that fluctuated around 281–316 in 1976–1977, almost all living in Havasu Canyon. The tribal economy depends heavily on tourist packing with horses, wage and salary work (much of it federally funded), a small cattle herd, and limited gardening, with high unemployment, fragmented land assignments, and 71 percent of personal income coming from federal sources. Adjacent and related parties include the Hualapai Tribe, Grand Canyon National Park, Kaibab National…","1-51, 49-99, 97-147, 145-195, 193-243, 241-291, 289-292",HUMAN_REVIEW,medium,,
summary.alternatives_overview,"The main alternative considered is No Action, which would leave water sources unreliable, forgo income gains, and allow continued overgrazing by uncontrolled horses. Within individual plan components, alternatives include several ways of supplying domestic water (atmospheric catchment, wells, tapping rim aquifers, piping from Havasu Creek, or treating stock-tank water), different energy options (local generators, an extended commercial power line, or wind and solar units), grazing strategies ranging from mostly cattle to a mixed horse-and-cattle herd, sewage disposal methods at Havasu Campgro…","1-51, 97-147, 145-195, 241-291",HUMAN_REVIEW,medium,,
summary.environmental_impact,"Expected impacts include localized soil erosion on silty alluvial soils, dust and minor air pollution from cleared agricultural land and improved roads, construction noise, and permanent loss of sagebrush, juniper-pinyon, and saltbush vegetation where cleared, with possible reductions in canyon spring flows if aquifers are tapped. Wildlife concerns include disturbance of bighorn sheep on Great Thumb Mesa, fence barriers to deer and antelope, displacement of sagebrush-associated species, increased hunting pressure, and continued degradation of Cataract Canyon bottomlands and Havasu Creek water…","1-51, 49-99, 97-147, 145-195, 193-243, 241-291, 289-292",HUMAN_REVIEW,medium,,
summary.public_response,"Comments on the draft were requested from federal agencies (USDA, BLM, Corps of Engineers, EPA, National Park Service, Fish and Wildlife Service, and others), the Arizona State Historic Preservation Officer, the Arizona State Museum, the State Clearinghouse, the Havasupai and Hualapai Tribes, and the University of Arizona, and Public Law 93-620 requires public review, hearings, and transmittal of transcripts to Congress at least 90 days before implementation. The Havasupai Tribe expressed strong commitment to preserving the reservation in a near-natural state, protecting cultural resources th…","1-51, 97-147, 145-195, 241-291, 289-292",HUMAN_REVIEW,medium,,
alternatives,[],,RE_EXTRACT,low,,"The extraction returned an empty result with no cited pages, citing a structural detection failure and a deliberate skip per the v2 plan. Because no alternatives content was captured at all, the extraction is incomplete and must be re-run. The pipeline should apply a fallback strategy (e.g., keywor…"
