# doc_id: p0491_35556036091957
# work_id: csv:35556036091957
# title: Off-road vehicles on public lands, implementation of Executive Order 11644 : environmental impact statement.
# grade options: correct|minor_issue|wrong|cant_tell
# page numbers are EXACT (from per-page JSON source).
# quote_verified: yes = quote present verbatim on cited page; no = forced HUMAN_REVIEW; mixed = some verified, some not.

field,extracted_value,quote,source_pages,quote_verified,critic_verdict,model_confidence,your_grade,your_notes
title,"Off-road vehicles on public lands, implementation of Executive Order 11644 : environmental impact statement.",,NUL,,PASS_WITH_NOTE,high,,"The extracted title is coherent, appropriately formatted, and consistent with a real EIS document (EO 11644 was indeed a 1972 executive order on off-road vehicles on public lands). Only one source was cited with no page-level text provided for verification, which slightly limits full confirmation. …"
year,1974,,"NUL, regex (first 3 pages)",,PASS_WITH_NOTE,high,,"The extracted year 1974 is plausible and falls within the valid EIS range. Both NUL metadata and regex sources agree, which is a positive signal. However, no cited page text was provided, making independent verification of the in-document occurrence impossible; a human spot-check of the source docu…"
eis_type,Final,,"regex (first page), Sonnet (first 2 pages)",,PASS_WITH_NOTE,high,,"The extracted value 'Final' is well-supported by the evidence phrase 'FINAL ENVIRONMENTAL STATEMENT,' which is an older terminology variant (pre-1978 NEPA documents sometimes omitted 'IMPACT'). Both extraction methods agree. No cited page text was provided for independent verification, which is a m…"
lead_agency,"[""Bureau of Outdoor Recreation""]",,NUL,,PASS_WITH_NOTE,high,,"The single agency 'Bureau of Outdoor Recreation' is cleanly extracted with no role text and is attributed to NUL. However, no cited title pages were provided to independently corroborate the attribution, which limits full verification confidence. Human review is recommended if title page confirmati…"
summary.overview,"The U.S. Department of the Interior issued a Draft Environmental Impact Statement proposing regulations to implement Executive Order 11644, which would govern off-road vehicle (ORV) use on public lands administered by Interior bureaus including BLM, NPS, Fish and Wildlife, and Reclamation by designating lands as open, restricted, or closed and prescribing operating standards and event permits. The action affects a vast geography from Arctic Alaska to the Caribbean and a wide range of stakeholders including roughly 5 million ORV-using families, the snowmobile and motorcycle industries, mining and geophysical exploration interests, conservation groups, and western states with extensive federal land. Four principal alternatives were considered—no action, closing all Interior lands, opening all Interior lands, and delegating implementation to bureaus without Secretarial review—each rejected, though commenters proposed additional approaches such as controlled-use zoning, vehicle-type-specific rules, and presumptive closure. Identified environmental impacts include irreversible damage to soils, vegetation, water, wildlife, and historic sites, with particular fragility noted for desert, tundra, and permafrost ecosystems, along with noise pollution affecting wildlife and other recreationists. Public response was sharply divided: conservation groups largely called the draft inadequate and biased toward ORV users, mining and ORV industry interests criticized restrictions as excessive, and many state and federal agencies generally concurred while requesting clarifications on noise standards, designation criteria, and local consultation.","[p.3] The proposed action would implement Executive Order 11644, concerning use of motorized off-road vehicles (ORV), through regulations promulgated by Department of the Interior bureaus in conformance with a Secretarial memorandum. | [p.5] Designate all lands for ORV use as open (with controls) or closed. | [p.97] The Draft Environmental Impact Statement prepared by your Bureau applies to all Interior Agencies, Bureau of Outdoor Recreation, Bureau of Land Management, Bureau of Sport Fisheries and Wildlife, National Park Service and the Bureau of Reclamation. | [p.9] The lands administered by the Department range geographically from the Arctic tip of Alaska to the submerged coral of the Caribbean and the Pacific Islands. | [p.50] the 5,000,000 families presently using off-road recreational vehicles | [p.3] a. No action | [p.3] b. Close all Interior lands to ORV use | [p.3] c. Open all Interior lands to ORV use | [p.3] d. Delegate to Bureaus the authority to implement the Executive Order without Secretarial review | [UNVERIFIED] the draft statement considers only the simplistic alternatives of opening all lands or closing all lands to ORV use; it ignores the entire range of possible actions which would allow controlled use in limited areas","3, 5, 97, 9, 50, 13, 21, 99, 15, 194, 49, 100, 337",mixed,HUMAN_REVIEW,medium,,"The extraction is largely accurate and well-supported, with most quotes verified verbatim on cited pages. However, three quotes are explicitly flagged as unverified (no source pages provided): the 's…"
summary.project_description,"The Department of the Interior's Draft Environmental Impact Statement proposes regulations to implement Executive Order 11644 (Feb. 8, 1972), which directs a unified federal policy on the use of motorized off-road vehicles (ORVs) on public lands. Under the proposal, Interior bureaus including BLM, NPS, Bureau of Sport Fisheries and Wildlife, and Bureau of Reclamation would designate all lands as open (with controls) or closed to ORV use and prescribe operating conditions, vehicle standards, and permits for organized events. Implementation is guided by the Secretary of the Interior's May 5, 1972 memorandum directing Assistant Secretaries to review regulations and classify lands.","[p.3] The proposed action would implement Executive Order 11644, concerning use of motorized off-road vehicles (ORV), through regulations promulgated by Department of the Interior bureaus in conformance with a Secretarial memorandum. | [p.197] On February 9, 1972, President Nixon issued Executive Order 11644 (37 F.R. 2877), noting a rapid increase in the use of off-road vehicles (ORVs) on public lands | [p.97] The Draft Environmental Impact Statement prepared by your Bureau applies to all Interior Agencies, Bureau of Outdoor Recreation, Bureau of Land Management, Bureau of Sport Fisheries and Wildlife, National Park Service and the Bureau of Reclamation. | [p.5] Designate all lands for ORV use as open (with controls) or closed. | [p.8] Interior Bureaus may issue permits for the operation of ORV on areas designated for their use for organized races, rallies, meets, endurance contests, and other ORV events. | [p.197] The Secretary of the Interior's memorandum of May 5, 1972, implements E.O. 11644.","3, 197, 97, 5, 8",yes,HUMAN_REVIEW,medium,,
summary.affected_community,"The action affects a wide and geographically diverse community, including approximately 5 million families using off-road recreational vehicles, snowmobile and motorcycle manufacturers, mining and petroleum exploration interests, conservation organizations, hunters and non-motorized recreationists, and rural communities that benefit economically from ORV-related tourism. Western states with large federal land holdings—including Wyoming (about 50% federal), Nevada (87% federal), and Utah (over 75% federal or state)—are particularly affected, as are fragile-ecosystem regions from Arctic Alaska to the Caribbean and the Pacific Islands. Specific user populations include roughly a quarter million rockhounds in 27 states and utility/communications carriers needing access to facilities on public lands.","[p.11] Implementation of these directives will affect all phases of public land administration, the public, ORV user and non-user groups and ORV industries. | [p.50] the 5,000,000 families presently using off-road recreational vehicles | [p.58] Virtually all major manufacturers of snowmobiles and related products. | [p.9] The lands administered by the Department range geographically from the Arctic tip of Alaska to the submerged coral of the Caribbean and the Pacific Islands. | [p.81] With over 50 percent of Wyoming in federal ownership | [p.87] Nevada is 87 percent federally owned and the people of Nevada have historically enjoyed the great open spaces. | [p.278] since more than 75% of Utah is either Federal or State land | [UNVERIFIED] Our membership, now in 27 states, is predominently outdoorsmen. We address our remarks in behalf of the quarter million rock hounds who regularly visit outdoor sites on public land in the western United States. | [p.146] common carriers and others who have wire, cable or radio communications facilities on public lands pursuant to land-use permits may have reasonable access to such facilities","11, 50, 58, 9, 81, 87, 278, 146",mixed,HUMAN_REVIEW,medium,,
summary.alternatives_overview,"The draft statement considered four principal alternatives: no action, closing all Interior lands to ORV use, opening all Interior lands to ORV use, and delegating implementation authority to bureaus without Secretarial review. Each was rejected as inadequate, but commenters criticized the limited range of alternatives and proposed additional approaches, including differentiating regulations by vehicle type, exempting mineral exploration and survey vehicles, designating areas as either closed or open-with-restrictions, presuming BLM lands closed until studied, restricting ORVs to prepared tracks/trails, capping designated ORV areas at 0.5% of public land per state, and pursuing a limited test program rather than nationwide implementation.","[p.3] a. No action | [p.3] b. Close all Interior lands to ORV use | [p.3] c. Open all Interior lands to ORV use | [p.3] d. Delegate to Bureaus the authority to implement the Executive Order without Secretarial review | [UNVERIFIED] the draft statement considers only the simplistic alternatives of opening all lands or closing all lands to ORV use; it ignores the entire range of possible actions which would allow controlled use in limited areas | [UNVERIFIED] the various types of ORRV's must be classified and considered on an individual basis due to their differences in use | [p.127] We suggest, therefore, that provision be made for issuance of a country-wide general permit to those engaged in legitimate mineral exploration to eliminate the need for a permit for each ORV event | [p.156] All lands should be designated as CLOSED TO ORVs or OPEN MITH RESTRICTIONS ON ORVs. | [p.174] All BLM lands should be closed to ORV and then opened up on a parcel by parcel basis after a study has been shown that the leval of ORV damage will be acceptable. | [p.210] ORVs could be restricted to tracks, roads, or well-prepared trails, in areas where there is little conflict with environmental values.","3, 127, 156, 174, 210, 307, 318",mixed,HUMAN_REVIEW,medium,,
summary.environmental_impact,"ORV use can cause severe and often irreversible damage to soils, vegetation, water, air, wildlife, and historic and archaeological resources, with the draft acknowledging that land, water, air, wildlife, and vegetation resources will be detrimentally affected. Particularly fragile ecosystems include Alaskan tundra and permafrost (where thawing may never reform), Great Basin desert and steppe (where soil disturbance enables toxic exotic plant infestations and recovery 'cannot be accomplished in the time of man'), and high alpine and granitic-soil areas prone to erosion. Wildlife is harassed during critical periods—including elk and deer in winter ranges and snowmobilers running over coyotes—and snowmobiles damage vegetation through twig breakage and snow compaction. Noise pollution affects both wildlife and non-motorized recreationists, and documented incidents include $50,000 in soil and vegetation damage in Humboldt National Forest and 60% vegetation loss in a 1,500-acre BLM trail bike area.","[p.21] Land, water, air, wildlife, and vegetation resources will be detrimentally affected in areas of ORV use. | [p.13] Indiscriminate use of ORV, particularly off of designated trails and in fragile or sensitive areas, can have severe irreversible and irretrievable harmful effects on the biota. | [p.99] In summer, ORV travel on permafrost-underlain areas can be severely destructive, as permafrost, once thawed, may never reform. | [p.110] Since 1942, when the notorious poisonous Ukrainian plant halogeton was first detected near Wells, Nevada, this and several other strains of toxic and poisonous exotic plants have taken over an estimated 20,000,000 acres of western rangelends. | [p.171] REMABILITATION OF THE DESERT, THE PRIME TARGET OF ORV USE, CANNOT BE ACCUMPLISHED IN THE TIME OF MAN. | [p.229] Trailbikes and four wheel drive vehicles are the cause of soil erosion in many areas. This is especially true where the vehicles are used indiscriminantly in granitic soils and in high alpine areas. | [p.230] The wildlife in their winter ranges have a tough time just surviving without having to contend with harassment from snowmobilers. | [p.346] Coyotes run over by snowmobilers in Grand Teton Park | [p.175] Studies are increasingly demonstrating significant environmental impact on vegetation from snowmobiles as the result of twig breakage and snow compaction. | [p.15] Most motorized ORV are noisy in excess of acceptable levels to the non-ORV user.","21, 13, 99, 110, 171, 229, 230, 346, 175, 15, 347, 218",yes,HUMAN_REVIEW,medium,,
summary.public_response,"The Department received 144 responses comprising over 300 pages of comments from federal agencies, 33 states, organizations, and private citizens, and the bulk of comments expressed concurrence with the proposed action. However, response was sharply divided: conservation groups including NRDC, Sierra Club, and the Desert Protective Council called the draft totally inadequate and noncompliant with NEPA and E.O. 11644, demanding stronger protections or withdrawal. Mining and ORV industry interests, including the American Mining Congress, criticized the draft as discriminatory toward ORV users and objected to permit requirements as hindering legitimate prospecting and mineral exploration. State and federal agencies generally concurred while requesting clarifications on noise standards, an 'open until closed' philosophy, and local government coordination, and at least 12 commenters challenged the draft's claim that ORV use strengthens family ties.","[p.25] In summary, a total of 144 responses were received from organizations, agencies, and private citizens, consisting of over 300 pages of comments on the draft environmental statement. | [p.30] The bulk of the comments received concerning the draft ORV environmental statement expressed concurrence with the statement and the proposed actions for implementing Executive Order 11644 on Interior lands. | [p.194] We find the draft statement to be totally inadequate. It does not comply with the requirements of the National Environmental Policy Act, Executive Order 11644, or other laws which define Interior Department responsibilities in managing the public lands. | [p.49] Basically, throughout the draft, the tone is negative and discriminatory toward off-road vehicle users. | [p.100] the American Mining Congress objects to the stringent regulations currently under consideration since they would have the effect of hindering prospecting and mining of minerals on public lands. | [p.222] the proposal must be based on the philosophy that all areas will be considered open to use until circumstances and conditions develop which would merit specific action to the contrary | [p.241] A statement on the need to develop appropriate noise standards would strengthen this section, as State regulations may be either non-existent or inadequate in some instances. | [p.215] In the course of policy development, I suggest coordination with local units of governments, particularly at the county level | [p.38] In response to the statement on page 12 of the draft ORV environmental statement to the effect that ORV use can strengthen family ties, there were at least 12 incoming responses which challenged this statement.","25, 30, 194, 49, 100, 222, 241, 215, 38",yes,HUMAN_REVIEW,medium,,
