# doc_id: p1074_35556036807915
# work_id: 2b36982f-0ab3-43ef-a590-c2144b815bf9
# title: Loring Park Development District, Loring 100 apartments : environmental impact statement.
# grade options: correct|minor_issue|wrong|cant_tell
# page numbers are ESTIMATED from char offsets at 2500 chars/page

field,extracted_value,source_pages,critic_verdict,model_confidence,your_grade,your_notes
title,"Loring Park Development District, Loring 100 apartments : environmental impact statement.",NUL,PASS_WITH_NOTE,high,,"The extracted title is well-formed, specific, and consistent with standard EIS document titling. Only one source (NUL) was available, so cross-source validation could not be performed. The title's specificity (named district, named apartment complex, document type) strongly supports its authenticit…"
year,2026,"NUL, regex (first 3 pages)",HUMAN_REVIEW,low,,"NUL metadata yields 2026, which is a future year and almost certainly a metadata error (possibly a misread of 1976). The regex extraction of 1976 from the first 3 pages is more plausible for an EIS document and falls within the valid range. No cited page text was provided to adjudicate. A human rev…"
eis_type,Final,"regex (first page), Sonnet (first 2 pages)",PASS_WITH_NOTE,high,,"The extracted value 'Final' is strongly supported by the evidence phrase 'FINAL ENVIRONMENTAL IMPACT STATEMENT,' and both extraction methods agree. However, no cited page text was provided for independent verification of the source document, which prevents full confirmation that the phrase appears …"
lead_agency,"[""United States. Department of Housing and Urban Development""]",NUL,PASS,high,,"A single lead agency, United States. Department of Housing and Urban Development, is extracted in proper authority-file form with no extraneous role text. It is confirmed present in the NUL source. No cited title pages were provided, but the NUL attribution is sufficient for this single-agency case."
summary.project_description,"The Loring Park Development is a tax-increment-financed urban renewal project covering nine blocks (about 40 acres) in downtown Minneapolis adjacent to Loring Park and the central business district. It is planned to deliver roughly 2,000 housing units, 800-1,100 hotel units, and supporting commercial space, all linked by a raised pedestrian Greenway connecting an extension of the Nicollet Mall to Loring Park. Key components include the 102-unit Loring 100 Section 8 elderly housing project (the HUD action triggering this EIS), Nicollet Towers, townhouses, and a Hyatt Regency convention hotel, …","1-51, 49-99, 97-147, 145-195, 241-269",RE_EXTRACT,medium,,"The extraction contains several specific figures not supported by the visible cited pages: hotel units are stated as '800-1,100' while the source clearly states '1050'; '$21 million in general obliga…"
summary.affected_community,"Before redevelopment, the project area held about 1,000 residents in older walk-up apartments and rooming houses, with a largely low-income, single-person, and elderly population (51% earning under $4,000) and a high crime rate more than five times the city average. About 921 persons and 22 small businesses were slated for relocation, and most displaced residents could not afford the new market-rate units; many were elderly tenants of buildings such as the Naulhaka Flats, Imperial, Elmhurst, and Roosevelt Hotel. Surrounding institutions include Loring Park itself, Eitel and Abbott hospitals, …","1-51, 49-99, 97-147, 145-195, 193-243, 241-269",RE_EXTRACT,medium,,
summary.alternatives_overview,"The EIS evaluates a wide range of alternatives, including no project, building only on already-cleared parcels, rehabilitating existing structures (especially the Naulhaka Flats), and changing land use to office or industrial. Density and design alternatives include reduced density with more family townhouses, increased high-rise density, and a low-rise/high-density (roughly 50 units per acre) option, along with dispersing subsidized units instead of concentrating them and adding more family rather than elderly subsidized housing. Other alternatives address project staging, alternative financ…","1-51, 49-99, 97-147, 145-195, 193-243, 241-269",RE_EXTRACT,medium,,
summary.environmental_impact,"Adverse impacts include displacement of low-income and elderly residents, demolition of older but potentially rehabilitable buildings, shadow and wind effects from tall hotel and apartment towers, and short-term construction dust and noise. Vacating Willow, Harmon, 13th, and Spruce streets is expected to shift traffic onto LaSalle, Marquette, Hennepin, and 12th Street, risking carbon monoxide violations at intersections such as 12th/LaSalle and producing noise levels above state standards on most parcels. Beneficial impacts include separation of pedestrians from vehicles, energy-efficient hou…","1-51, 49-99, 97-147, 145-195, 193-243, 241-269",RE_EXTRACT,medium,,
summary.public_response,"Federal and state agencies including EPA, DOT, the Department of the Interior, the Minnesota Pollution Control Agency, and the Metropolitan Council raised concerns about air quality from street closures, noise standards, energy conservation, bicycle facilities, and overconcentration of subsidized elderly housing, with EPA giving the project an 'environmental reservations' rating. Citizen and neighborhood groups such as Citizens for a Loring Park Community, the Loring-Nicollet Community Council, the Naulhaka Flats Residents Association, the Elliot Park Neighborhood, and the Harmon-Hennepin Com…","1-51, 49-99, 97-147, 145-195, 193-243, 241-269",RE_EXTRACT,medium,,
alternatives,[],,HUMAN_REVIEW,low,,"The extraction returned an empty result with no cited pages, citing a structural detection failure and a deliberate skip per the v2 plan. Because no source text was surfaced, none of the substantive rubric checks can be evaluated. A human reviewer should locate the Alternatives chapter in the EIS a…"
themes,"{""themes"": [""Urban Development"", ""Place Based Development Conflicts""], ""subthemes"": [""Urban Expansion and Land Use Change"", ""Housing, Planning, and Built Environment"", ""Community Resistance and Activism"", ""Land Rights and Displacement""]}",summary,HUMAN_REVIEW,high,,"The extraction is internally coherent and the theme/subtheme counts are within range, but no cited page text was provided, making it impossible to verify that the summary fields actually support the chosen themes and subthemes. A human reviewer should confirm the source document contains the descri…"
location,"{""places"": [{""name"": ""Loring Park Development District, Minneapolis, MN"", ""kind"": ""region"", ""state"": ""MN""}], ""is_multi_site"": false, ""geocoded"": [{""name"": ""Loring Park Development District, Minneapolis, MN"", ""lat"": null, ""lon"": null}]}",1-30,PASS,high,,"The extracted location — Loring Park Development District, Minneapolis, MN — is clearly and repeatedly confirmed throughout the cited pages (1-30), including the summary sheet, introduction, and Part I. The single-site designation is appropriate for a bounded nine-block urban redevelopment district…"
key_people.agency_preparers,"[{""name"": ""Minneapolis/St. Paul Area Office, U.S. Department of Housing and Urban Development"", ""role"": ""Preparing Office""}, {""name"": ""Chicago Regional Office, U.S. Department of Housing and Urban Development"", ""role"": ""Preparing Office""}]",1-30,PASS_WITH_NOTE,high,,The agency preparers and cooperating agencies are accurately extracted from the cited text. The distribution list includes entities not labeled 'cooperating agencies' per se but the extraction treats…
key_people.cooperating_agencies,"[{""name"": ""Council on Environmental Quality""}, {""name"": ""National Environmental Protection Agency""}, {""name"": ""Department of Transportation""}, {""name"": ""Advisory Council on Historic Preservation""}, {""name"": ""Department of Commerce""}, {""name"": ""Federal Power Commission""}, {""name"": ""General Services Administration""}, {""name"": ""Department of Health, Education and Welfare""}, {""name"": ""Department of t…",1-30,PASS_WITH_NOTE,high,,
key_people.public_commenters,[],,PASS_WITH_NOTE,high,,
