# doc_id: p1074_35556036855435
# work_id: 
# title: Rio Grande, Amistad hydroelectric plant : environmental impact statement.
# pass: blind
# source: run_manifest.json
# artifact_stage: v1
# grade options: correct|minor_issue|wrong|cant_tell
# BLIND PASS (MCAL_PLAN 7 Q5). critic_verdict is deliberately ABSENT and your_notes is deliberately EMPTY. Grade from extracted_value, quote and source_pages only. Do not open the reveal sheet until this one is finished: the human grade and the Critic verdict must be independent, because their agreement is what fits the conformal thresholds.
# page numbers are EXACT (from per-page JSON source).
# quote_verified: yes = quote located on the cited page +/-2 (OCR-normalized, mcal/quote_check.py); mixed = partially supported; no = not located.
# your_failure_tag: one tag from the tags[<field>] line below matching this row's field, or blank if your_grade is 'correct'. Leave blank rather than guessing -- an untagged defect is a signal that the taxonomy needs a new code.
# soi_useful (yes|no): fill ONCE, on the summary_of_interest row. Did summary_of_interest tell you something the standard summary.* fields did not? An empty summary_of_interest is a correct result for a routine document, so 'no' on an empty list is not a criticism of the field.
# extracted_value and quote are NOT truncated (MCAL_PLAN 6 acceptance item 4: gradable without opening another file).
# tags[title]: T04_undefined_acronym
# tags[year]: T11_year_ocr_error
# tags[eis_type]: T12_eis_type_confused_with_rod
# tags[lead_agency]: T04_undefined_acronym, T05_commenter_mislabeled_as_cooperator
# tags[summary.overview]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.project_description]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.affected_community]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.alternatives_overview]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.environmental_impact]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.public_response]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary_of_interest]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T17_manufactured_salience, T18_salience_duplicates_summary, T19_scope_qualifier_dropped
# tags[alternatives]: T01_missing_citation, T03_outside_text_fabrication, T04_undefined_acronym, T10_alternatives_chapter_missed
# tags[themes]: T03_outside_text_fabrication, T04_undefined_acronym
# tags[location]: T01_missing_citation, T03_outside_text_fabrication, T04_undefined_acronym, T06_geocode_missing, T07_geocode_wrong_specificity, T08_scope_misclassified_national, T09_multi_site_partial_geocode, T14_regional_scope_underspecified
# tags[key_people]: T01_missing_citation, T03_outside_text_fabrication, T04_undefined_acronym, T05_commenter_mislabeled_as_cooperator, T13_pre_1978_nepa_format, T20_role_bucket_underpopulated

field,extracted_value,quote,source_pages,quote_verified,model_confidence,your_grade,your_failure_tag,your_notes,soi_useful
title,"Rio Grande, Amistad hydroelectric plant : environmental impact statement.","[p.1, 2, 3] AMISTAD HYDROELECTRIC PLANT RIO GRANDE VAL VERDE COUNTY, TEXAS","1, 2, 3",yes,composite=1.000,,,,
year,1976,"[p.1, 2, 3] SEPTEMBER, 1976","1, 2, 3",yes,composite=1.000,,,,
eis_type,Draft,"[p.1, 2, 3] DRAFT ENVIRONMENTAL STATEMENT AMISTAD HYDROELECTRIC PLANT","1, 2, 3",yes,composite=1.000,,,,
lead_agency,"[""International Boundary and Water Commission United States and Mexico United States Section"", ""United States Army Engineer District Fort Worth, Texas""]","[p.1, 2, 3] INTERNATIONAL BOUNDARY AND WATER COMMISSION UNITED STATES AND MEXICO UNITED STATES SECTION DRAFT ENVIRONMENTAL STATEMENT AMISTAD HYDROELECTRIC PLANT RIO GRANDE VAL VERDE COUNTY, TEXAS PREPARED BY UNITED STATES ARMY ENGINEER DISTRICT FORT WORTH, TEXAS","1, 2, 3",yes,composite=0.850,,,,
summary.overview,"The U.S. Section of the International Boundary and Water Commission proposes to add a 57,000 kW hydroelectric power plant (with two turbine-generator units) to the existing Amistad Dam on the Rio Grande, about 12 miles upstream of Del Rio, Texas, at a cost of about $28 million and 2-3 years of construction. The power would serve about 464,391 people across eight south Texas counties along the Rio Grande, distributed through Central Power and Light Company and two rural electric cooperatives. The document rejects five alternatives — natural gas, fuel oil, coal, Texas lignite, and nuclear — plus a 'no action' option, because fossil fuels are scarce or polluting, coal and lignite plants run at steady output and cannot efficiently follow peak demand the way hydropower can, and uranium supply is uncertain. The main environmental effects are altered river flows and reservoir levels (Amistad drawn down about 2 feet on average, Falcon raised about 3 feet), and cold, low-oxygen bottom-water releases that could cause minor fish kills in the first 2.2 miles below the dam during July-November. The International Boundary and Water Commission (IBWC) held a public meeting in Del Rio on July 1, 1976 where 17 people spoke; the two purchasing cooperatives support the project, while the Fish and Wildlife Service, the City of Eagle Pass, and the downstream Maverick County water district raised concerns about fisheries, drinking-water intakes, and coordinated releases.","[p.3, 10, 11, 14, 28, 33, 39, 42, 48, 49, 50, 53, 56] The eight county study area population was 459,744 in 1960 and increased to 464,391 in 1970","3, 10, 11, 14, 28, 33, 39, 42, 48, 49, 50, 53, 56",yes,composite=0.650,,,,
summary.project_description,"The U.S. Section of the International Boundary and Water Commission proposes to build a 57,000 kW hydroelectric power plant (32,000 kW at minimum head) with two turbine-generator units at the existing Amistad Dam on the Rio Grande, about 12 miles upstream from Del Rio, Texas. The plant would cost about $28 million and take 2-3 years of on-site construction, and would be operated together with the existing Falcon Dam hydroelectric plant downstream as a two-plant system. The generated electricity would feed the Central Power and Light regional grid in southern Texas and be sold to two rural electric cooperatives.","[p.10, 11, 14, 48] a hydroelectric power plant facility of 57,000 kW installed capacity (32,000 kW at minimum head) to be added to the existing Amistad Dam","10, 11, 14, 48",yes,composite=0.850,,,,
summary.affected_community,"The study area covers eight Texas counties along the Rio Grande downstream from Amistad Dam (Cameron, Hidalgo, Kinney, Maverick, Starr, Val Verde, Webb, and Zapata), with a 1970 population of 464,391 that is roughly 97 percent Caucasian and 3 percent Negro, and 9.1 percent unemployment versus 3.7 percent statewide. 1969 per capita income averaged $1,471 compared to $3,301 for Texas, and land use is dominated by rangeland (84 percent) and cropland (over 11 percent). The nearest town is Del Rio (Val Verde County), about 12 miles downstream of the dam and home to Laughlin Air Force Base; further downstream, Eagle Pass and the Maverick County Water Control and Improvement District No. 1 (which operates its own diversion dam and hydroelectric plant fed by Amistad releases) flagged specific concerns about Eagle Pass's drinking-water intake, Shelby Park, and the municipal golf course along the river.","[p.27, 28, 29, 30, 31, 60, 77] The eight county study area population was 459,744 in 1960 and increased to 464,391 in 1970","27, 28, 29, 30, 31, 60, 77",yes,composite=1.000,,,,
summary.alternatives_overview,"The Environmental Impact Statement (EIS) compares Amistad hydropower to five other ways of producing the same electricity — natural gas, fuel oil, coal, Texas lignite, and nuclear — plus a 'no action' option of building nothing. Natural gas is rejected because it is scarce and under a moratorium on new gas-fired plants, and fuel oil because it would require imported foreign oil. High-quality coal deposits in Webb County are too small to support a mine-mouth plant, and northern coal has unresolved sulfur-oxide emissions problems: of 24 stack-gas cleaning installations at U.S. coal-fired plants of 150 MW or larger, none was in satisfactory operation in 1974. Lignite and coal plants are base-load (they run at steady output and can't efficiently follow peak demand the way hydropower can), and nuclear is not viable because projected cumulative uranium demand by 2000 (2.4 to 3.1 million tons of U3O8) far exceeds the estimated reserve base of 500,000 tons. Under 'no action,' the consumers would likely get power from imported oil or south Texas lignite instead.","[p.3, 49, 50] Of 24 stack gas installations at coal-fired power plants of 150 MW or larger in the United States, none was in satisfactory operation in 1974.","3, 49, 50",yes,composite=0.650,,,,
summary.environmental_impact,"During the 2-3 year construction period, impacts include temporary dust and exhaust emissions, sedimentation from a cofferdam in the streambed, and construction noise. During operation, Amistad's conservation pool would drop by an average of 2 feet while Falcon's pool would rise about 3 feet, and daily hydropower releases would raise the river roughly 4 feet just below the dam, decreasing to under 2 feet below Eagle Pass. The most significant impact is on the tailrace fishery: from roughly May through November, bottom-water released through the penstocks could be 10-12 °C colder and carry near-zero oxygen into the first 2.2 miles below the dam, possibly causing minor fish kills. Bank sloughing (bank collapse) would increase initially — observed about six miles downstream during a 9,000 cfs test release — and the Fish and Wildlife Service warned that altered flows and reservoir fluctuation 'could have a profound effect on existing fishery resources.' The plant would annually offset roughly 482,000 tons of Texas lignite, about 625,000 barrels of oil, or 3.1 billion cubic feet of natural gas, and no properties on the National Register of Historic Places would be affected.","[p.11, 27, 39, 41, 42, 49, 56, 89] The primary impact will result from the released water being 10 to 12 degrees colder (centigrade scale) and containing low or negligible oxygen.","11, 27, 39, 41, 42, 49, 56, 89",yes,composite=0.650,,,,
summary.public_response,"The International Boundary and Water Commission (IBWC) issued a public notice on February 12, 1976 and held a public meeting at the Civic Center in Del Rio on July 1, 1976, where 17 officials, residents, or interested citizens made statements or asked questions. The draft statement was circulated on September 16, 1976 to federal agencies (including U.S. Environmental Protection Agency (EPA), the Federal Energy Administration, the Federal Power Commission, and the Departments of Agriculture, Commerce, and Interior), state agencies, cities and counties along the Rio Grande, cooperatives, and civic groups. The South Texas Electric Cooperative and Medina Electric Cooperative signaled support by jointly committing to contract for the Amistad and Falcon power. Consulted agencies mostly reported no land-use conflicts, but the Fish and Wildlife Service requested a $3,500 field-level transfer to study fishery impacts, the Federal Power Commission and Maverick County Water District urged coordinated releases with the downstream Eagle Pass hydro plant, and the Amistad Zoning Authority flagged shoreline erosion, vegetation, fish spawning, and lake use as concerns.","[p.3, 4, 14, 53, 56, 61, 78] on February 12, 1976 issued a public notice in connection with the proposed hydroelectric plant at the Rio Grande's Amistad Dam","3, 4, 14, 53, 56, 61, 78",yes,composite=0.850,,,,
