# doc_id: p1074_35556036546182
# work_id: csv:35556036546182
# title: Airport Spur connection, I-94 to General Mitchell Field, Milwaukee : environmental impact statement.
# grade options: correct|minor_issue|wrong|cant_tell
# page numbers are EXACT (from per-page JSON source).
# quote_verified: yes = quote present verbatim on cited page; no = forced HUMAN_REVIEW; mixed = some verified, some not.

field,extracted_value,quote,source_pages,quote_verified,critic_verdict,model_confidence,your_grade,your_notes
title,"Airport Spur connection, I-94 to General Mitchell Field, Milwaukee : environmental impact statement.",,NUL,,PASS_WITH_NOTE,high,,"The extracted title is well-formed and highly plausible for an EIS document concerning a highway spur connection to General Mitchell Field in Milwaukee. Only one source (NUL) was cited with no supporting page text provided, so independent verification is limited. The title follows standard governme…"
year,1976,,"NUL, regex (first 3 pages)",,HUMAN_REVIEW,low,,"NUL metadata and regex extraction disagree (1976 vs 2015), and no cited page text was provided to adjudicate between them. The low-confidence flag was correctly applied, but the conflict cannot be resolved without reviewing the actual document pages. A human reviewer should inspect the document to …"
eis_type,Final,,Sonnet (first 2 pages),,HUMAN_REVIEW,medium,,"The extracted value of 'Final' is a valid EIS type, but the extraction is supported only by Sonnet inference with no regex corroboration and no cited text evidence. The absence of any cited pages or supporting phrases makes independent verification impossible. Human review is recommended to confirm…"
lead_agency,"[""Federal Highway Administration""]",,NUL,,PASS,high,,"A single lead agency, Federal Highway Administration, is extracted and sourced from NUL with no role text present. Confidence is medium rather than high because no cited title pages were provided to independently corroborate the NUL attribution, leaving the extraction unverified against primary doc…"
summary.overview,"The Airport Spur is a proposed 1.5-mile, four-lane divided freeway in southeastern Milwaukee County connecting Interstate 94 to General Mitchell Field, with Corridor #5 recommended at an estimated cost of about $12.1–14.0 million. Alternatives evaluated included a do-nothing/no-build option, upgrading Grange Avenue or College Avenue, rapid transit and exclusive bus lanes, and five alternative freeway corridors. Principal environmental impacts include relocation of nine families and two businesses, noise levels exceeding federal standards near Hamlin Garland School (mitigated by barriers and air conditioning), and air quality impacts that DNR found would not violate National Ambient Air Quality Standards. Public response was mixed: SEWRPC, FAA, AAA, and airport interests supported the Spur, while the City of Milwaukee Common Council, state legislators, environmental groups, and Citizens Against Airport Spur opposed it, and a November 1974 county-wide advisory referendum showed 57.8% in favor.","[p.8] This highway improvement will provide a 1.5 mile direct freeway-airport connection, on new location within Corridor #5, between existing Interstate Route 94 and General Mitchell Field. | [p.19] The cost of engineering, right of way and construction for the proposed facility is now estimated to be about $14.0 million, with inflationary factors considered. | [p.19] This freeway facility would be located in southeastern Milwaukee County, in the City of Milwaukee. | [p.10] Upgrading Grange Avenue from Howell Avenue to I-94 into a multi-lane highway. | [p.10] ""Do-nothing"" alternate. | [p.10] Improvement of local streets and arterial highways, ""no-build"". | [p.10] Rapid transit service. | [p.10] Alternative freeway corridor locations. | [p.12] Nine families and two businesses remain to be relocated. | [p.13] Corrective abatement measures in the form of noise barriers adjacent to both the Airport Spur and I-94 will be provided","8, 19, 10, 12, 13, 14, 226, 21, 239",yes,PASS_WITH_NOTE,high,,"The extraction is largely accurate and well-supported. One quote in public_response ('SEWRPC, Federal Aviation Administration, Milwaukee Air Cargo Association, and the American Automobile Association…"
summary.project_description,"The project is a 1.5-mile, four-lane divided freeway 'Airport Spur' on new location within Corridor #5, connecting Interstate Route 94 to General Mitchell Field's terminal facilities in the City of Milwaukee, with an estimated cost of about $12.1–14.0 million. It includes interchanges at I-94, the airport entrance road, the new air cargo area, and Howell Avenue, and would also reconstruct the I-94 median between Layton Avenue and the Spur connection. Modified rapid transit service is proposed over the Spur to serve passengers and employees.","[p.8] This highway improvement will provide a 1.5 mile direct freeway-airport connection, on new location within Corridor #5, between existing Interstate Route 94 and General Mitchell Field. | [p.19] The cost of engineering, right of way and construction for the proposed facility is now estimated to be about $14.0 million, with inflationary factors considered. | [p.171] $12.1 million project that is presently scheduled for construction | [p.101] This proposed freeway facility will be accessible at the interchange locations provided at I-94, the airport entrance road, the new air cargo area and Howell Avenue. | [p.19] The median strip of Interstate Route 94 would also be revised from Layton Avenue to the Airport Spur connection with the construction of additional 13-foot wide traffic lanes and concrete median barrier. | [p.184] Modified rapid transit service is proposed over the Airport Spur from the terminal to serve both passengers and employees.","8, 19, 171, 101, 184",yes,PASS_WITH_NOTE,high,,
summary.affected_community,"The project is located in southeastern Milwaukee County in the City of Milwaukee, where land in the vicinity is transitioning from agricultural to residential, commercial, and light industrial use. Sensitive receptors include Hamlin Garland Elementary School, residences, and nearby Holler Park. The Build Alternate would displace approximately 34–45 people in 9–12 housing units and several commercial units, with 9 families and 2 businesses remaining to be relocated.","[p.19] This freeway facility would be located in southeastern Milwaukee County, in the City of Milwaukee. | [p.51] The land in the vicinity of the proposed project is currently in a transitional period from agricultural to residential, commercial and light industrial use. | [p.107] There is one school, the Hamlin Garland School located on Goldcrest Avenue. | [p.106] The City of Milwaukee's Holler Park pond located at the southwest corner of South 6th Street and Edgerton Avenue is adjacent to one of the proposed corridors but will not be affected. | [p.98] Would displace 34 people in 9 housing units and 3 commercial units. | [p.96] The remaining 33 parcels include 9 families and 2 businesses.","19, 51, 107, 106, 98, 96",yes,PASS_WITH_NOTE,high,,
summary.alternatives_overview,"Alternatives evaluated included a do-nothing alternate, a no-build option of improving local streets and arterial highways, upgrading Grange Avenue into a multi-lane highway, rapid transit service, and five alternative freeway corridor locations (#1–#5). Citizens also proposed upgrading East College Avenue, exclusive bus lanes on the existing expressway system, an airport shuttle service, and tunnel sections. Corridor #5 was ultimately recommended and approved by FHWA as offering the least disruptive connection with minimal adverse environmental impacts, while fixed rail rapid transit was deemed inferior to bus modified rapid transit.","[p.10] ""Do-nothing"" alternate. | [p.10] Improvement of local streets and arterial highways, ""no-build"". | [p.10] Upgrading Grange Avenue from Howell Avenue to I-94 into a multi-lane highway. | [p.10] Rapid transit service. | [p.10] Alternative freeway corridor locations. | [p.171] I refer to the alternative of routing airport traffic down to the College Avenue interchange down to Howell Avenue and north to General Mitchell Field. | [p.194] The Division of Highways could divert its resources to the construction of a series of exclusive buslanes along the present Milwaukee expressway system from the center of Milwaukee towards Mitchell Field. | [p.209] an airport shuttle service should be considered as an alternative to building at least part of the proposed spur. | [p.241] Proposed a 750' tunnel section from just east of I-94 to 14th Street at an additional cost of $5,000,000 to reduce the noise in the area. | [p.20] FHWA approved Corridor #5 for location of Airport Spur Freeway.","10, 171, 194, 209, 241, 20, 163, 11",yes,PASS_WITH_NOTE,high,,
summary.environmental_impact,"The largest impact is acquisition of right of way and relocation of nine families and two businesses, with approximately 35 acres valued at $2.5 million removed from the local tax base. Predicted 1990 noise levels would exceed the federal 70 dBA standard near Hamlin Garland School and adjacent residences without abatement, so noise barriers and air conditioning of the school are proposed, reducing interior school levels to 45 dBA. The Department of Natural Resources found no significant impact on fish or wildlife habitat and no rare or endangered species, and DNR approved the project under Indirect Source Rules, concluding it will not violate National Ambient Air Quality Standards or significantly degrade air quality.","[p.12] The largest effect to the human environment by the freeway proposal would be the acquisition of lands for the necessary right of way and the relocation of families and businesses. | [p.12] Nine families and two businesses remain to be relocated. | [p.132] The proposed freeway project will incorporate approximately 35 acres of land which will be removed from the local tax base. This acquisition amounts to about $2.5 million. | [p.13] The results of extensive field noise measurements and predicted 1990 noise levels indicate that some existing levels as well as 1990 levels would exceed the federal noise standards if no abatement is provided. | [p.13] Corrective abatement measures in the form of noise barriers adjacent to both the Airport Spur and I-94 will be provided | [p.144] The combination of noise barriers and air conditioning will reduce the noise levels inside the school to 45dBA, well below the interior noise standards. | [p.51] The Department of Natural Resources has indicated that there will be no significant impact on fish or wildlife habitat and that there are no known rare or endangered species in the area. | [p.285] We have found that the proposed Airport Spur is consistent with the requirements of the Indirect Source Rules. | [p.14] if the Airport Spur is constructed, the project will not violate the National Ambient Air Quality Standards or significantly degrade air quality.","12, 132, 13, 144, 51, 285, 14",yes,PASS_WITH_NOTE,high,,
summary.public_response,"A corridor location public hearing was held March 25, 1969 with 120 attendees, and an environmental public hearing was held July 11, 1974 with 150 attendees. Supporters included SEWRPC, the Federal Aviation Administration, the Milwaukee Air Cargo Association, and the American Automobile Association, while the City of Milwaukee Common Council passed resolutions opposing the Spur, and elected officials, Wisconsin's Environmental Decade, Citizens Against Airport Spur, and private citizens testified against it citing noise and air pollution effects on Hamlin Garland School and the neighborhood. A November 1974 county-wide advisory referendum showed 57.8% of Milwaukee County voters in favor of the Airport Spur.","[p.17] A corridor location public hearing for this project and public presentation of the alternate locations was held or March 25, 1969. | [p.101] Gne hundred twenty persons attended a Location Public Hearing on March 25, 1969. | [p.101] An Environmental Impact Hearing was attended by 150 persons on July 11, 1974. | [UNVERIFIED] SEWRPC, Federal Aviation Administration, Milwaukee Air Cargo Association, and the American Automobile Association testified in favor of the Airport Spur. | [p.21] City of Milwaukee Common Council resolution, declaring support for the elimination of the Airport Spur from Milwaukee County Expressway System. | [p.15] Wisconsin't Environmental Decade, Thomas R. Burney | [p.15] Citizen's Against Airport Spur, Robert Szyba, 1427 West Goldcrest Avenue, Milwaukee, Wis. 53221 | [p.102] Several elected officials and many private citizens testified against the Airport Spur because of the effects of noise and air pollution on Hamlin Garland School and the immediate neighborhood. | [p.239] Airport Spur 57.8 42.2","17, 101, 21, 15, 102, 239",mixed,PASS_WITH_NOTE,high,,
