# doc_id: p1074_35556036108041
# work_id: 
# title: Penn Susquehanna urban renewal project : environmental impact statement.
# pass: blind
# source: run_manifest.json
# artifact_stage: v1
# grade options: correct|minor_issue|wrong|cant_tell
# BLIND PASS (MCAL_PLAN 7 Q5). critic_verdict is deliberately ABSENT and your_notes is deliberately EMPTY. Grade from extracted_value, quote and source_pages only. Do not open the reveal sheet until this one is finished: the human grade and the Critic verdict must be independent, because their agreement is what fits the conformal thresholds.
# page numbers are EXACT (from per-page JSON source).
# quote_verified: yes = quote located on the cited page +/-2 (OCR-normalized, mcal/quote_check.py); mixed = partially supported; no = not located.
# your_failure_tag: one tag from the tags[<field>] line below matching this row's field, or blank if your_grade is 'correct'. Leave blank rather than guessing -- an untagged defect is a signal that the taxonomy needs a new code.
# soi_useful (yes|no): fill ONCE, on the summary_of_interest row. Did summary_of_interest tell you something the standard summary.* fields did not? An empty summary_of_interest is a correct result for a routine document, so 'no' on an empty list is not a criticism of the field.
# extracted_value and quote are NOT truncated (MCAL_PLAN 6 acceptance item 4: gradable without opening another file).
# tags[title]: T04_undefined_acronym
# tags[year]: T11_year_ocr_error
# tags[eis_type]: T12_eis_type_confused_with_rod
# tags[lead_agency]: T04_undefined_acronym, T05_commenter_mislabeled_as_cooperator
# tags[summary.overview]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.project_description]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.affected_community]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.alternatives_overview]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.environmental_impact]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.public_response]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary_of_interest]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T17_manufactured_salience, T18_salience_duplicates_summary, T19_scope_qualifier_dropped
# tags[alternatives]: T01_missing_citation, T03_outside_text_fabrication, T04_undefined_acronym, T10_alternatives_chapter_missed
# tags[themes]: T03_outside_text_fabrication, T04_undefined_acronym
# tags[location]: T01_missing_citation, T03_outside_text_fabrication, T04_undefined_acronym, T06_geocode_missing, T07_geocode_wrong_specificity, T08_scope_misclassified_national, T09_multi_site_partial_geocode, T14_regional_scope_underspecified
# tags[key_people]: T01_missing_citation, T03_outside_text_fabrication, T04_undefined_acronym, T05_commenter_mislabeled_as_cooperator, T13_pre_1978_nepa_format, T20_role_bucket_underpopulated

field,extracted_value,quote,source_pages,quote_verified,model_confidence,your_grade,your_failure_tag,your_notes,soi_useful
title,Penn Susquehanna urban renewal project : environmental impact statement.,"[p.1, 2, 3] Penn-Susquehanna Urban Renewal Project Harrisburg, Pennsylwania HUD Project No. R-634C Final Environmental Impact Statement","1, 2, 3",yes,composite=1.000,,,,
year,1973,"[p.1, 2, 3] October 5, 1973","1, 2, 3",yes,composite=1.000,,,,
eis_type,Final,"[p.1, 2, 3] Final Environmental Impact Statement","1, 2, 3",yes,composite=1.000,,,,
lead_agency,"[""Department of Housing and Urban Development""]","[p.1, 2, 3] Name of Responsible Federal Agency: Department of Housing and Urban Development","1, 2, 3",yes,composite=1.000,,,,
summary.overview,"This is a federal urban renewal plan to help Harrisburg, Pennsylvania recover from Tropical Storm Agnes, which in June 1972 crested the Susquehanna River 15 feet above flood level and flooded a 103.9-acre riverside neighborhood of about 1,002 buildings and 3,600 residents. Over five years and $5.57 million (including $4.11 million in federal Housing and Urban Development (HUD) funds), the Harrisburg Redevelopment Authority would demolish 119 structures, rehabilitate 565 buildings to code, add about 400 new dwelling units (at least 51% for low- and moderate-income households), reduce residential density in the flood plain, and require the city to adopt an ordinance forcing new construction to be elevated or floodproofed. The document considers three alternatives — no public action, more flood control (including a five-mile-long wall along Front Street that the Army Corps of Engineers rejected because costs of $20–28.5 million outweighed benefits by more than 5-to-1 and would block views of the river), and radical clearance of the flood plain (rejected as economically and socially devastating). Reviewers found no major adverse environmental effects, only minor short-term construction-related pollution, some tax base loss, and the risk that money spent rehabilitating buildings inside the 100-year flood plain would be 'irrevocably lost' if the area floods again. Ten federal, state, local, and citizen reviewers commented; none recommended disapproval, though U.S. Environmental Protection Agency (EPA), the Department of the Interior, and PennDOT asked for finer flood-probability mapping, completion of historic-preservation review, and correction of factual errors.","[p.2, 3, 12, 13, 52, 55, 78, 85, 86, 91, 104, 113] On June 24th the Susquehanna River reached flood crest at 15 feet above flood level at Harrisburg and completely inundated the project area which lies within the 100-year flood plain","2, 3, 12, 13, 52, 55, 78, 85, 86, 91, 104, 113",yes,composite=0.400,,,,
summary.project_description,"The Penn-Susquehanna Urban Renewal Project (Housing and Urban Development (HUD) Project No. PA-R-634C) is a federally funded plan to help Harrisburg, Pennsylvania recover from Tropical Storm Agnes flooding of June 1972, which crested the Susquehanna River 15 feet above flood level and inundated the 103.9-acre project area (about 5,000 by 1,000 feet along the river) containing about 1,002 buildings and 3,600 residents. Over a five-year execution with a total budget of $5,571,643 ($4,110,484 in federal funds), the Harrisburg Redevelopment Authority would demolish 119 structures, rehabilitate 565 buildings to code, add about 400 new dwelling units (at least 51% for low- and moderate-income households, at least 20% for low-income households), reduce residential density east of Second Street, add parks, open space and off-street parking, rebuild streets and utilities, and require the city to adopt a flood plain ordinance mandating that new construction be elevated or floodproofed. The three stated goals are to reduce future flood damage, repair storm damage to public and private property, and generally upgrade neighborhood services, parking, utilities, and open space.","[p.2, 3, 12, 13, 52, 55, 113] And has now been approved with a budget of $5,571,643 (approved June 29,1973). The Federal contribution will amount to $4,110,84.","2, 3, 12, 13, 52, 55, 113",yes,composite=0.400,,,,
summary.affected_community,"The project sits on the east bank of the Susquehanna River, about a mile northwest of downtown Harrisburg, a city of 68,061 (1970) that is Pennsylvania's capital. About 3,600 permanent residents live in the project area, plus roughly 1,500 workday users; while Harrisburg as a whole is 30.7% non-white, the project area itself is only about 4% non-white, with those 65 families concentrated in neighborhood #3 along Green and Penn Streets (the surrounding census tract, which extends beyond the project boundary, is 25% non-white). The area contains three sub-neighborhoods — a professional/business strip along Front Street that includes the Governor's Mansion, an older mixed neighborhood with many elderly white residents who live there partly because they can walk 12–15 blocks to downtown shopping, and a dense residential row-house area with the worst flood damage. Under the plan, 49 individual residents from 110 residences and 9 businesses (employing 44 people) would be relocated; 14.9% of Harrisburg families live below the poverty line compared with 6.6% in the surrounding metro area.","[p.17, 22, 34, 37, 48, 50, 73, 112, 113] Approximately 3,600 persons classed under (1) above, live within the project area","17, 22, 34, 37, 48, 50, 73, 112, 113",yes,composite=0.400,,,,
summary.alternatives_overview,"The Environmental Impact Statement (EIS) considers three alternatives to the proposed urban renewal project. 'No public action' would avoid the project's negatives but also forgo flood victim relocation aid and blight arrestment; it was rejected on a trade-off basis. 'More flood control' included six sub-options studied by the Army Corps of Engineers — a wall or levee along the full length of Front Street, upstream impoundments, channel improvements, obstruction removal, diverting the river north of the city, and floodways alongside the river; the Corps' preferred Scheme C (the wall/levee) was rejected because first costs ranged from $20 million (to protect against a 100-year flood, meaning a flood with a 1% annual chance) to $28.5 million (to protect against the 1972 flood of record), annual costs outweighed benefits by more than 5-to-1, and a five-mile wall would block views of the river. 'Radical clearance and demolition in the flood plain' was rejected as economically astronomical and socially devastating — it would 'gut' the heart of the city. U.S. Environmental Protection Agency (EPA) separately suggested tailoring land uses and building requirements to different flood probabilities (10-, 50-, 100-year, and record floods) rather than treating the flood plain as uniformly dangerous.","[p.3, 84, 85, 86, 101] the total first costs are extremely high, ranging from $20 million for the 100- year flood $28.5 million for the flood of record, the 1972 Flood","3, 84, 85, 86, 101",yes,composite=1.000,,,,
summary.environmental_impact,"Reviewers found no major adverse environmental effects that would block approval. Identified minor negative effects include small irreversible use of natural resources, slight air and water pollution from construction and demolition (offset by watering during demolition and pollution controls on equipment), some loss of local tax base from public acquisition, inconvenience to residents during relocation, and short-term impacts on noise and soil erosion. Effects on geology, groundwater, river ecology, animal life, and soils are expected to be slight, though groundwater in carbonate bedrock areas could produce short-lived surface subsidence as levels return to normal after the 1972 flood, and new project lighting would draw about 70 kilowatts per day (roughly the power needs of two homes). The primary major negative impact is that resources committed to rehabilitating buildings inside the unprotected 100-year flood plain (the area with a 1% annual chance of flooding) would be 'irrevocably lost' if the area floods again; new construction would be protected because the flood plain ordinance requires first floors at least one foot above the 100-year flood elevation, bans residential basements in the flood plain, and requires buildings, tanks, and ducts to be anchored to prevent flotation. Federally-backed flood insurance is available (up to $17,500 for single dwellings, $30,000 for other structures, $5,000 contents). Existing conditions the project must work within include combined storm-and-sanitary sewers that overflow into the Susquehanna during heavy rain, a sewage treatment plant put out of service for six weeks by the 1972 flood (with three deaths at the Ninth and Market lift station), and eleven industrial air pollution sources in the city. U.S. Environmental Protection Agency (EPA) and Interior warn that increased upstream urbanization may have raised actual flood probabilities beyond historical estimates.","[p.3, 37, 42, 43, 63, 64, 66, 78, 82, 101, 138] The additional lights will require approximately 70 kilowatts per day","3, 37, 42, 43, 63, 64, 66, 78, 82, 101, 138",yes,composite=0.750,,,,
summary.public_response,"Written comments came from ten federal, state, local, and citizen sources, including the U.S. U.S. Environmental Protection Agency (EPA), the Army Corps of Engineers, the Department of the Interior, HEW, the Pennsylvania Governor's Office and Department of Environmental Resources, PennDOT, the Tri-County Regional Planning Commission, the Council for Human Services, a Presbyterian Synod housing committee, and the chairman of the local Housing Committee; none recommended disapproval on environmental grounds. Citizen participation ran through a Project Area Committee (PAC) formed during the Survey and Planning stage, whose second meeting drew more than 300 project residents, plus a public hearing on June 11, 1973. EPA classified the statement as 'LO-2' (lack of objections, more detail needed) and asked for finer flood-probability mapping (10-, 50-, 100-year) not treating the flood plain as homogenous; Housing and Urban Development (HUD) replied that a Federal Insurance Administration study due May 1974 would provide it. The Corps of Engineers corrected an error about its role in establishing flood areas; Interior asked about historic preservation coordination under Section 106 of the National Historic Preservation Act (which requires federal agencies to consider effects on historic properties), wildlife impacts, siltation control, and further measures to reduce loss in the 100-year flood plain. PennDOT disagreed with framing the project purely as Agnes recovery, arguing the neighborhood was already blighted, and flagged factual errors (for example, a table of PP&L electricity generation sources adds to 104%). The Council for Human Services expected some 'discomfort due to dislocation and move out of less than 100 families,' and the Synod housing committee argued that housing barriers are sales appeal, credit, and neighborhood uncertainty rather than absolute shortage. The Housing Committee chair called for 'massive help' from federal and state sources for housing.","[p.3, 4, 51, 89, 91, 95, 100, 104, 105, 108, 110, 111, 112] Some expected discomfort due to dislocation and move out of less than 100 families","3, 4, 51, 89, 91, 95, 100, 104, 105, 108, 110, 111, 112",yes,composite=0.250,,,,
