# doc_id: p1074_35556036532315
# work_id: 28ae4c66-5926-430b-bf02-c22b6929adc9
# title: Yellow Creek Nuclear Plant : environmental impact statement.
# grade options: correct|minor_issue|wrong|cant_tell
# page numbers are ESTIMATED from char offsets at 2500 chars/page

field,extracted_value,source_pages,critic_verdict,model_confidence,your_grade,your_notes
title,Yellow Creek Nuclear Plant : environmental impact statement.,NUL,PASS_WITH_NOTE,high,,"The extracted title 'Yellow Creek Nuclear Plant : environmental impact statement.' is plausible and well-formed, consistent with standard NRC EIS titling conventions. Only one source was cited (NUL) with no cited page text provided for verification. Confidence remains high given the recognizable do…"
year,2026,"NUL, regex (first 3 pages)",HUMAN_REVIEW,low,,"There is a direct conflict between NUL metadata (2026, a future year outside valid range) and regex extraction (1985, a plausible EIS year). No cited page text was provided to adjudicate the disagreement. The regex value of 1985 is more plausible for an EIS document, but cannot be confirmed without…"
eis_type,Final,"regex (first page), Sonnet (first 2 pages)",PASS_WITH_NOTE,high,,"The extracted value of 'Final' is well-supported by the evidence phrase, which explicitly references a 'Final environmental statement' submitted to the EPA in 1978. Both extraction methods agree. The only minor caveat is that no cited page text was provided for independent verification, so the evid…"
lead_agency,"[""Tennessee Valley Authority""]",NUL,PASS,high,,"Tennessee Valley Authority is a well-known federal agency commonly serving as lead for EIS documents and is confirmed via NUL. No cited title pages were provided, so full corroboration is limited to the NUL source alone, which slightly reduces confidence. No role text or joint-lead concerns are pre…"
summary.project_description,"The Tennessee Valley Authority (TVA) proposes to build and operate the Yellow Creek Nuclear Plant, consisting of two pressurized water reactor units on a 1,160-acre site along the Yellow Creek embayment of Pickwick Lake in Tishomingo County, Mississippi, about nine miles north of Iuka. Each unit has a net electrical output of about 1,285-1,339 MW, with heat dissipated through two natural-draft cooling towers and blowdown discharged to the Tennessee River. The project also includes new highway and rail access, an intake on Pickwick Lake, and roughly 120 miles of new 500-kV and 161-kV transmiss…","1-51, 97-147, 145-195, 193-243, 241-291, 337-358",PASS_WITH_NOTE,medium,,"The summary sheet and Introduction visible in the pull confirm the core facts: 2-unit nuclear plant in Tishomingo County MS, March 1985/1986 commercial operation dates, nuclear chosen over coal on co…"
summary.affected_community,"The site is in a rural, primarily agricultural and forested area, with about 6,125 people living within 10 miles, including the small towns of Iuka and Burnsville, Mississippi, and Waterloo, Alabama. Larger nearby communities within 50 miles include Corinth, Mississippi, and the Florence-Muscle Shoals-Sheffield-Tuscumbia area in Alabama, and the Yellow Creek embayment is heavily used for recreation, with about 3.37 million visits in 1974. Construction would bring up to 2,600 workers at peak, adding around 470 students to local schools and increasing demand for housing, water and sewer service…","1-51, 49-99, 97-147, 145-195, 241-291, 289-339, 337-358",PASS_WITH_NOTE,medium,,
summary.alternatives_overview,"TVA evaluated taking no action, delaying the plant, purchasing power, reactivating older facilities, and using existing peaking units as base load, as well as new generation from hydroelectric, geothermal, natural gas, oil, coal, and nuclear sources. Nuclear was chosen over high-sulfur coal—the next cheapest option—based on an estimated $126 million per year cost advantage and lower environmental impacts, while energy conservation was incorporated into demand forecasts and solar and municipal solid waste were judged not yet practical at this scale. Two candidate sites were compared, Yellow Cr…","1-51, 193-243, 241-291, 289-339, 337-358",PASS_WITH_NOTE,medium,,
summary.environmental_impact,"Routine operations are expected to release radioactive, chemical, and heated discharges within regulatory limits, with radiation doses to nearby populations a small fraction of the natural background of about 115-150 mrem per year. Cooling tower operation will evaporate water, add small amounts of drift and heat, and slightly raise discharge temperatures, while entrainment could affect 7-10 percent of larval fish in the Yellow Creek embayment, with negligible effects on the wider reservoir. Construction will clear about 440 acres at the site and disturb roughly 3,985 acres overall (including …","1-51, 49-99, 97-147, 145-195, 193-243, 241-291, 289-339, 337-358",PASS_WITH_NOTE,medium,,
summary.public_response,"TVA circulated the draft statement in May 1977 and the final statement in January 1978 to federal agencies (including EPA, CEQ, Interior, Agriculture, HUD, and ERDA) and to state and local agencies in Mississippi, Tennessee, and Alabama. The Tennessee State Planning Office and Hardin County officials requested stronger commitments to mitigate impacts on schools, water and sewer systems, recreation, ambulance, law enforcement, and civil defense, and asked about cumulative effects with the Tennessee-Tombigbee Waterway and Pickwick Lock projects. Residents of Oxford, Mississippi, the Sierra Club…","1-51, 145-195, 193-243, 289-339, 337-358",PASS_WITH_NOTE,medium,,
alternatives,[],,HUMAN_REVIEW,low,,"The extraction returned an empty value with no cited pages, citing a structural detection failure and a deliberate skip per the v2 plan. Because no source text was surfaced, none of the substantive rubric checks can be evaluated. A human reviewer should locate the Alternatives chapter in the EIS an…"
themes,"{""themes"": [""Energy Systems"", ""Transportation Infrastructure"", ""Water Systems""], ""subthemes"": [""Energy Extraction and Production"", ""Energy Distribution and Consumption"", ""Mobility Networks and Connectivity"", ""Water Infrastructure and Management"", ""Water Scarcity and Environmental Change""]}",summary,HUMAN_REVIEW,high,,"The extraction provides no cited page text, making it impossible to verify that the document summary actually supports the chosen themes and subthemes. The justification narrative is internally coherent and plausible for a nuclear power plant EIS, but without source text the rubric checks cannot be…"
location,"{""places"": [{""name"": ""Yellow Creek, Tishomingo County, MS"", ""kind"": ""point"", ""state"": ""MS""}], ""is_multi_site"": false, ""geocoded"": [{""name"": ""Yellow Creek, Tishomingo County, MS"", ""lat"": 34.958893, ""lon"": -88.215923, ""address"": ""Yellow Creek Nuclear Plant Ruins, Tishomingo County, Mississippi, United States""}]}",1-30,PASS,high,,"The extracted location accurately identifies Yellow Creek, Tishomingo County, MS as the project site, consistent with multiple references in the cited pages. The geocoded coordinates and address align with the known location of the Yellow Creek Nuclear Plant site in northeastern Mississippi on Pick…"
key_people.agency_preparers,"[{""name"": ""Harry G. Moore, Jr."", ""role"": ""Acting Director, Division of Environmental Planning, Tennessee Valley Authority""}]",1-30,PASS,high,,"The single agency preparer (Harry G. Moore, Jr.) and all 20 cooperating/reviewing agencies are accurately extracted from the Summary Sheet of the cited text. No public commenters were identified or e…"
key_people.cooperating_agencies,"[{""name"": ""Advisory Council on Historical Preservation""}, {""name"": ""Appalachian Regional Commission""}, {""name"": ""Energy Research and Development Administration""}, {""name"": ""Council on Environmental Quality""}, {""name"": ""Environmental Protection Agency""}, {""name"": ""Federal Power Commission""}, {""name"": ""Department of Energy""}, {""name"": ""Department of Agriculture""}, {""name"": ""Federal Energy Administr…",1-30,PASS,high,,
key_people.public_commenters,[],,PASS,high,,
