# doc_id: p1074_35556036535615
# work_id: 
# title: Kendall Square urban renewal : environmental impact statement.
# pass: reveal
# source: run_manifest.json
# artifact_stage: v1
# grade options: correct|minor_issue|wrong|cant_tell
# REVEAL PASS (MCAL_PLAN 7 Q5). critic_verdict, critic_failure_tag and critic_notes are shown for META-ANALYSIS ONLY. Fill this sheet only after the blind pass is complete. The Critic's notes are in critic_notes; your_notes is yours.
# page numbers are EXACT (from per-page JSON source).
# quote_verified: yes = quote located on the cited page +/-2 (OCR-normalized, mcal/quote_check.py); mixed = partially supported; no = not located.
# your_failure_tag: one tag from the tags[<field>] line below matching this row's field, or blank if your_grade is 'correct'. Leave blank rather than guessing -- an untagged defect is a signal that the taxonomy needs a new code.
# soi_useful (yes|no): fill ONCE, on the summary_of_interest row. Did summary_of_interest tell you something the standard summary.* fields did not? An empty summary_of_interest is a correct result for a routine document, so 'no' on an empty list is not a criticism of the field.
# extracted_value and quote are NOT truncated (MCAL_PLAN 6 acceptance item 4: gradable without opening another file).
# tags[title]: T04_undefined_acronym
# tags[year]: T11_year_ocr_error
# tags[eis_type]: T12_eis_type_confused_with_rod
# tags[lead_agency]: T04_undefined_acronym, T05_commenter_mislabeled_as_cooperator
# tags[summary.overview]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.project_description]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.affected_community]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.alternatives_overview]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.environmental_impact]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.public_response]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary_of_interest]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T17_manufactured_salience, T18_salience_duplicates_summary, T19_scope_qualifier_dropped
# tags[alternatives]: T01_missing_citation, T03_outside_text_fabrication, T04_undefined_acronym, T10_alternatives_chapter_missed
# tags[themes]: T03_outside_text_fabrication, T04_undefined_acronym
# tags[location]: T01_missing_citation, T03_outside_text_fabrication, T04_undefined_acronym, T06_geocode_missing, T07_geocode_wrong_specificity, T08_scope_misclassified_national, T09_multi_site_partial_geocode, T14_regional_scope_underspecified
# tags[key_people]: T01_missing_citation, T03_outside_text_fabrication, T04_undefined_acronym, T05_commenter_mislabeled_as_cooperator, T13_pre_1978_nepa_format, T20_role_bucket_underpopulated

field,extracted_value,quote,source_pages,quote_verified,critic_verdict,critic_failure_tag,critic_notes,model_confidence,your_grade,your_failure_tag,your_notes,soi_useful
title,Kendall Square urban renewal : environmental impact statement.,"[p.1, 2, 3] Kendall Square Urban Renewal Project Mass R-107 Cambridge, Massachusetts Final Environmental Impact Statement","1, 2, 3",yes,PASS,,"The extracted title closely matches the cover page text on pages 1–2: 'Kendall Square Urban Renewal Project' and 'Final Environmental Impact Statement'. The slight reformatting (colon, lowercase) is a minor stylistic variation consistent with catalogue metadata conventions and does not constitute a factual discrepancy.",composite=1.000,,,,
year,1977,"[p.1, 2, 3] JAN 1 1 1978","1, 2, 3",yes,HUMAN_REVIEW,T11_year_ocr_error,"The transmittal letter on page 1 is dated JAN 11 1978, and the cover page (page 2) also bears a date stamp of JAN 12 1978. The higher-priority transmittal/signature date is 1978, not 1977. The '77' in the document identifier 'HUD-R01-EIS-77-01-F' appears to be a project/fiscal year code, not the publication year.; gate_reason=critic_verdict; gated_to_human=true",composite=0.650,,,,
eis_type,Draft,"[p.1, 2, 3] Final Environmental Impact Statement Kendall Square Urban Renewal Project Mass R-107 Cambridge, Massachusetts","1, 2, 3",yes,HUMAN_REVIEW,,"critic_failure_tag_off_vocabulary:T03_outside_text_fabrication; The document is clearly a Final EIS, not a Draft. Page 2 shows 'Final Environmental Impact Statement' as a cover-page designation, and page 1 explicitly states 'Final Environmental Impact Statement' in the subject line. The extracted value of 'Draft' is contradicted by the evidence.; gate_reason=critic_verdict; gated_to_human=true",composite=0.650,,,,
lead_agency,"[""Department of Housing and Urban Development""]","[p.1, 2, 3] Prepared by: Boston Area Office U.S. Department of Housing And Urban Development","1, 2, 3",yes,PASS,,,composite=1.000,,,,
summary.overview,"This document is a Final Environmental Impact Statement for the Kendall Square Urban Renewal Project, which would complete redevelopment of about 44 acres of largely cleared land in eastern Cambridge, Massachusetts after National Aeronautics and Space Administration (NASA) withdrew from an urban renewal project originally approved in 1965. The plan, governed by a new Cambridge Center Mixed Use Development (MXD) zoning district, caps building floor area at 2,773,000 square feet across light industry, offices, retail, a hotel, market-rate housing, a fire station, a parking garage, and at least 100,000 square feet of public open space. Housing and Urban Development (HUD) evaluated five alternatives — a Preferred Plan, a mostly industrial Task Force Plan, a City Manager's Plan without housing, a Maximum Plan built to the zoning ceiling, and a No Build alternative that would simply landscape the site — and recommends the Preferred Plan. Expected effects include eliminating blight, stabilizing the tax base and surrounding neighborhoods, and creating jobs, but also relocation of six businesses, roughly 18,500 daily vehicle trips, traffic increases outside the project area (about +17% on Broadway and +29% on Third Street), 30–40 tons per day of solid waste, and 'Unacceptable' HUD-rated noise exposure on parts of Parcels 3 and 4 facing busy streets. Federal and regional reviewers generally supported the project — Environmental Protection Agency (EPA) rated the Draft Environmental Impact Statement (EIS) 'LO-1' (lack of objections, adequate) — while Massachusetts environmental agencies raised detailed concerns about air-quality assumptions, noise, regional traffic, open space, sewerage, solid waste, and construction-phase management.","[p.7, 8, 20, 26, 27, 29, 52, 66, 71, 97, 98] The aggregate gross floor area (hereinafter referred to as ""GFA"" and defined in Appendix I of the Urban Renewal Plan attached hereto and made a part hereof as if fully set forth herein) of development in the MXD District shall not exceed 2,773,000 square feet.","7, 8, 20, 26, 27, 29, 52, 66, 71, 97, 98",yes,HUMAN_REVIEW,T03_outside_text_fabrication,"The extracted value names the zoning district 'Cambridge Center Mixed Use Development (MXD)' but the cited pages refer only to 'MXD District' without the 'Cambridge Center' prefix. No cited page contains the phrase 'Cambridge Center Mixed Use Development.' This qualifier appears to be an unsupported addition. Additionally, page 100 ('RECOMMENDED HUD ACTION') has blank OCR text, so the claim that H; gate_reason=critic_verdict; gated_to_human=true",composite=0.400,,,,
summary.project_description,"The Kendall Square Urban Renewal Project would complete redevelopment of an approximately 44-acre, mostly cleared site in eastern Cambridge, Massachusetts, bounded by Binney Street, Main Street, Third Street, and the Penn Central Railroad tracks, after National Aeronautics and Space Administration (NASA) withdrew from an urban renewal project originally approved in 1965. The City has adopted a new zoning district — the Cambridge Center Mixed Use Development (MXD) District — that governs the undeveloped portion of the site and caps total building floor area at 2,773,000 square feet, with a 250-foot height limit south of Broadway and 80 feet to the north. Planned uses include light industry, general and technical offices, retail and consumer-service stores, a fire station, a hotel, market-rate housing, and a parking garage, with at least 100,000 square feet of land reserved for public open space such as parks and plazas.","[p.7, 66, 70, 71] The aggregate gross floor area (hereinafter referred to as ""GFA"" and defined in Appendix I of the Urban Renewal Plan attached hereto and made a part hereof as if fully set forth herein) of development in the MXD District shall not exceed 2,773,000 square feet.","7, 66, 70, 71",yes,HUMAN_REVIEW,,"All key figures (44 acres, 2,773,000 sq ft, 250-ft and 80-ft height limits, 100,000 sq ft open space) verify against cited pages 7, 66, 70, 71. Boundaries and NASA context on p.7. MXD name is supported by 'MXD District' throughout though the 'Cambridge Center Mixed Use Development' expansion is inferred; however the acronym MXD is document-defined. Market-rate housing is a light gloss on 'Resident; gate_reason=composite_below_tau; gated_to_human=true",composite=0.750,,,,
summary.affected_community,"The site sits in eastern Cambridge near downtown Boston, immediately adjacent to East Cambridge residential neighborhoods, the Kennedy School, MIT buildings, Draper Labs, the Badger Building, and the U.S. Department of Transportation building. The plan is aimed at Cambridge residents and workers, with explicit goals to provide blue-collar and non-professional white-collar jobs, stabilize the City's industrial base and tax base, help stabilize surrounding neighborhoods including East Cambridge, and ease vehicle movement through East Cambridge. Six existing businesses in the project area would be completely relocated, and nondiscrimination provisions bar exclusion by race, color, religious creed, national origin, sex, age, ancestry, or marital status in any land transaction, employment, or occupancy within the project area.","[p.8, 28, 29, 56, 57] steps should be taken to minimize general off-site construction impacts particularly to the Kennedy School and residential areas","8, 28, 29, 56, 57",yes,HUMAN_REVIEW,T03_outside_text_fabrication,"The nondiscrimination clause listing 'race, color, religious creed, national origin, sex, age, ancestry, or marital status' does not appear in the cited pages (8, 28, 29, 56, 57). Page 8 lists negative effects and page 56-57 lists urban renewal objectives, but no nondiscrimination provisions with that enumerated list of protected classes are found on the cited pages.; gate_reason=critic_verdict; gated_to_human=true",composite=0.400,,,,
summary.alternatives_overview,"Because the site was already about 95 percent cleared when National Aeronautics and Space Administration (NASA) withdrew, Housing and Urban Development (HUD) did not evaluate alternative sites, only alternative uses of this site. Five alternatives were compared for Parcels 2, 3, and 4: the Preferred Plan, a mix of a fire station, industry, offices, retail, a hotel, and market-rate housing (with industry and parking on the 'quadrangle' portion and other uses on the 'triangle'); the Task Force Plan, primarily industrial with some office and retail; the City Manager's Plan, similar to the Preferred Plan but with no housing, less hotel and retail, more industrial and technical office space, and parking moved to the triangle; the Maximum Plan, the same uses as the Preferred Plan but built to the maximum floor area allowed by zoning, requiring omission of the Central Connector street; and a No Build alternative that would clear remaining structures and landscape the parcels with grass, trees, and shrubs, with no new streets or recreational development. The Massachusetts Historical Commission judged the three 'Build' alternatives more appropriate than a park use because they better reflect the area's industrial and commercial history.","[p.8, 24, 97, 98] The Maximum Plan has identical uses to the Preferred Plan, but the amount of space for each use is greater and represents the maximum permitted under city zoning regulations.","8, 24, 97, 98",yes,HUMAN_REVIEW,,"All five alternatives (Preferred, Task Force, City Manager's, Maximum, No Build) are present on pp. 97-98. The 95 percent cleared / no alternative sites framing is supported on p. 8. The Massachusetts Historical Commission's judgment on the three 'Build' alternatives vs. park use is supported on p. 24. Acronyms NASA and HUD are expanded on first use.; gate_reason=composite_below_tau; gated_to_human=true",composite=1.000,,,,
summary.environmental_impact,"Housing and Urban Development (HUD) concludes the project's benefits — eliminating blight, strengthening the tax base, improving aesthetics and utilities, and stabilizing surrounding neighborhoods — outweigh its likely adverse impacts, and that pre-existing environmental problems would have worsened without renewal. Adverse effects include relocation of six businesses, increased vehicular traffic and traffic-related noise, and construction-phase disruption of traffic and utilities; state reviewers noted that portions of Parcels 3 and 4 facing busy streets are expected to receive noise levels rated 'Unacceptable' under HUD standards, that traffic outside the project area would increase about 17% on Broadway and 29% on Third Street, and that roughly 30 to 40 tons of solid waste per day (about 10 truckloads) would be generated. Air quality was analyzed at three scales — a 'microscale' study of specific intersections, a 'macroscale' emissions inventory within a transportation impact area bounded by Memorial Drive, Massachusetts Avenue, Portland Street, Cambridge Street, McGrath and Monsignor O'Brien Highways and Cambridge Parkway, and a regional vehicle-miles-traveled (VMT) comparison, with HUD clarifying that the project itself would produce zero or a slight reduction in regional VMT; state reviewers questioned whether motor-vehicle emission assumptions (a 10 percent CO/HC reduction credit for Inspection & Maintenance and use of Environmental Protection Agency (EPA)'s Supplement 5 emission factors) understate air-quality impacts. Sewage flow under the Preferred Plan is estimated to include 0.7 million gallons per day of industrial wastewater (about 75 percent of total flow), and about 18,500 daily vehicle trips are projected. Approval is conditioned on noise attenuation for any residential or hotel buildings (per HUD Circular 1390.2), construction-noise controls in developer contracts, and energy-conservation measures in building design.","[p.7, 8, 26, 27, 29, 32, 48, 50, 51, 52, 101] 0.7 mgd for the Preferred Plan which represents 75 percent of the flow","7, 8, 26, 27, 29, 32, 48, 50, 51, 52, 101",yes,HUMAN_REVIEW,,gate_reason=composite_below_tau; gated_to_human=true,composite=0.750,,,,
summary.public_response,"Most federal reviewers had no substantive objections; Environmental Protection Agency (EPA) rated the Draft Environmental Impact Statement (EIS) 'LO-1' — lack of objections, adequate — contingent on mitigation, and found air impacts adequately addressed. The Advisory Council on Historic Preservation and the Department of the Interior asked for stronger documentation on archaeological sites, National Register properties, and quantified open-space commitments; the Massachusetts Historical Commission concurred with the finding of no impact on Register properties, and the Cambridge Historical Commission (via MHC) commented on the use of materials in the design plans to reflect historic development. The Massachusetts Executive Office of Environmental Affairs, together with the Department of Environmental Quality Engineering and the Division of Air Hazardous Materials, raised the most detailed concerns — on noise standards, the project's relationship to the state air-quality plan, emission-inspection credits, emission factors, vehicle miles traveled (VMT) projections, regional traffic impacts, pedestrian and bicycle circulation, open space, sewerage, solid waste, energy and water conservation, and construction management — and asked that a Construction Phase Review Team be established. The Metropolitan Area Planning Council found the project consistent with regional goals, and the Boston Redevelopment Authority concluded the development should not significantly harm Boston streets but asked for a more detailed regional traffic analysis.","[p.13, 14, 20, 24, 29, 34, 36, 51, 52, 101] we have rated this project IO-1","13, 14, 20, 24, 29, 34, 36, 51, 52, 101",yes,HUMAN_REVIEW,T02_numeric_hallucination,"The extracted value states EPA rated the DEIS 'LO-1' — lack of objections, adequate. However, the cited page 20 clearly shows the rating as 'IO-1' (not LO-1). While page 21's explanation shows 'LO -- Lack of Objections' as a rating category, the actual rating stamped on the letter is 'IO-1'. The extraction has substituted 'LO' for 'IO', which is a different rating code. Additionally, the value att; gate_reason=critic_verdict; gated_to_human=true",composite=0.650,,,,
