# doc_id: p1074_35556036105336
# work_id: csv:35556036105336
# title: Randolph urban renewal area : environmental impact statement.
# n_commenters: 50
# n_complaints: 68
# n_responses: 11
# grade options: correct|minor_issue|wrong|cant_tell
# stance vocab: in_favor|opposed|conditional|neutral
# kind vocab: individual|official|organization|agency|tribe|government|other
# response_pages: resolved by searching source per-page JSON for the response opening_anchor; '?' means anchor did not match any page.

complainer_id,entity,kind,role,stance,stance_confidence,comment_pages_from,comment_pages_to,comment_pages_all,n_complaints,responded,response_ids,response_pages,response_agency,needs_human_review,human_review_reasons,your_grade,your_notes
p1074_35556036105336_K011,Environmental Protection Agency,agency,Federal environmental regulatory agency,conditional,medium,1,1,1,1,N,,,,yes,quote_not_verbatim,,
p1074_35556036105336_K004,City of Richmond,government,Local government commenter,neutral,low,2,2,2,1,N,,,,yes,quote_not_verbatim;low_stance_confidence,,
p1074_35556036105336_K009,Department of Transportation  FAA,agency,Federal agency commenter,neutral,low,2,2,2,1,N,,,,yes,quote_not_verbatim;low_stance_confidence,,
p1074_35556036105336_K010,Department of Transportation  FHWA,agency,Federal agency commenter,neutral,low,2,2,2,1,N,,,,yes,quote_not_verbatim;low_stance_confidence,,
p1074_35556036105336_K007,"Department of Health, Education, and Welfare",agency,Federal agency commenter,neutral,low,5,5,5,1,N,,,,yes,low_stance_confidence,,
p1074_35556036105336_K014,Maymont Civic League,organization,Civic organization representing the Maymont Community,neutral,medium,14,14,14,1,N,,,,no,,,
p1074_35556036105336_K013,L. S. McBride,official,"Richmond Area Representative, Pollution Abatement Division, State Water Control Board",conditional,medium,16,16,16,1,N,,,,no,,,
p1074_35556036105336_K015,Randolph Planning Study Board (RPSB),organization,Project Area Committee / community planning body for Randolph Urban Renewal Area,in_favor,medium,16,16,16,2,N,,,,no,,,
p1074_35556036105336_K003,citizens of Randolph,other,Community residents / voters,in_favor,medium,17,17,17,1,N,,,,no,,,
p1074_35556036105336_K005,City of Richmond's Department of Planning and Community Development,agency,City department hosting public meeting,neutral,medium,17,17,17,1,N,,,,no,,,
p1074_35556036105336_K006,City Planning Commission,agency,City planning body,in_favor,medium,17,17,17,1,N,,,,no,,,
p1074_35556036105336_K016,Regional Planning Commission,agency,Regional planning body,in_favor,medium,17,17,17,1,N,,,,no,,,
p1074_35556036105336_K018,Richmond Redevelopment and Housing Authority,agency,Local urban renewal authority / project applicant,in_favor,medium,17,17,17,4,N,,,,no,,,
p1074_35556036105336_K020,State Water Control Board,agency,Commonwealth of Virginia water quality regulatory agency,conditional,medium,31,31,31,2,N,,,,no,,,
p1074_35556036105336_K002,"Bolt, Beranek and Newman, Inc.",organization,"Noise evaluation consultant (Cambridge, Massachusetts)",neutral,medium,34,34,34,2,N,,,,no,,,
p1074_35556036105336_K017,Richmond Metropolitan Authority,agency,Regional authority responsible for expressway construction,neutral,medium,34,54,"34,54",4,N,,,,no,,,
p1074_35556036105336_K019,Richmond Regional Planning District Commission (RRPDC),agency,Regional planning agency / transit grant recipient,neutral,medium,40,40,40,1,N,,,,no,,,
p1074_35556036105336_K001,Acting Chief Barlow,official,"Acting Chief, Richmond Fire Department",neutral,medium,45,45,45,1,Y,p1074_35556036105336_R001,45,other,no,,,
p1074_35556036105336_K012,Harland Bartholomew and Associates,organization,Consultant planners working with the Randolph Community,neutral,medium,45,45,45,1,Y,p1074_35556036105336_R002,45,other,no,,,
p1074_35556036105336_K023,Virginia Transit Company,organization,Public transit operator serving Randolph,neutral,medium,47,47,47,1,N,,,,no,,,
p1074_35556036105336_K029,PAC group,organization,Citizen participation/advisory committee for Randolph Community,in_favor,medium,50,57,"50,57",2,N,,,,no,,,
p1074_35556036105336_K032,Richmond City Council,government,"Local legislative body, City of Richmond",in_favor,medium,54,54,54,1,N,,,,no,,,
p1074_35556036105336_K036,Virginia Historical Society,organization,State historical organization,neutral,medium,54,54,54,1,N,,,,no,,,
p1074_35556036105336_K031,Randolph PAC,organization,Citizen participation/advisory committee for Randolph Urban Renewal project,in_favor,medium,57,57,57,1,N,,,,no,,,
p1074_35556036105336_K033,"Robert J. Blanco, P.E.",official,"Chief, Environmental Impact Branch, EPA Region III",conditional,high,63,63,63,1,Y,p1074_35556036105336_R003,66,HUD Richmond Area Office,no,,,
p1074_35556036105336_K035,United States Environmental Protection Agency Region III,agency,"Federal environmental regulatory agency, commenter on Draft EIS",conditional,high,63,63,63,1,Y,p1074_35556036105336_R004,66,U.S. Department of Housing and Urban Development,no,,,
p1074_35556036105336_K030,Parker W. Hirtle,individual,"Engineer, Bolt Beranek and Newman Inc., noise study consultant",neutral,high,69,69,69,1,N,,,,yes,private_individual,,
