# doc_id: p1074_35556036546182
# work_id: csv:35556036546182
# title: Airport Spur connection, I-94 to General Mitchell Field, Milwaukee : environmental impact statement.
# grade options: correct|minor_issue|wrong|cant_tell
# page numbers are EXACT (from per-page JSON source).
# quote_verified: yes = quote present verbatim on cited page; no = forced HUMAN_REVIEW; mixed = some verified, some not.

field,extracted_value,quote,source_pages,quote_verified,critic_verdict,model_confidence,your_grade,your_notes
title,"Airport Spur connection, I-94 to General Mitchell Field, Milwaukee : environmental impact statement.",,inventory index (MARC 245$ab),,PASS,high,,"The extracted title comes directly from the MARC 245$ab field, which is the authoritative bibliographic title field. The title is well-formed, descriptive, and consistent with standard EIS document naming conventions. No concerns with this extraction."
year,1976,,"NUL, regex (first 3 pages)",,HUMAN_REVIEW,low,,NUL metadata yields 1976 while regex extraction from the first 3 pages yields 2015 — a 39-year discrepancy that cannot be resolved without inspecting the actual document pages. No cited page text was provided to adjudicate between the two values. A human reviewer should examine the document cover/t…
eis_type,Final,,Sonnet (first 2 pages),,HUMAN_REVIEW,medium,,"The extracted value of 'Final' is a valid EIS type, but confidence is undermined by the absence of any cited text or evidence phrases to corroborate the classification. Additionally, no regex hit was reported, meaning only a single extraction method (Sonnet) contributed, and cross-validation is imp…"
lead_agency,"[""Federal Highway Administration""]",,NUL,,PASS,high,,"A single lead agency, Federal Highway Administration, is extracted and sourced from NUL with no role text present. Confidence is medium rather than high because no cited title pages were provided to independently corroborate the NUL attribution. The extraction itself appears clean and well-formed."
summary.overview,"The Wisconsin Division of Highways and Milwaukee County propose to build the 'Airport Spur,' a 1.5-mile, four-lane divided freeway on new alignment connecting Interstate 94 to General Mitchell Field airport on Milwaukee's south side, at an estimated cost of about $12-14 million. The project would run through south-side Milwaukee neighborhoods in transition from farmland to housing and light industry, displacing 9-11 families and 2-5 businesses and passing about 250 feet from Hamlin Garland Elementary School. Five build corridors plus 'do-nothing,' 'no-build,' and mass-transit alternatives were studied, with Corridor #5 selected as least disruptive; citizens also proposed alternatives such as upgrading College Avenue, building exclusive bus lanes on existing freeways, and a 750-foot tunnel section (rejected as not economically justifiable). Predicted 1990 noise at Hamlin Garland School and about 40 adjacent homes would exceed federal standards without mitigation, prompting proposed noise barriers, earth berms, and air conditioning of the school; the Wisconsin Department of Natural Resources approved the project's air-quality analysis under the state Indirect Source Rules, finding carbon-monoxide levels would not exceed 75% of national standards. Public response was mixed: elected officials and citizens raised strong opposition on noise, air-quality, and school-impact grounds, while regional planning bodies and aviation groups supported it, and a November 1974 countywide advisory referendum approved the Spur 57.8% to 42.2%.","[p.8] This highway improvement will provide a 1.5 mile direct freeway-airport connection, on new location within Corridor #5, between existing Interstate Route 94 and General Mitchell Field. | [p.19] The cost of engineering, right of way and construction for the proposed facility is now estimated to be about $14.0 million, with inflationary factors considered. This estimate includes $2.6 million for right of way. | [p.51] The land in the vicinity of the proposed project is currently in a transitional period from agricultural to residential, commercial and light industrial use. | [p.88] It would, however, abut the City of Milwaukee's Hamlin Garland Elementary School property located to the south. The most feasible alignment in this corridor would be approximately 250 feet from the school building. | [p.260] The Wisconsin Division of Highways recognizes that the subject Right of Way projects will require the displacement of eleven families and the demolition of at least four residential units. | [p.163] Alternate #5 offers the least disruptive connection to the airport with minimal adverse environmental impacts. | [p.194] He has suggested the upgrading of College Ave. for use to and from Mitchell Field. | [UNVERIFIED] the Division of Highways could divert its resources to the construction of a series of exclusive buslanes along the present Milwaukee expressway system from the center of Milwaukee towards Mitchell Field | [p.241] Proposed a 750' tunnel section from just east of I-94 to 14th Street at an additional cost of $5,000,000 to reduce the noise in the area. | [p.245] A tunnel section of any length and freeway link is not economically feasible and would not be in conformance with the regional land use-transportation plan.","8, 19, 51, 88, 260, 163, 194, 241, 245, 235, 13, 144, 216, 102, 239",mixed,PASS_WITH_NOTE,high,,"The extraction is substantively accurate and well-supported throughout. The one flagged quote (exclusive bus lanes, source_pages: []) is actually present verbatim on page 194 in the supplied text, me…"
summary.project_description,"The Wisconsin Division of Highways and Milwaukee County propose to build the 'Airport Spur,' a 1.5-mile, four-lane divided freeway on new alignment within Corridor #5, connecting Interstate 94 to General Mitchell Field airport on Milwaukee's south side. The project also widens I-94 from Layton Avenue to the spur connection by adding 13-foot lanes and a concrete median barrier, and includes an interchange at Howell Avenue. Right-of-way would be 300-350 feet wide, and the estimated total cost is about $12-14 million, with Milwaukee County paying $2.2 million and federal and state funds covering the rest. Projected 1990 traffic is roughly 19,600 vehicles per day, about 9% trucks.","[p.8] This highway improvement will provide a 1.5 mile direct freeway-airport connection, on new location within Corridor #5, between existing Interstate Route 94 and General Mitchell Field. | [p.19] The median strip of Interstate Route 94 would also be revised from Layton Avenue to the Airport Spur connection with the construction of additional 13-foot wide traffic lanes and concrete median barrier. | [p.162] The facility while considered as an exclusive connection to the airport has since been changed to provide access to Howell Avenue. | [p.131] ROW Width 300' to 350' 1.5 Miles | [p.19] The cost of engineering, right of way and construction for the proposed facility is now estimated to be about $14.0 million, with inflationary factors considered. This estimate includes $2.6 million for right of way. | [p.19] It is anticipated that Milwaukee County's share will be $2.2 million with the remaining portion federal/ state monies. | [p.227] Traffic projections for 1990 indicate 19,600 vehicles using the Airport Spur. Nine percent would be truck traffic.","8, 19, 162, 131, 227",yes,PASS_WITH_NOTE,high,,
summary.affected_community,"The Spur runs through south-side Milwaukee neighborhoods around General Mitchell Field that are transitioning from farmland to residential, commercial, and light-industrial use, in a study area of about 1,918 acres bounded by South 20th Street, W. Layton Avenue, South Howell Avenue, and W. College Avenue. Roughly 9-11 families and 2-5 businesses (including Geo. Amrhein Greenhouses, Budget Rent-A-Car, AGE Food Service, and Grange Trucking & Grading) would be displaced, with two vulnerable single-mother households on public assistance flagged as relocation problems. Hamlin Garland Elementary School sits about 250 feet from the alignment, and about 40 nearby residents would experience noise levels above federal standards. The airport is a major regional employer serving a seven-county southeastern Wisconsin region projected to grow from 1.76 million people in 1970 to 2.26 million by 1990.","[p.51] The land in the vicinity of the proposed project is currently in a transitional period from agricultural to residential, commercial and light industrial use. | [p.132] The Study area bounded by South 20th Street, W. Lavton Avenue, South howell Avenue, and W. College Avenue comprises 1,918 acres | [p.88] It would, however, abut the City of Milwaukee's Hamlin Garland Elementary School property located to the south. The most feasible alignment in this corridor would be approximately 250 feet from the school building. | [p.260] The Wisconsin Division of Highways recognizes that the subject Right of Way projects will require the displacement of eleven families and the demolition of at least four residential units. | [p.268] Geo. Amrhein Greenhouses | [p.268] Budget Rent-A-Car | [p.268] AGE Food Service, Inc. | [p.268] Grange Trucking & Grading | [p.267] This family consists of the mother as head of the household; a son (age 10); and two daughters (7 and 2 years of age). The family is presently receiving aid through A.D.C. | [p.235] The Draft EIS ignored the fact that approximately 40 residents adjacent to the Airport Spur will experience noise levels above the federal standards.","51, 132, 88, 260, 268, 267, 235, 60",yes,PASS_WITH_NOTE,high,,
summary.alternatives_overview,"The EIS evaluated five build alternatives plus a 'do-nothing' option (make no changes) and a 'no-build' option (only improve local streets and arterials): upgrading Grange Avenue between Howell Avenue and I-94 into a multi-lane arterial; rapid transit service to the airport; and four freeway corridors on new alignment (Nos. 2, 3, 4, and the recommended No. 5, which is a revision of Corridor 3 shifted north to fit the new air-cargo area). Corridor #5 was selected as least disruptive; rejected build corridors had larger drawbacks — Corridor No. 4 alone would displace 230 people from 62 housing units. Rail rapid transit was rejected in favor of rubber-tired 'modified rapid transit' buses using the freeway, and forecast traffic was judged too low to justify an exclusive bus lane or shuttle. Citizens proposed additional alternatives — upgrading College Avenue instead of building the Spur, converting highway funds to exclusive bus lanes on the existing expressway system under Wis. Stat. Ch. 84.01(27), terminating the freeway at the Milwaukee Road rail line and using an at-grade parkway with a shuttle like O'Hare's, a 750-foot tunnel section from I-94 to 14th Street (about $5 million extra), and routing via the old North Shore railroad right-of-way from Rawson Avenue — which the Division addressed but rejected as not economically justifiable or not conforming to the regional plan.","[p.10] 1. Upgrading Grange Avenue from Howell Avenue to I-94 into a multi-lane highway. | [p.10] 2. ""Do-nothing"" alternate. | [p.10] 3. Improvement of local streets and arterial highways, ""no-build"". | [p.10] 4. Rapid transit service. | [p.10] 5. Alternative freeway corridor locations. | [p.93] Corridor #5 - (Recommended Corridor for project construction) is a revision of Corridor #3, adjusted to accommodate the construction of a new air cargo area at General Mitchell Field. | [p.163] Alternate #5 offers the least disruptive connection to the airport with minimal adverse environmental impacts. | [p.92] it is estimated that a freeway facility in this corridor would displace 230 people from 62 housing units. There would also be 5 commercial parcels displaced. | [p.11] The Regional Land Use-Transportation Plans clearly established that a fixed rail rapid transit system would be inferior to the more flexible and economical bus modified rapid transit system and no further consideration would be given to other forms of rapid transit. | [p.11] Projected traffic volumes will not support an exclusive bus lane nor shuttle bus operation.","10, 93, 163, 92, 11, 171, 194, 209, 241, 242, 245",yes,PASS_WITH_NOTE,high,,
summary.environmental_impact,"The largest human impact is land acquisition and displacement — about 35 acres removed from the local tax base (roughly $2.5 million), with 9-11 families and 2-5 businesses displaced. Predicted 1990 noise near the Spur, at Hamlin Garland School (site 15), and near the Howell Avenue interchange (site 24) would exceed the federal 70 dBA exterior / 55 dBA interior standards, and about 40 residents adjacent to the Spur would face noise above federal standards without mitigation; the Division proposes $350,000 in noise barriers plus earth berms and air-conditioning the school (dropping interior noise to 45 dBA). The entire corridor already lies within Mitchell Field's 100 Composite Noise Rating contour for aircraft. Critics faulted the air-quality analysis for using tons/day rather than parts-per-million, California-based emission factors, and omitting Lake Michigan 'lake effect' meteorology, but the Wisconsin Department of Natural Resources — acting as the state's Indirect Source Review Agency under Wisconsin Administrative Code NR 154 — reviewed a worst-case microscale carbon-monoxide analysis and approved the project on November 20, 1975, finding no receptor would exceed 75% of national standards. DNR indicated no significant impact on fish, wildlife, or endangered species; no natural waterways would be crossed; and the State Historical Society found no known archaeological or historic sites would be affected.","[p.132] The proposed freeway project will incorporate approximately 35 acres of land which will be removed from the local tax base. This acquisition amounts to about $2.5 million. | [p.260] The Wisconsin Division of Highways recognizes that the subject Right of Way projects will require the displacement of eleven families and the demolition of at least four residential units. | [p.198] in 1990 at site 15, the Hamlin Garland School, predicted L10 Noise Levels will exceed the established noise level of 70dBA | [p.235] The Draft EIS ignored the fact that approximately 40 residents adjacent to the Airport Spur will experience noise levels above the federal standards. | [p.144] The estimated cost of construction for noise barriers is $350,000. | [p.144] In addition, an air conditioning system will be provided at Hamlin Garland School. The combination of noise barriers and air conditioning will reduce the noise levels inside the school to 45dBA | [p.184] the proposed Airport Spur is entirely within the 100 Composite Noise Rating Contour associated with aircraft operations using Runway 7R which is already generating unsatisfactory noise conditions | [p.193] the impact state presents the quantities of air pollution emissions in Tons/day rather than in lbs. particulate/million (ppm) | [p.206] The emission factors given on page 92 of the statement and used in the calculations on pages 92B and 92C will underrate the emissions from Wisconsin cars because they are based on California cars. | [p.207] air pollution problems along the shoreline of the Great Lakes may be ""greatly magnified by the Lakes"" effects on the transport and diffusion of pollutants.""","132, 260, 198, 235, 144, 184, 193, 206, 207, 250, 285, 216, 51, 106, 160",yes,PASS_WITH_NOTE,high,,
summary.public_response,"Public review included a Location Public Hearing on March 25, 1969 (about 120 attendees) and an Environmental Public Hearing on July 11, 1974 (about 150 attendees, 32 witnesses testifying). Regional and aviation interests — SEWRPC, FAA, AAA, the Milwaukee Air Cargo Association, and the Mitchell Field Director — supported the project, while State Senator Kurt Frank, State Representative John Plewa, private citizens including Robert Szyba ('Citizen's Against Airport Spur'), Wisconsin's Environmental Decade, and the Southeastern Wisconsin Coalition for Clean Air opposed it, chiefly over noise and air-quality effects on Hamlin Garland School and the surrounding neighborhood. The Milwaukee Common Council passed a May 2, 1973 resolution supporting removal of the Spur from the county expressway system, then on October 23, 1973 modified it to oppose construction until the project could handle truck traffic without being environmentally detrimental; the Wisconsin Highway Commission suspended right-of-way acquisition on March 12, 1973 pending the Final EIS. EPA Region V rated the Draft EIS 'LO-1' (no objection). In a countywide advisory referendum on November 5, 1974, voters approved building the Airport Spur 57.8% to 42.2%.","[p.101] Gne hundred twenty persons attended a Location Public Hearing on March 25, 1969. | [p.101] An Environmental Impact Hearing was attended by 150 persons on July 11, 1974. | [p.219] The following individuals presented oral testimony at an Environmental Public Hearing, July 11, 1974 | [p.226] Spokesman for SEWRPC read a prepared statement indicating the Airport Spur is sound, in the public interest, and in accord with the long-range land use and transportation system development plans | [p.226] Spokesman for AAA agreed with SEWRPC findings and was hopeful that the Airport Spur would be constructed as soon as possible | [p.102] Several elected officials and many private citizens testified against the Airport Spur because of the effects of noise and air pollution on Hamlin Garland School and the immediate neighborhood. | [p.15] Citizen's Against Airport Spur, Robert Szyba, 1427 West Goldcrest Avenue, Milwaukee, Wis. 53221 | [p.15] Wisconsin't Environmental Decade, Thomas R. Burney | [p.233] Represented Southeastern Wisconsin Coalition for Clean Air. Read the Department of Natural Resources comments and suggestions of September 11, 1973 on the Draft EIS. | [p.21] City of Milwaukee Common Council resolution, declaring support for the elimination of the Airport Spur from Milwaukee County Expressway System.","101, 219, 226, 102, 15, 233, 21, 188, 239",yes,PASS_WITH_NOTE,high,,
