# doc_id: p1074_35556036464337
# work_id: 1d34f20c-a8e0-4cb3-9887-fdbc1ce50bd5
# title: Kanab/Escalante grazing management : environmental impact statement.
# grade options: correct|minor_issue|wrong|cant_tell
# page numbers are ESTIMATED from char offsets at 2500 chars/page

field,extracted_value,source_pages,critic_verdict,model_confidence,your_grade,your_notes
title,Kanab/Escalante grazing management : environmental impact statement.,NUL,PASS_WITH_NOTE,high,,"The extracted title is plausible and well-formed for an EIS document covering grazing management in the Kanab/Escalante area. However, no cited page text was provided to verify the extraction, and only a single source (NUL) was used. Confidence is medium due to the lack of corroborating text eviden…"
year,2026,"NUL, regex (first 3 pages)",HUMAN_REVIEW,low,,"The extracted year of 2026 is a future date and fails the valid range check, making it an implausible publication year for an EIS. The regex finding of 1980 is more plausible for an EIS document but cannot be confirmed without cited page text. A human reviewer should inspect the source document dir…"
eis_type,Draft,"regex (first page), Sonnet (first 2 pages)",RE_EXTRACT,low,,"The extracted value of 'Draft' is contradicted by the cited evidence phrase '(X) Final Environmental Impact Statement', which clearly indicates a Final EIS. The extractor's own confidence is low and it flags a disagreement between regex and Sonnet. The correct value is almost certainly 'Final', but…"
lead_agency,"[""United States. Bureau of Land Management""]",NUL,PASS,high,,"The single extracted agency, United States. Bureau of Land Management, is cleanly formatted and sourced from NUL with no role text artifacts. Confidence is medium rather than high because no cited title page text was provided to independently corroborate the NUL attribution. The extraction appears …"
summary.project_description,"The Bureau of Land Management's Cedar City District proposes a livestock grazing management program on about 2,567,466 acres of public land across roughly 210 allotments in Kane, Garfield, and Washington Counties, Utah, and Coconino County, Arizona, known as the Kanab/Escalante (K/E) area. The preferred Alternative 5 would apply specific grazing systems on 129 allotments, continuous seasonal management on 60, and eliminate grazing on 21, starting at 68,298 AUMs for livestock and growing to 91,444 AUMs over 24 years. Implementation was scheduled for the March 1981 grazing fee year.","1-51, 97-147, 145-195, 481-503",RE_EXTRACT,high,,"The extraction contains numerous specific figures and claims that are not verifiable from the pulled page text provided. While the project description and alternatives overview are largely supported,…"
summary.affected_community,"The plan area is largely rural, with ranching families in Kane and Garfield Counties who have grazed cattle since the 1870s and whose lifestyles and identities are tied to livestock. About 282 ranch operations (small, medium, and large scale) hold BLM permits, with BLM forage providing roughly 40 percent of their annual feed and most permittees living in towns such as Boulder, Escalante, Kanab, Glendale, Orderville, Panguitch, and Tropic. Agriculture provides under 15 percent of employment and less than 5 percent of personal income, and both counties have seen population declines, while recre…","1-51, 97-147, 145-195, 193-243",RE_EXTRACT,high,,
summary.alternatives_overview,"Six alternatives are analyzed: (1) Continuation of Present Management at 109,708 AUMs of grazing preference; (2) Elimination of Livestock Grazing, allocating all forage to wildlife and wild horses; (3) Multiple Resource Enhancement, sharply reducing grazing to protect watersheds and riparian zones; (4) Adjustment to Grazing Capacity at 68,298 AUMs with limited new developments; (5) the BLM-preferred Rangeland Management Recommendation, growing from 68,298 to 91,444 AUMs through grazing systems, water and fence developments, and vegetation treatments; and (6) Livestock Optimization, reaching a…","1-51, 49-99, 97-147, 145-195",RE_EXTRACT,high,,
summary.environmental_impact,"Inventories show soils, vegetation, and wildlife are mostly in poor to fair condition, with about 38 percent of suitable rangeland in poor forage condition, 12 percent of soils in severe or critical erosion, 44 percent of riparian miles in poor condition, and big-game habitat largely degraded with mule deer numbers down to about 5,539 from 17,044. Continuing present management would worsen forage, soils, and deer habitat, while eliminating grazing would substantially improve riparian areas, soils (211,366 acres of critical erosion improved), water quality, and wildlife but at high cost to ran…","1-51, 49-99, 97-147, 193-243, 241-291, 289-339",RE_EXTRACT,high,,
summary.public_response,"Sixteen scoping meetings (April–November 1979) and public hearings in Kanab and Escalante (June 1980) drew testimony from federal and state agencies, county commissions, ranchers, and conservation groups, with a public comment period extended from 45 to 60 days. Ranchers, the Kane and Garfield County Commissions, and Utah's Governor strongly opposed proposed AUM reductions, citing prior cumulative cuts (up to 68–71 percent for some permittees), unfulfilled BLM commitments to seedings and water developments, drought-skewed inventory data, understated economic impacts, and rejection of grazing …","1-51, 49-99, 97-147, 145-195, 481-503",RE_EXTRACT,high,,
alternatives,"[{""name"": ""Alternative 1 – Continuation of Present Management"", ""description"": ""Present grazing practices (season, level, and kind of management) would continue with a livestock forage allocation remaining at the current grazing preference of 109,708 AUMs. No adjustment to season, level, or kind of management would be made, and no forage allocation to wildlife or wild horses would be established.…",162-231,PASS,high,,"All six alternatives are accurately named, described, and sourced from the cited chapter text. AUM figures, management descriptions, and purposes in the extraction closely match the source language. The absence of a standalone 'No Action' alternative is consistent with the document's structure, whi…"
