# doc_id: p1074_35556036854040
# work_id: 
# title: Crow Indian ceded area, tracts II and III : environmental impact statement.
# pass: reveal
# source: run_manifest.json
# artifact_stage: v1
# grade options: correct|minor_issue|wrong|cant_tell
# REVEAL PASS (MCAL_PLAN 7 Q5). critic_verdict, critic_failure_tag and critic_notes are shown for META-ANALYSIS ONLY. Fill this sheet only after the blind pass is complete. The Critic's notes are in critic_notes; your_notes is yours.
# page numbers are EXACT (from per-page JSON source).
# quote_verified: yes = quote located on the cited page +/-2 (OCR-normalized, mcal/quote_check.py); mixed = partially supported; no = not located.
# your_failure_tag: one tag from the tags[<field>] line below matching this row's field, or blank if your_grade is 'correct'. Leave blank rather than guessing -- an untagged defect is a signal that the taxonomy needs a new code.
# soi_useful (yes|no): fill ONCE, on the summary_of_interest row. Did summary_of_interest tell you something the standard summary.* fields did not? An empty summary_of_interest is a correct result for a routine document, so 'no' on an empty list is not a criticism of the field.
# extracted_value and quote are NOT truncated (MCAL_PLAN 6 acceptance item 4: gradable without opening another file).
# tags[title]: T04_undefined_acronym
# tags[year]: T11_year_ocr_error
# tags[eis_type]: T12_eis_type_confused_with_rod
# tags[lead_agency]: T04_undefined_acronym, T05_commenter_mislabeled_as_cooperator
# tags[summary.overview]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.project_description]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.affected_community]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.alternatives_overview]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.environmental_impact]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.public_response]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary_of_interest]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T17_manufactured_salience, T18_salience_duplicates_summary, T19_scope_qualifier_dropped
# tags[alternatives]: T01_missing_citation, T03_outside_text_fabrication, T04_undefined_acronym, T10_alternatives_chapter_missed
# tags[themes]: T03_outside_text_fabrication, T04_undefined_acronym
# tags[location]: T01_missing_citation, T03_outside_text_fabrication, T04_undefined_acronym, T06_geocode_missing, T07_geocode_wrong_specificity, T08_scope_misclassified_national, T09_multi_site_partial_geocode, T14_regional_scope_underspecified
# tags[key_people]: T01_missing_citation, T03_outside_text_fabrication, T04_undefined_acronym, T05_commenter_mislabeled_as_cooperator, T13_pre_1978_nepa_format, T20_role_bucket_underpopulated

field,extracted_value,quote,source_pages,quote_verified,critic_verdict,critic_failure_tag,critic_notes,model_confidence,your_grade,your_failure_tag,your_notes,soi_useful
title,"Crow Indian ceded area, tracts II and III : environmental impact statement.","[p.1, 2, 3] CROW CEDED AREA COAL LEASE TRACTS II AND III","1, 2, 3",yes,PASS_WITH_NOTE,,"The extracted title uses 'Crow Indian ceded area' while the cover pages consistently read 'CROW CEDED AREA' (without 'Indian'). The summary page (page 3) does use the phrase 'Crow Indian Ceded Area' in the body text, so the wording is present in the document, but the cover page title itself omits 'Indian'. The extracted title is a reasonable catalogue-style rendering and is substantively supported",composite=0.850,,,,
year,1976,"[p.1, 2, 3] Date Made Available to CEQ and Public: AUG 17 1976","1, 2, 3",yes,PASS,,"Year 1976 is confirmed by the date made available to CEQ and public on page 4, and also consistent with the DES number '76-30' on page 1. No higher-priority signature or transmittal date found that would override this. No OCR ambiguity in the year digits.",composite=1.000,,,,
eis_type,Draft,"[p.1, 2, 3] DRAFT ENVIRONMENTAL STATEMENT CROW CEDED AREA COAL LEASE","1, 2, 3",yes,PASS,,,composite=1.000,,,,
lead_agency,"[""Bureau of Indian Affairs""]","[p.1, 2, 3] BUREAU OF INDIAN AFFAIRS DEPARTMENT OF THE INTERIOR","1, 2, 3",yes,PASS,,"Bureau of Indian Affairs is clearly identified as the preparing agency on pages 1 and 2, and confirmed in the summary header on page 3. It is a federal agency within the Department of the Interior. Only one lead agency is listed, so Q8 does not apply.",composite=1.000,,,,
summary.overview,"The U.S. Department of the Interior is reconsidering whether to approve two coal-mining leases between the Crow Tribe and Westmoreland Resources covering about 30,876 acres of strip-mineable coal (Tracts II and III) in the Crow Ceded Area of Big Horn County, Montana, after a January 20, 1976 federal court order in Cady v. Morton required a full environmental impact statement. Over roughly 80 years, about 25,000 acres would be surface-mined to extract approximately 1.2 billion tons of coal, at either a 'low' level of 19 million tons per year shipped by rail or a 'high' level of 26 million tons per year, with a hypothetical mine-mouth coal gasification or power plant as a possible add-on. The primary affected community is the Crow Tribe, which owns the coal and where 39.4% of resident families were below the federal poverty line in 1970, together with non-Indian residents of Hardin, Crow Agency, and Lodge Grass whose water, sewer, and school systems are already at or near capacity. Alternatives considered range from disapproving the leases ('no action') to modifying lease terms, deferring development, substituting other Crow income sources, using a coal slurry pipeline or conveyor instead of rail, and shifting the entrepreneur from Westmoreland to the Tribe itself. Major environmental impacts include destruction of all shallow aquifers above the Robinson coal seam beneath the mined area, loss of about 8,630 acres of ponderosa pine forest and 7,575 animal-unit-months of grazing per year, up to a 13% streamflow reduction where East Fork Sarpy meets Sarpy Creek, and destruction of seven sharp-tailed grouse breeding grounds; public response is mixed, with the Crow Tribe roughly evenly split on coal development while over 80% of surveyed Hardin residents favored the mine and about 80% of surveyed ranching families opposed it.","[p.3, 4, 18, 156, 163, 196, 197, 198, 232, 341, 419, 424, 431, 433] mine at a maximum production rate of 19 million tons annually about 1,200,000,000 tons of coal from Tracts II and III over approximately an 80 year period. The area to be mined encompasses approximately 25,000 acres.","3, 4, 18, 156, 163, 196, 197, 198, 232, 341, 419, 424, 431, 433",yes,HUMAN_REVIEW,T03_outside_text_fabrication,"Two unsupported claims: (1) 'water, sewer, and school systems are already at or near capacity' — the cited pages say municipal services 'will be strained' (future impact, p.3) or 'will be overloaded' (p.435), not that they are currently at or near capacity; (2) 'sharp-tailed grouse breeding grounds' — page 424 says only 'Traditional breeding grounds for grouse (leks) will be lost' without specifyi; gate_reason=critic_verdict; gated_to_human=true",composite=0.400,,,,
summary.project_description,"The Secretary of the Interior, through the Bureau of Indian Affairs' Billings Area Office, is reconsidering approval of two coal leases between the Crow Tribe and Westmoreland Resources covering about 30,876 acres in Tracts II and III of the Crow Ceded Area in Big Horn County, Montana. Approximately 25,000 acres would be strip-mined over roughly 80 years to extract about 1.2 billion tons of coal from the Robinson and Rosebud-McKay seams, using large draglines and hauling the coal via a 36-mile rail spur to the Burlington Northern line near Sanders, Montana for shipment to power plants in Iowa, Wisconsin, and Minnesota. Three activity levels are analyzed: a low case of 19 million tons per year shipped by rail (the lease minimum), a high case of 26 million tons per year by rail, and a combined case adding 6.5 million tons per year to feed a hypothetical adjacent coal gasification or electric power generation plant occupying about 1,000 acres and consuming up to 16,000 acre-feet of water per year piped 40-50 miles from Yellowtail Dam or the Yellowstone River.","[p.3, 18, 24, 25, 48, 49, 79, 431, 462] A 36 mile railroad spur line was built along Sarpy Creek to connect the mine site with the main Burlington Northern line near Sanders, Montana","3, 18, 24, 25, 48, 49, 79, 431, 462",yes,HUMAN_REVIEW,T02_numeric_hallucination,"The extracted value states the low case is '19 million tons per year shipped by rail (the lease minimum)' and the combined case adds '6.5 million tons per year' to rail shipments — implying rail shipments continue at 19 or some other level in the combined case. But page 3 says the combined case is '14 million tons per year for rail transport, plus 6.5 million tons per year for energy conversion' a; gate_reason=critic_verdict; gated_to_human=true",composite=0.650,,,,
summary.affected_community,"The primary affected community is the Crow Tribe of Indians, which owns nearly all of the coal rights on Tracts II and III and holds trust ownership of about 150,000 acres of coal in the Ceded Area, though the surface land in the Ceded Area is outside the present Crow Reservation and is owned largely by non-Indian residents of Big Horn County. The Crow Reservation population is significantly poorer than surrounding populations — 39.4% of resident Crow families were below the federal poverty line in 1970 versus 10.4% statewide, and median Crow on-reservation family income in 1969 was $5,260 versus $8,210 for white families there — and 80% of the Crow Tribe speaks English as a second language. The communities of Hardin (population 2,733 in 1970, about 25 miles from the lease, and the expected focal point of socio-economic impacts), Crow Agency, and Lodge Grass would be most affected: Hardin's population could grow about 60% over five years if Westmoreland's expansion coincides with other Crow coal development, its municipal water and sewer systems are already at or near capacity, and Lodge Grass has already reached the 65-mill constitutional tax limit. About 40% of jobs at the existing Absaloka mine (roughly 50% of direct mining jobs) are held by Crow Indians earning an average of $20,111 annually, and preferential hiring of Indian labor is written into the amended leases.","[p.20, 22, 51, 156, 163, 165, 177, 193, 198, 307] Crow coal rights in the Ceded Area now total just over 150,000 acres","20, 22, 51, 156, 163, 165, 177, 193, 198, 307",yes,HUMAN_REVIEW,T02_numeric_hallucination,"The value claims Hardin's population could grow about 60% over five years 'if Westmoreland's expansion coincides with other Crow coal development.' This specific projection is not supported in the cited pages provided. Also, the claim that Lodge Grass 'has already reached the 65-mill constitutional tax limit' is supported (p. 306 says taxable value and expenditures have caused the present mill lev; gate_reason=critic_verdict; gated_to_human=true",composite=0.400,,,,
summary.alternatives_overview,"Under the January 1976 court order, the Secretary of the Interior must reconsider the leases and may reapprove them, reject them, approve part, or add new conditions. The 'no action' alternative — disapproving the leases — would end Crow coal mining but might simply shift the same environmental impacts to other Western mines supplying the same utilities. Eight categories of alternatives are laid out: disapproving the leases, modifying lease terms or deferring development until land-use controls are in place, approving subject to new regulations, pursuing alternative Crow income sources (agriculture, oil/gas, other minerals, or a federal coal exchange), using different extraction methods, using alternative transportation (a coal slurry pipeline requiring about 700 acre-feet of water per million tons of coal, or a coal conveyor system, rather than rail), applying different reclamation end-uses (grazing, cropland, fish/wildlife habitat, or recreation), and using different entrepreneurship structures (tribal, individual Indian, non-Indian, or cooperative). Within the proposed action itself, the analysis compares a 'low' or 'most probable' level of 19 million tons per year against a 'high' level of 26 million tons per year — the high level would disturb about 573 acres annually versus 392 acres at the low level and would require an additional rail spur and loop from Tract III to a new coal-handling facility on Tract II — and sketches a mine-mouth coal gasification plant (likely using the Lurgi process or the more efficient carbon dioxide (CO2) Acceptor process) as an alternative to shipping the coal.","[p.4, 186, 361, 443, 444, 450, 451, 452] The high level of development would require an additional spur line and loop from Tract III to a new handling facility on Tract II.","4, 186, 361, 443, 444, 450, 451, 452",yes,HUMAN_REVIEW,,"All eight alternative categories match page 4's enumeration. The court-order framing, no-action shift-to-other-mines reasoning, slurry pipeline 700 acre-feet/million tons figure, high vs. low development spur/loop from Tract III to Tract II, and Lurgi/CO2 Acceptor process comparison all verify against cited pages. The acreage figures (573 vs 392) are not directly visible in the excerpted pages but; gate_reason=composite_below_tau; gated_to_human=true",composite=0.750,,,,
summary.environmental_impact,"Strip mining would reshape topography, disrupt soils, vegetation, and wildlife, destroy all shallow aquifers above the Robinson coal seam under about 25,000 acres, and alter surface water quality and quantity, while increasing dust, noise, traffic, and safety hazards. At the low development level, about 392 acres per year would be disturbed at peak production after 1989 (2,744 acres out of use at any one time), rising to 573 acres per year and up to 4,011 acres at the high level. About 8,630 acres of ponderosa pine forest would be removed — with reforestation possibly taking 80-120 years — along with roughly 7,575 animal-unit-months per year of grazing and an estimated $483,000 of cropland income over the life of the mine. Water impacts include up to a 13% reduction in streamflow at the East Fork Sarpy-Sarpy Creek confluence, groundwater declines like the more-than-10-foot declines seen within 1.5 miles of the Decker mine, and irretrievable loss of about 26,000 acre-feet of Madison Formation groundwater. Seven sharp-tailed grouse breeding grounds (leks) representing about 300 birds would be destroyed, and prehistoric archaeological sites on the tracts could be lost unless further surveys identify significant ones. Reclamation must follow the Montana Strip Mining and Reclamation Act, using 23 pounds per acre of pure live seed on regraded spoils no steeper than 1 vertical to 5 horizontal (about 11.5 degrees). If the hypothetical conversion plant is built, additional impacts would include air quality degradation (though modeled short-term sulfur dioxide (SO2) concentrations stay below state and federal standards, a 'worst case' 3-hour plume of about 800 µg/m³ would exceed the Class II allowable increment), commitment of 16,000 acre-feet of water per year, and irreversible fallout of trace elements like mercury, chlorine, and molybdenum onto soils.","[p.3, 32, 33, 232, 235, 337, 341, 348, 361, 419, 424, 433, 434, 439, 441] The maximum ""worst"" case 3-hour SO<sub>2</sub> average concentration using the methodology from Appendix J was computed at abut 800 ug/m<sup>3</sup>. This is safely below the state and federal standards but is above the Class II allowable 3-hour SO<sub>2</sub> increment level.","3, 32, 33, 232, 235, 337, 341, 348, 361, 419, 424, 433, 434, 439, 441",yes,HUMAN_REVIEW,,gate_reason=composite_below_tau; gated_to_human=true,composite=1.000,,,,
summary.public_response,"The Environmental Impact Statement (EIS) itself was triggered by litigation: plaintiffs Bruce M. Cady and others sued Interior Secretary Rogers C. B. Morton, and in the January 20, 1976 U.S. District Court order in Cady v. Morton the court held that Interior's 1972 and 1974 lease approvals were 'major federal actions' requiring a full EIS and enjoined most further mining pending an adequate statement. In August 1974 the Crow Tribe petitioned Interior to set the leases aside, alleging the Bureau of Indian Affairs had failed to exercise its trust responsibilities; the petition was withdrawn 'with prejudice' after negotiations that produced amended leases with higher royalties, a $500,000 bonus, and advance royalties. On January 31, 1976 the Crow Tribal Council adopted four ordinances — a Law and Order Code, a Land Use Zoning Ordinance, an Environmental Health and Sanitation Ordinance with air quality standards comparable to Montana's, and a Crow Tribal Taxation Code levying a 25% license tax on all coal produced on the reservation and Ceded Area — and in September 1975 sued Interior to cancel all coal leases except Westmoreland's (dismissed in January 1976 for failure to join lessees, then refiled). Surveys conducted for the EIS found Crow Tribal members roughly evenly split on coal development and feeling ill-informed and lacking influence, while over 80% of 64 surveyed Hardin residents favored the Sarpy Creek mine and about 80% of nine surveyed ranching families felt mining was incompatible with ranching, citing influx of people, pollution, traffic, blasting, and social disruption.","[p.20, 21, 22, 177, 196, 197, 209, 212, 324, 481, 482] Cady vs. Morton, CV-74-12-BLG","20, 21, 22, 177, 196, 197, 209, 212, 324, 481, 482",yes,HUMAN_REVIEW,T03_outside_text_fabrication,"This field is supposed to capture public/agency comment on the draft EIS and the agency response. Instead, the extraction summarizes background/history from the main text (litigation history, tribal ordinances, attitude surveys) as though it were comment-response material. No comment-response chapter is identified, and the value does not say so explicitly. Additionally, several specific claims dev; gate_reason=critic_verdict; gated_to_human=true",composite=0.400,,,,
