doc_id,uncertainty_score,dominant_predicted_failure_tags
p1074_35556036535615,0.5503,T14_regional_scope_underspecified|T10_alternatives_chapter_missed|T08_scope_misclassified_national
p1074_35556038062691,0.4916,T10_alternatives_chapter_missed|T15_jargon_without_gloss|T09_multi_site_partial_geocode
p1074_35556036522308,0.4783,T10_alternatives_chapter_missed|T13_pre_1978_nepa_format|T15_jargon_without_gloss
p0491_35556036091957,0.4457,T08_scope_misclassified_national|T13_pre_1978_nepa_format|T02_numeric_hallucination
p1074_35556036525772,0.4304,T13_pre_1978_nepa_format|T02_numeric_hallucination|T01_missing_citation
p1074_35556036108041,0.4295,T13_pre_1978_nepa_format|T15_jargon_without_gloss|T09_multi_site_partial_geocode
p1074_35556036543080,0.4295,T13_pre_1978_nepa_format|T15_jargon_without_gloss|T09_multi_site_partial_geocode
p1074_35556036854040,0.4291,T13_pre_1978_nepa_format|T02_numeric_hallucination|T05_commenter_mislabeled_as_cooperator
P0491_35556036854362,0.4268,T13_pre_1978_nepa_format|T09_multi_site_partial_geocode
p1074_35556036796613,0.4204,T08_scope_misclassified_national|T13_pre_1978_nepa_format|T15_jargon_without_gloss
