# doc_id: p1074_35556036105336
# work_id: csv:35556036105336
# title: Randolph urban renewal area : environmental impact statement.
# grade options: correct|minor_issue|wrong|cant_tell
# page numbers are EXACT (from per-page JSON source).
# quote_verified: yes = quote present verbatim on cited page; no = forced HUMAN_REVIEW; mixed = some verified, some not.

field,extracted_value,quote,source_pages,quote_verified,critic_verdict,model_confidence,your_grade,your_notes
title,Randolph urban renewal area : environmental impact statement.,,inventory index (MARC 245$ab),,PASS_WITH_NOTE,high,,"The extracted title is plausible and well-formed, sourced from a MARC bibliographic record field (245$ab), which is a reliable metadata source for document titles. No cited page text was provided to independently verify the title against the document body. Confidence is medium rather than high sole…"
year,1973,,"NUL, regex (first 3 pages)",,PASS_WITH_NOTE,high,,"The extracted year of 1973 is plausible and within range, and both NUL metadata and regex sources reportedly agree. However, no cited page text was provided to independently confirm the value, which prevents full verification. Confidence is downgraded to medium due to the absence of supporting page…"
eis_type,Final,,"regex (first page), Sonnet (first 2 pages)",,PASS_WITH_NOTE,high,,"The extracted value 'Final' is strongly supported by the evidence phrase 'FINAL ENVIRONMENTAL IMPACT STATEMENT,' and both extraction methods agree. However, no cited page text was provided for independent verification of the source document, which prevents full confirmation that the evidence phrase…"
lead_agency,"[""Department of Housing and Urban Development""]",,NUL,,PASS_WITH_NOTE,high,,"The single extracted agency, Department of Housing and Urban Development, appears clean with no role text and is sourced from NUL. However, no cited title pages were provided for independent corroboration, which slightly reduces confidence. A human reviewer may wish to confirm against the document …"
summary.overview,"The Randolph Urban Renewal Project (Project Va. R-58) is a federally assisted urban renewal program in a 380-acre, roughly 98% Black neighborhood in Richmond, Virginia, where the Richmond Redevelopment and Housing Authority proposes to demolish about 1,117 residential buildings, rehabilitate about 1,053 others, relocate approximately 1,814 families and individuals plus 49 businesses, and rebuild housing and infrastructure over an estimated eight years at a gross cost of about $34.7 million. The neighborhood is a lower-income community of about 9,000 residents (mean 1969 family income $7,226 versus $10,620 citywide, 22% at or below poverty) that includes 748 people 65 or older on Social Security and four elementary schools serving 1,567 children. HUD considered three alternatives — no action, a smaller project limited to redevelopment (dropping rehabilitation), or moving the project elsewhere — and rejected all three in favor of the proposed action. The largest adverse environmental impact identified is the adjacent, non-federally funded Downtown Expressway, whose projected 1985 traffic of 56,000 vehicles per day would add thousands of kilograms per day of carbon monoxide, hydrocarbons, and nitrogen oxides to the northern edge of the neighborhood, an impact the EIS calls 'almost impossible to correct or even mitigate,' to be partly buffered by a 15-foot landscaped earth berm along Grayland Avenue; long-term effects on the neighborhood itself are described as beneficial. The plan was developed over about 24 months with the elected 30-member Randolph Planning Study Board and, after early opposition in 1969, was ultimately supported at public hearings and endorsed by the City Planning Commission, the Regional Planning Commission, and most reviewing agencies, though EPA gave a 'LO-2' rating requesting a proper carbon-monoxide dispersion analysis and one Planning Commission member abstained over expressway concerns.","[p.3] The Randolph area encompasses 380 acres of land in a highly urbanized area of Richmond, Virginia. | [p.3] Of the 2,173 residential buildings in the area, containing a total of 3,287 dwelling units, 1,117 structures, or 1,613 dwelling units, will be cleared as a result of project action. | [p.3] In the designated rehabilitation areas, 1,053 residential buildings (i.e. 1,674 dwelling units) and 52 non-residential buildings will be rehabilitated. | [p.50] Over an estimated eight year period a total of 1,814 families and individuals will have to be relocated. | [p.53] Over an 84 month period approximately 49 businesses and 13 non-profit organizations will be relocated. | [p.121] GROSS PROJECT COST (ITEM 1 plus ITEM 2) (line A-1 plus A-7) $ 34,656,27 | [p.48] Of the 9,000 persons living in the Randolph Community 98 percent are black. | [p.48] The mean family income in 1969 was $7,226. | [p.49] This mean family income for the City of Richmond during the same period was $10,620. | [p.49] The Randolph Community has 22 percent at or below poverty level","3, 50, 53, 121, 48, 49, 43, 56, 59, 58, 34, 42, 40, 60, 17, 63, 105",mixed,PASS_WITH_NOTE,high,,"The extraction is broadly accurate and well-supported by the cited pages. Two quotes are explicitly flagged as unverified (quote_verified: false) with no source pages, indicating the extractor itself…"
summary.project_description,"The Randolph Urban Renewal Project (Project Va. R-58) is a federally assisted (HUD Title I) redevelopment and rehabilitation program covering a 380-acre neighborhood in Richmond, Virginia, bounded roughly by Byrd Park, Cary Street, Colorado Avenue, and Riverview Cemetery. Over an estimated seven-to-eight years, the Richmond Redevelopment and Housing Authority would demolish 1,117 residential structures (1,613 dwelling units) and 58 non-residential buildings, rehabilitate 1,053 residential and 52 non-residential buildings, and relocate about 1,814 families and individuals plus roughly 49 businesses and 13 non-profits, aiming to keep about the same residential density but upgrade housing quality. Physical work includes extending and widening streets such as Harrison Street and Grayland Avenue, separating the existing combined sewer into sanitary and storm systems, and placing electric and telephone lines underground within the redevelopment area, with total gross project cost estimated at about $34.7 million and a federal capital grant of about $22.8 million. The renewal area is bordered on the north by the separately built, toll-financed Downtown Expressway, a six-lane controlled-access highway whose noise and air-quality effects the plan is designed to buffer.","[p.3] The Randolph area encompasses 380 acres of land in a highly urbanized area of Richmond, Virginia. | [p.13] Title I of the Housing Act of 1949 (Public Law 81-171), as amended, authorizes Federal Assistance in the elimination of slum conditions and prevention of the spread of urban blight. | [p.105] The Randolph area is generally east of Byrd Park, south of Cary Street, north of Colorado Avenue and west of Riveryew Cemetery. | [p.3] Of the 2,173 residential buildings in the area, containing a total of 3,287 dwelling units, 1,117 structures, or 1,613 dwelling units, will be cleared as a result of project action. | [p.3] In the designated rehabilitation areas, 1,053 residential buildings (i.e. 1,674 dwelling units) and 52 non-residential buildings will be rehabilitated. | [p.3] It is the intent of the project to maintain the same approximate residential density that now exists in Randolph but to substantially upgrade the quality of housing and eliminate blight from the area. | [p.50] Over an estimated eight year period a total of 1,814 families and individuals will have to be relocated. | [p.53] Over an 84 month period approximately 49 businesses and 13 non-profit organizations will be relocated. | [p.107] Reconstruction and extension of Harrison Street south to Colorado Avenue. | [p.108] As part of the project improvements it is proposed that a separate sewage collection system be constructed with the existing sewer system then being utilized for storm drainage purposes only.","3, 13, 105, 50, 53, 107, 108, 110, 121, 122, 32, 66",yes,PASS_WITH_NOTE,high,,
summary.affected_community,"Randolph is a predominantly Black lower-income neighborhood in Richmond's West End, home to about 9,000 people, 98% of whom are Black, with 1,086 homeowners, 1,679 renters, and 183 roomers or boarders; at the time of a full survey only three white families lived in the area. Mean 1969 family income was $7,226 versus $10,620 citywide (and only $5,939 in census tract 413), 22% of Randolph families were at or below poverty (27.8% in tract 413), 12% received public assistance, and 748 people 65 or older received Social Security. Despite 63% of residents being renters, 58% had lived at the same address for the previous five years. Those to be relocated include 141 elderly families, 981 elderly individuals, and 37 families of 8 or more people; the neighborhood also contains four elementary schools (Randolph, Clark-Springs, Amelia-Maymont, and West End) serving 1,567 K–5 children, churches, and the Virginia Home for the Incurables. Adjacent communities are the largely white, low-income Oregon Hill to the east and the Black, single-family Maymont community (about 2,000 residents) to the south and west.","[p.48] Of the 9,000 persons living in the Randolph Community 98 percent are black. | [p.48] There are 1,086 homeowners, 1,679 renters, and 183 roomers or boarders. | [p.51] The majority off the persons to be displaced by the Randolph Urban Renewal Program are black. At the time of the 100 percent survey three white families resided within the area. | [p.48] The mean family income in 1969 was $7,226. | [p.49] This mean family income for the City of Richmond during the same period was $10,620. | [p.49] census tract 413 exhibited a mean family income of $5,939. This mean family income for the City of Richmond during the same period was $10,620. | [p.49] 27.8 percent of the families in census tract 413 were below poverty level, area 414 had 17 percent below poverty level. | [p.49] The Randolph Community has 22 percent at or below poverty level, and 237 families or 12 percent with public assistance or public welfare income. | [p.49] Included in these computations are 748 persons 65 years or older receiving Social Security income. | [p.49] Although the Randolph Community is composed of 63 percent renters and 37 percent homeowners, it has long and stable residential roots.","48, 51, 49, 43, 13, 14",yes,PASS_WITH_NOTE,high,,
summary.alternatives_overview,"HUD considered three alternatives to the proposed action: (1) 'no action' — leave Randolph as is, which HUD says would waste the two years of citizen planning and allow continued deterioration while the Downtown Expressway is built anyway; (2) reduce the project's size by dropping the rehabilitation portion and treating only the redevelopment area (about two-thirds smaller), which HUD rejects because 'borderline' areas would become new sources of blight; and (3) relocate the project to another Richmond neighborhood, which HUD says would let Randolph's blight spread across all 380 acres and 12,000 residents. HUD concludes 'the balance appears obviously to be in favor of the proposed action.' Within the chosen plan, alternative design choices considered include a mix of rehabilitation in 'conservation areas' with redevelopment in blighted areas, a variety of housing types (townhouses, garden apartments, single-family homes) for low- and moderate-income families, scattered-site public housing rather than one or two large complexes, and an alternative street alignment extending a new street through vacant cemetery land to divert non-community traffic around Randolph.","[p.56] 1. ""No Action"" could be taken, 2. The type and size of the project could be reduced, or 3. The location of the project could be moved. | [p.56] No action could be taken with the Randolph project. With a no action solution the several million dollars of scheduled funds could be used in other areas. | [p.56] Elimination of rehabilitation areas would reduce the size of the project by approximately two-thirds and eliminate the need for rehabilitation loans and services. | [p.57] Many ""borderline"" areas would become breeding areas of blight. Total eradication of blighting influences could not be attained. | [p.57] Relocation of the project would defeat any attempts to eliminate the blight and blighting influences in Randolph. | [p.57] Bounded by distinct borders it is safe to assume that the deterioration would encompass all 380 acres and affect 12,000 inhabitants of the Randolph area. | [p.59] The balance appears obviously to be in favor of the proposed action. | [p.97] encourage voluntary participation in rehabilitation and maintenance programs through financial assistance and professional guidance for property owners within designated conservation areas in the Randolph Urban Renewal Area. | [p.98] a variety of housing types for ownership and rental opportunities to include: townhouse ownership and apartments, garden type apartments, and single family detached housing for low and moderate income families on approximately a one to one basis with the density of Randolph existing prior to… | [p.99] To provide public housing opportunities throughout the community in small clusters, scattered sites or leased housing, rather than one or two large housing complexes in the area.","56, 57, 59, 97, 98, 99, 103",yes,PASS_WITH_NOTE,high,,
summary.environmental_impact,"Short-term adverse impacts during multi-year construction include dust, noise, erosion, traffic disruption, partially demolished structures, temporary loss of street trees and recreation areas, and the temporary (and in a few cases permanent) relocation of residents. The largest ongoing adverse impact is attributed to the adjacent Downtown Expressway (not federally funded), whose projected 1985 traffic of about 56,000 vehicles per day would add roughly 5,176.6 kg/day of carbon monoxide, 766.6 kg/day of hydrocarbons, and 858.5 kg/day of nitrogen oxides — an impact described as 'almost impossible to correct or even mitigate' — on top of existing air that already exceeds the National Ambient Air Quality Standard for suspended particulates (88 µg/m³ quarterly mean versus a 75 µg/m³ annual standard). To meet HUD interior-noise criteria (no more than 45 dBA in sleeping quarters for 8 hours in 24) and exterior levels, consultants Bolt, Beranek and Newman recommend a 15-foot landscaped earth berm along Grayland Avenue (a 10-foot barrier was much less effective, a 20-foot only marginally better) plus building orientation, air conditioning, fixed glazing, and solid-core doors; predicted noise curves at sampled locations remained in the 'Normally Acceptable' range and did not cross the 'Unacceptable' line (75 dBA for more than 8 hours). The State Water Control Board concluded the project would not create additional water pollution problems if separate sanitary and storm sewers are installed to the fullest extent feasible. The Virginia Historic Landmarks Commission found most demolition-zone structures to have 'little redeeming architectural value' but flagged the 200–400 blocks of Randolph Street, the 400–500 blocks of Harrison, the Italianate Randolph School, and the frame Queen Anne RCAP Center as possibly worth conservation. Long-term effects on the neighborhood itself are described as beneficial: replacement of blight and substandard housing, improved utilities, and reduced noise/visual impact from the expressway.","[p.4] the environmental disturbance normally associated with construction, such as increased dust, noise, traffic disruption | [p.4] Temporary, and in a few cases, permanent, relocation of residents who live in the redevelopment areas during the construction of new residential units | [p.58] The largest adverse environmental impact with result from the Downtown Expressway. Increased numbers of automobiles and trucks moving through the northern edge of the project area will result in higher concentrations of air and noise pollution. | [p.34] The 1985 average traffic volume for the arterial is projected at 56,000 vehicles, with a design hour volume of approximately 5,200 vehicles (two-way). | [p.42] Carbon monoxide 5176.6 kg/day | [p.42] An impact of this nature is almost impossible to correct or even mitigate. | [p.18] it was found that the general area had undergone a range of measurement levels from 76-113 ug/m³, for a quarterly geometric mean of 88 ug/m³. This compares unfavorably with the National Ambient Air Quality Standard which calls for an annual geometric mean of 75 ug/m³ for Suspended Particulat… | [p.36] Standards for interior noise exposure state that for sleeping quarters noise levels should not exceed 45 dBA for more than 8 hours in a 24-hour period. | [p.37] A 20-foot barrier proved quite effective in reducing noise levels, particularly in areas where the barrier extended for a full block without interruption. | [p.85] the 10-foot high barrier map indicates that the effectiveness of the barrier has been greatly reduced by reducing the height even 5 feet.","4, 58, 34, 42, 18, 36, 37, 85, 40, 115, 106, 119, 60, 61",yes,PASS_WITH_NOTE,high,,
summary.public_response,"Citizen involvement was extensive and organized through the elected 30-member Randolph Planning Study Board (RPSB), which grew out of earlier neighborhood groups formed in 1969 and worked with the Richmond Redevelopment and Housing Authority for 24 months to develop the plan. Early resident reaction was hostile — at a February 23, 1969 meeting at Sixth Baptist Church 'there was strong community opposition' — but by a November 19, 1972 public meeting the community voted to accept the plan, and a later Amelia School hearing drew more than 300 people, most in favor; residents' main questions concerned relocation payments. The Regional Planning Commission unanimously approved the plan on January 27, 1972, and the City Planning Commission recommended approval on December 5, 1972, with member Mrs. Douglas C. Burke abstaining over concerns about the Downtown Expressway. Of 14 federal, state, and local agencies asked to comment on the draft EIS, nine responded; the Richmond City Council, City Manager, Virginia Department of Health, Virginia Department of Highways, FAA, and HEW supported or did not object, while EPA gave a 'LO-2' rating — no objection but requesting a proper carbon-monoxide dispersion analysis for the Downtown Expressway — and the Federal Highway Administration objected that the EIS improperly attributed adverse impacts of the non-federal expressway to the Randolph project, an objection HUD rejected.","[UNVERIFIED] thirty persons, five representatives from each of the six districts, were elected in a community vote in the Randolph area. The thirty member body was recognized as the project area committee and adopted the name Randolph Planning Study Board (RPSB). | [p.17] After 24 months of effort to incorporate community goals and objectives into the proposed action plans the R.P.S.B. adopted the Randolph Plan. | [p.101] On February 23, 1969, a public meeting was held at the Sixth Baptist Church in Randolph to present the results of the structural survey which had been completed. There was strong community opposition voiced toward the program. | [p.17] On November 19, 1972, at a public meeting in Randolph held by the City of Richmond's Department of Planning and Community Development the citizens of Randolph voted to accept the Plan | [p.105] More than 300 persons attended a recent public hearing held at Amelia School by the City Planning Commission and most of them indicated that the general redevelopment plan should be approved. | [p.105] Most of the questions asked by residents of the area concerned relocation payments | [p.17] The Plan was presented to the Regional Planning Commission on January 27, 1972, at which time it was unanimously approved. | [p.17] On December 5, 1972, the City Planning Commission recommended approval of a new master plan incorporating the Randolph Plan for the Randolph area of the city. | [p.105] Mrs. Douglas C. Burke, a commission member, abstained in the voting yesterday, saying that she is concerned over the possible impact on the area of the proposed Downtown Expressway. | [p.5] 7. Comments have been received from: a. Department of Health, Education and Welfare b. Department of Transportation FHWA c. Department of Transportation FAA d. Virginia Department of Highways e. Environmental Protection Agency f. City of Richmond g. Randolph Planning Study Board h. Richmond R…","17, 101, 105, 5, 54, 63, 70, 72",mixed,PASS_WITH_NOTE,high,,
