# doc_id: p1074_35556036105336
# work_id: csv:35556036105336
# title: Randolph urban renewal area : environmental impact statement.
# grade options: correct|minor_issue|wrong|cant_tell
# page numbers are EXACT (from per-page JSON source).
# quote_verified: yes = quote present verbatim on cited page; no = forced HUMAN_REVIEW; mixed = some verified, some not.

field,extracted_value,quote,source_pages,quote_verified,critic_verdict,model_confidence,your_grade,your_notes
title,Randolph urban renewal area : environmental impact statement.,,NUL,,PASS_WITH_NOTE,high,,"The extracted title 'Randolph urban renewal area : environmental impact statement.' is plausible and well-formed for an EIS document. However, no cited page text was provided to verify the extraction, and only a single source (NUL) was used. Confidence is medium due to the absence of corroborating …"
year,1973,,"NUL, regex (first 3 pages)",,PASS_WITH_NOTE,high,,"The extracted year of 1973 is plausible and falls within the valid range, with both NUL metadata and regex sources in agreement. However, no cited page text was provided, making independent verification of the on-page evidence impossible. Confidence is reduced to medium due to the absence of suppor…"
eis_type,Final,,"regex (first page), Sonnet (first 2 pages)",,PASS_WITH_NOTE,high,,"The extracted value 'Final' is well-supported by the evidence phrase 'FINAL ENVIRONMENTAL IMPACT STATEMENT,' and both extraction methods agree. However, no cited page text was provided for independent verification, which prevents full confirmation of the source material. Confidence is downgraded to…"
lead_agency,"[""Department of Housing and Urban Development""]",,NUL,,PASS,high,,"A single lead agency, Department of Housing and Urban Development, is extracted and sourced from NUL with no role text present. Confidence is medium rather than high because no cited title pages were provided to independently corroborate the NUL attribution. The extraction appears clean and well-fo…"
summary.overview,"The Randolph Urban Renewal Project (Va. R-58) is a Title I redevelopment and conservation effort covering approximately 380 acres in a predominantly Black, lower-income neighborhood of Richmond, Virginia, where 1,117 residential and 58 non-residential buildings will be cleared and over 1,000 others rehabilitated. The community of about 9,000 residents (98% Black) faces high poverty rates yet has stable, long-term residency. Three alternatives were considered—no action, reducing the type/size of the project, or relocating it elsewhere—all rejected as ineffective at eliminating blight. Adverse impacts include construction-related dust, noise, and traffic disruption, relocation of approximately 1,814 families, and air and noise pollution from the adjacent Downtown Expressway, partially mitigated by berms, acoustically treated windows, and air-quality monitoring. Citizen participation through the Randolph Planning Study Board was extensive, residents voted to accept the Plan in November 1972, and most reviewing agencies endorsed the project.","[p.13] The Randolph Urban Renewal Area, Project Number Va. R-58, a Title I project, is located in Richmond, Virginia | [p.3] The Randolph area encompasses 380 acres of land in a highly urbanized area of Richmond, Virginia. | [p.3] Of the 2,173 residential buildings in the area, containing a total of 3,287 dwelling units, 1,117 structures, or 1,613 dwelling units, will be cleared as a result of project action. | [p.48] Of the 9,000 persons living in the Randolph Community 98 percent are black. | [p.49] The Randolph Community has 22 percent at or below poverty level | [p.49] Although the Randolph Community is composed of 63 percent renters and 37 percent homeowners, it has long and stable residential roots. | [p.56] A thorough consideration of all of the alternatives available to the proposed Randolph project can be defined in the following categories; 1. ""No Action"" could be taken, 2. The type and size of the project could be reduced, or 3. The location of the project could be moved. | [p.4] the environmental disturbance normally associated with construction, such as increased dust, noise, traffic disruption | [p.53] Over an 84 month period approximately 49 businesses and 13 non-profit organizations will be relocated. | [p.58] The largest adverse environmental impact with result from the Downtown Expressway. Increased numbers of automobiles and trucks moving through the northern edge of the project area will result in higher concentrations of air and noise pollution.","13, 3, 48, 49, 56, 4, 53, 58, 61, 17",yes,PASS,high,,"The extraction is well-supported across all fields. Quotes are verbatim, numbers and dates are accurate, and no hallucinated content was identified. The summary accurately synthesizes the EIS content…"
summary.project_description,"The Randolph Urban Renewal Project (Va. R-58) is a Title I redevelopment and conservation effort covering approximately 380 acres in Richmond, Virginia, divided into redevelopment, rehabilitation, and mixed sub-areas. Of 2,290 principal structures, 1,117 residential buildings (1,613 dwelling units) and 58 non-residential buildings will be cleared, while others will be rehabilitated, maintaining approximate existing residential density. The eight-year program, with gross project cost of approximately $34.6 million, includes new HUD-FHA subsidized housing, separate sanitary/storm sewers, water and gas main modifications, underground utilities in redevelopment areas, and reconstruction/extension of Harrison Street.","[p.13] The Randolph Urban Renewal Area, Project Number Va. R-58, a Title I project, is located in Richmond, Virginia | [p.3] The Randolph area encompasses 380 acres of land in a highly urbanized area of Richmond, Virginia. | [p.56] Basically the Randolph area is composed of three distinct sections; one section to be entirely redeveloped, one section to be completely rehabilitated (with the possibility of spot clearance), and the last section to be treated by a combination of redevelopment and rehabilitation. | [p.3] Of the 2,173 residential buildings in the area, containing a total of 3,287 dwelling units, 1,117 structures, or 1,613 dwelling units, will be cleared as a result of project action. | [p.3] It is the intent of the project to maintain the same approximate residential density that now exists in Randolph but to substantially upgrade the quality of housing and eliminate blight from the area. | [p.50] Over an estimated eight year period a total of 1,814 families and individuals will have to be relocated. | [p.121] GROSS PROJECT COST (ITEM 1 plus ITEM 2) (line A-1 plus A-7) $ 34,656,27 | [p.107] Reconstruction and extension of Harrison Street south to Colorado Avenue. | [p.108] As part of the project improvements it is proposed that a separate sewage collection system be constructed with the existing sewer system then being utilized for storm drainage purposes only. | [p.110] Within the Redevelopment Area electric distribution facilities shall be placed underground.","13, 3, 56, 50, 121, 107, 108, 110",yes,PASS,high,,
summary.affected_community,"The Randolph Community is a predominantly Black neighborhood of about 9,000 residents (98% Black) in Richmond's West End, bordered by Byrd Park, Hollywood Cemetery, and Riverview Cemetery. The neighborhood is lower-income, with a 1969 mean family income of $7,226 and 22% of families at or below poverty level, and in census tract 413 mean family income was $5,939 versus $10,620 citywide. It comprises 1,086 homeowners, 1,679 renters, and 183 roomers, and despite being mostly renters has long and stable residential roots. There are no health clinics or library within the community, though four schools serve the area.","[p.48] Of the 9,000 persons living in the Randolph Community 98 percent are black. | [p.105] The Randolph area is generally east of Byrd Park, south of Cary Street, north of Colorado Avenue and west of Riveryew Cemetery. | [p.48] The mean family income in 1969 was $7,226. | [p.49] The Randolph Community has 22 percent at or below poverty level | [p.49] census tract 413 exhibited a mean family income of $5,939. This mean family income for the City of Richmond during the same period was $10,620. | [p.48] There are 1,086 homeowners, 1,679 renters, and 183 roomers or boarders. | [p.49] Although the Randolph Community is composed of 63 percent renters and 37 percent homeowners, it has long and stable residential roots. | [p.44] There are no public or private health clinics or private doctors offices located in the Randolph Community. | [p.45] No library is located within the Randolph Community. | [p.43] The four schools located within the Randolph Community are: Randolph School, Clark-Springs Elementary, Amelia-Marymont Elementary, and the West End Elementary.","48, 105, 49, 44, 45, 43",yes,PASS,high,,
summary.alternatives_overview,"Three alternatives were considered: no action, reducing the type and size of the project (e.g., eliminating rehabilitation areas), and relocating the project to another site. All were rejected because they would fail to eliminate blight and would undermine citizen participation. Within the chosen plan, detailed alternatives included closing streets and revising the grid to route through-traffic around the community, extending a street through unused cemetery land, and providing scattered-site public housing in small clusters rather than large complexes.","[p.56] A thorough consideration of all of the alternatives available to the proposed Randolph project can be defined in the following categories; 1. ""No Action"" could be taken, 2. The type and size of the project could be reduced, or 3. The location of the project could be moved. | [p.56] Elimination of rehabilitation areas would reduce the size of the project by approximately two-thirds and eliminate the need for rehabilitation loans and services. | [p.57] Relocation of the project would defeat any attempts to eliminate the blight and blighting influences in Randolph. | [p.56] A continuation of the ""no action"" policy can therefore be expected to result in considerable citizen reaction. | [p.103] Detailed planning proposed closing some streets, changing the current grid system for streets, and revising traffic patterns to route heavy traffic around rather than through the community. | [p.103] The proposal was to extend a street through the vacant cemetery land to connect to another street to allow non-community traffic to by-pass the community. | [p.99] To provide public housing opportunities throughout the community in small clusters, scattered sites or leased housing, rather than one or two large housing complexes in the area.","56, 57, 103, 99",yes,PASS,high,,
summary.environmental_impact,"Beneficial impacts include replacement of blight and substandard housing, elimination of environmental deficiencies, and improved infrastructure. Adverse short-term impacts include construction-related dust, noise, and traffic disruption, plus relocation of approximately 1,814 families and 49 businesses. The largest adverse impact stems from the adjacent Downtown Expressway, which will increase air and noise pollution, contributing roughly 5,176.6 kg/day of carbon monoxide; existing suspended particulate levels (88 ug/m³ quarterly geometric mean) already exceed the National Ambient Air Quality Standard of 75 ug/m³. Mitigation measures include 15-foot landscaped berms/walls, acoustically treated windows and doors, and ongoing air-quality monitoring; the State Water Control Board found no additional water pollution problems would result if separate sanitary and storm sewers are provided, and noise analyses found all sampled locations to be Normally Acceptable.","[p.3] The replacement of blight and substandard housing with | [p.4] Elimination of environmental deficiencies impacting the area. | [p.58] Construction within redevelpment area and the resulting dust, noise, increased traffic, and other associated construction aspects. | [p.53] Over an 84 month period approximately 49 businesses and 13 non-profit organizations will be relocated. | [p.58] The largest adverse environmental impact with result from the Downtown Expressway. Increased numbers of automobiles and trucks moving through the northern edge of the project area will result in higher concentrations of air and noise pollution. | [p.42] Carbon monoxide 5176.6 kg/day | [p.18] it was found that the general area had undergone a range of measurement levels from 76-113 ug/m³, for a quarterly geometric mean of 88 ug/m³ | [p.18] This compares unfavorably with the National Ambient Air Quality Standard which calls for an annual geometric mean of 75 ug/m³ for Suspended Particulate matter. | [p.94] The Richmond Redevelopment and Housing Authority and the Department of Housing and Urban Development will monitor air quality conditions in the proposed project area noting any significant changes resulting from increased traffic in and through the project area. | [p.106] The staff is of the opinion that the redevelopment project .proposed will not create any additional water pollution problems if separate sanitary and storm sewers are provided to the fullest extent feasible.","3, 4, 58, 53, 42, 18, 94, 106, 115",yes,PASS,high,,
summary.public_response,"Citizen participation was extensive through the Randolph Planning Study Board (RPSB), which worked with the Richmond Redevelopment and Housing Authority over 24 months, after early opposition tied to the planned Downtown Expressway. At a public meeting on November 19, 1972, residents voted to accept the Plan, and the Regional Planning Commission unanimously approved it, congratulating RPSB on citizen participation. The Virginia State Health Department, Richmond City Council, and most reviewing agencies endorsed the project, while EPA expressed no objection but requested more air-quality analysis, and the Federal Highway Administration objected that the EIS overemphasized adverse impacts of the Downtown Expressway.","[p.17] After 24 months of effort to incorporate community goals and objectives into the proposed action plans the R.P.S.B. adopted the Randolph Plan. | [p.101] Residents of the area were violently opposed to the planned expressway and were relating the surveys by the Redevelopment and Housing Authority with the proposed expressway | [p.17] On November 19, 1972, at a public meeting in Randolph held by the City of Richmond's Department of Planning and Community Development the citizens of Randolph voted to accept the Plan | [p.17] The Plan was presented to the Regional Planning Commission on January 27, 1972, at which time it was unanimously approved. | [p.17] The Commission took this opportunity to congratulate the R.P.S.B. on the excellent plan for which the citizen participation process was greatly responsible. | [p.90] The Virginia State Health Department is therefore pleased to endorse the Randolph Urban Renewal Project and recommends that it be approved. | [p.54] The Richmond City Council has accepted the need and desirability of the Randolph Conservation and Redevelopment Program | [p.63] Based on the information provided, we are inclined to give our support to the project. | [p.71] In summary, we feel that the EIS assumes a negative impact from the long planned Expressway and then proceeds from that premise. The EIS should be developed in a more impartial manner.","17, 101, 90, 54, 63, 71",yes,PASS,high,,
