# doc_id: p0491_35556036091957
# work_id: csv:35556036091957
# title: Off-road vehicles on public lands, implementation of Executive Order 11644 : environmental impact statement.
# n_commenters: 236
# n_complaints: 273
# n_responses: 22
# grade options: correct|minor_issue|wrong|cant_tell
# stance vocab: in_favor|opposed|conditional|neutral
# kind vocab: individual|official|organization|agency|tribe|government|other
# response_pages: resolved by searching source per-page JSON for the response opening_anchor; '?' means anchor did not match any page.

complainer_id,entity,kind,role,stance,stance_confidence,comment_pages_from,comment_pages_to,comment_pages_all,n_complaints,responded,response_ids,response_pages,response_agency,needs_human_review,human_review_reasons,your_grade,your_notes
p0491_35556036091957_K025,Office of Management and Budget,agency,Federal agency reviewer of draft ORV regulations,neutral,medium,9,9,9,1,N,,,,no,,,
p0491_35556036091957_K014,"Department of Transportation, Assistant Secretary for Environment and Urban Systems",official,Federal agency reviewer,conditional,medium,20,20,20,2,N,,,,yes,quote_not_verbatim,,
p0491_35556036091957_K006,Bureau of Land Management - Director,official,Interior bureau reviewer,conditional,medium,21,21,21,2,N,,,,yes,quote_not_verbatim,,
p0491_35556036091957_K008,"Bureau of Reclamation, Acting Commissioner",official,Interior bureau reviewer,neutral,medium,21,31,"21,31",2,N,,,,yes,quote_not_verbatim,,
p0491_35556036091957_K016,"Federal Communications Commission, Chairman",official,Federal agency reviewer,conditional,medium,21,31,"21,31",2,N,,,,yes,quote_not_verbatim,,
p0491_35556036091957_K029,"Tennessee Valley Authority, Director of Environmental Research and Development",official,Federal agency reviewer,in_favor,medium,21,31,"21,31",2,N,,,,yes,quote_not_verbatim,,
p0491_35556036091957_K005,"Bureau of Indian Affairs, Director, Office of Planning",official,Interior bureau reviewer,in_favor,medium,22,32,"22,32",2,N,,,,yes,quote_not_verbatim,,
p0491_35556036091957_K017,"Geological Survey, Acting Director",official,Interior bureau reviewer,neutral,medium,22,32,"22,32",2,N,,,,yes,quote_not_verbatim,,
p0491_35556036091957_K012,"Department of Defense, Deputy Assistant Secretary of Defense (Environmental Quality)",official,Federal agency reviewer,in_favor,medium,23,23,23,2,N,,,,no,,,
p0491_35556036091957_K013,"Department of Health, Education, and Welfare, Assistant Secretary for Health and Scientific Affairs",official,Federal agency reviewer,opposed,medium,23,33,"23,33",2,N,,,,no,,,
p0491_35556036091957_K009,"Bureau of Sport Fisheries and Wildlife, Acting Deputy Director",official,Interior bureau reviewer,conditional,medium,24,24,24,2,Y,p0491_35556036091957_R001,33,other,no,,,
p0491_35556036091957_K028,"State of Wyoming, Executive Department",government,State government commenter,neutral,low,26,26,26,1,N,,,,yes,low_stance_confidence,,
p0491_35556036091957_K011,"Department of Commerce, Deputy Assistant Secretary for Environmental Affairs",official,Federal agency reviewer,conditional,medium,28,35,"28,35",2,Y,p0491_35556036091957_R003,33,Department of the Interior,no,,,
p0491_35556036091957_K015,"Environmental Protection Agency, Office of Federal Activities",agency,Federal agency reviewer,conditional,medium,29,29,29,1,Y,p0491_35556036091957_R002,34,Department of the Interior,no,,,
p0491_35556036091957_K024,"National Park Service, Assistant Director, Cooperative Services",official,Interior bureau reviewer,conditional,medium,30,39,"30,36,37,39",3,Y,p0491_35556036091957_R004;p0491_35556036091957_R015,39;39,Department of the Interior,no,,,
p0491_35556036091957_K002,American Mining Congress,organization,"national trade association, commenter",opposed,medium,38,38,38,1,Y,p0491_35556036091957_R005,33,Department of the Interior,no,,,
p0491_35556036091957_K004,American Petroleum Institute,organization,Mining/petroleum industry commenter,opposed,medium,38,38,38,1,Y,p0491_35556036091957_R006,33,Department of the Interior,no,,,
p0491_35556036091957_K001,"Amax Exploration, Inc.",organization,"mineral exploration company, commenter",opposed,medium,39,39,39,1,Y,p0491_35556036091957_R007,33,Department of the Interior,no,,,
p0491_35556036091957_K010,Colorado Mining Association,organization,"mining industry association, commenter",opposed,medium,39,39,39,1,Y,p0491_35556036091957_R008,33,Department of the Interior,no,,,
p0491_35556036091957_K018,International Association of Geophysical Contractors,organization,Mining/geophysical industry commenter,conditional,medium,39,39,39,2,Y,p0491_35556036091957_R009,33,Department of the Interior,no,,,
p0491_35556036091957_K019,"Messrs. Brady, Bishop, Dickenson, and Kantor",individual,"Mineral exploration geologists, commenters",conditional,medium,39,39,39,1,Y,p0491_35556036091957_R010,33,Department of the Interior,yes,private_individual;quote_not_verbatim,,
p0491_35556036091957_K020,"Messrs. R. C. Barkley and R. C. Moores, II, District Geologists, Continental Oil Company",individual,"District geologists, commenter",opposed,medium,39,39,39,1,Y,p0491_35556036091957_R011,33,Department of the Interior,yes,private_individual;quote_not_verbatim,,
p0491_35556036091957_K021,"Mine Finders, Inc.",organization,"mineral exploration company, commenter",conditional,medium,39,39,39,1,Y,p0491_35556036091957_R012,33,Department of the Interior,no,,,
p0491_35556036091957_K022,Mining Association of Southern California,organization,"industry association, commenter",opposed,medium,39,39,39,1,Y,p0491_35556036091957_R013,33,Department of the Interior,no,,,
p0491_35556036091957_K023,"Mr. J. M. Reynolds, Member of Governor's Mining Adversary Board, State of Nevada",individual,"State mining board member, commenter",conditional,medium,39,39,39,1,Y,p0491_35556036091957_R014,33,Department of the Interior,yes,private_individual;quote_not_verbatim,,
p0491_35556036091957_K026,"Phelps Dodge Corporation, Western Exploration Office, Arizona",organization,Mining industry commenter,opposed,medium,39,39,39,1,Y,p0491_35556036091957_R016,33,Department of the Interior,yes,quote_not_verbatim,,
p0491_35556036091957_K027,Society of Exploration Geophysicists,organization,"professional society, commenter on draft EIS",conditional,medium,39,39,39,1,Y,p0491_35556036091957_R017,33,Department of the Interior,no,,,
p0491_35556036091957_K030,Texas Gulf Sulphur,organization,Mining industry commenter,conditional,medium,39,39,39,1,Y,p0491_35556036091957_R018,33,Department of the Interior,yes,quote_not_verbatim,,
p0491_35556036091957_K031,AMA-Motorcycle Industry Council Combined Committee on Land Use,organization,commenter on draft EIS,conditional,high,49,49,49,1,N,,,,no,,,
p0491_35556036091957_K037,Ed Youngblood,individual,"Associate Director, American Motorcycle Association",conditional,high,49,49,49,1,N,,,,yes,private_individual,,
p0491_35556036091957_K035,Comer S. Connie,official,"Special Assistant to the Mayor-Commissioner, Government of the District of Columbia",in_favor,high,52,52,52,1,N,,,,no,,,
p0491_35556036091957_K041,Government of the District of Columbia,government,State Clearinghouse reviewer,in_favor,high,52,52,52,1,N,,,,no,,,
p0491_35556036091957_K033,"California Outdoor Recreation League, Inc.",organization,commenter on draft EIS,opposed,high,55,55,55,1,N,,,,no,,,
p0491_35556036091957_K043,Hildamae Voght,individual,"Executive Secretary, California Outdoor Recreation League, Inc.",conditional,high,55,55,55,1,N,,,,yes,private_individual,,
p0491_35556036091957_K040,Gilbert C. Lagasse,official,"Director, State Parks and Recreation Commission, Louisiana",in_favor,high,56,56,56,1,N,,,,no,,,
p0491_35556036091957_K056,"State Parks and Recreation Commission, Baton Rouge, Louisiana",agency,state agency commenter,conditional,high,56,56,56,1,N,,,,no,,,
p0491_35556036091957_K054,Scott M. Bahley,individual,"commenter, Midland Michigan",conditional,medium,57,57,57,1,N,,,,yes,private_individual,,
p0491_35556036091957_K044,International Snowmobile Industry Association,organization,commenter on draft EIS,conditional,high,59,69,"59,60,61,62,63,64,65,66,67,68,69",1,N,,,,no,,,
p0491_35556036091957_K046,J. Gordon Arbuckle,individual,"Counsel, Patton, Boggs, Blow, Verrill, Brand & May, representing International Snowmobile Industry Association",conditional,high,64,74,"64,65,66,67,68,69,70,71,72,73,74",1,N,,,,yes,private_individual,,
p0491_35556036091957_K049,"Patton, Boggs, Blow, Verrill, Brand & May",organization,legal counsel for International Snowmobile Industry Association,conditional,high,68,68,68,1,N,,,,yes,quote_not_verbatim,,
p0491_35556036091957_K032,"Arctic Enterprises, Inc.",organization,"snowmobile manufacturer, commenter on draft EIS",conditional,high,75,75,75,1,N,,,,no,,,
p0491_35556036091957_K053,Roger P. Worth,individual,"Legal Counsel, Arctic Enterprises, Inc.",conditional,high,77,77,77,1,N,,,,yes,private_individual,,
p0491_35556036091957_K057,United States Geological Survey,agency,federal agency reviewer,neutral,high,78,78,78,1,N,,,,no,,,
p0491_35556036091957_K050,Paul H. Westedt,official,"Director, Wyoming Recreation Commission",conditional,high,79,81,"79,80,81",3,N,,,,no,,,
p0491_35556036091957_K051,Peter J. McNiff,official,"Chief, Planning Division, Wyoming Recreation Commission",conditional,high,80,80,80,1,Y,p0491_35556036091957_R019,82,other,no,,,
p0491_35556036091957_K058,Wyoming Recreation Commission,agency,state agency commenter,conditional,high,80,80,80,2,N,,,,no,,,
p0491_35556036091957_K047,Mazamas,organization,"outdoor recreation organization, commenter on draft EIS",conditional,high,82,82,82,1,N,,,,yes,quote_not_verbatim,,
p0491_35556036091957_K034,Carl H. Savit,individual,"President, Society of Exploration Geophysicists",conditional,high,86,86,86,1,N,,,,yes,private_individual,,
p0491_35556036091957_K042,Governor Mike O'Callaghan,official,Governor of Nevada,conditional,high,87,112,"87,112",2,N,,,,no,,,
p0491_35556036091957_K055,State of Nevada,government,state government commenter,conditional,high,87,87,87,1,N,,,,no,,,
p0491_35556036091957_K038,Eleanor Heller,individual,"Chairman, Mazama Conservation Committee",conditional,high,89,89,89,1,N,,,,yes,private_individual,,
