# doc_id: p1074_35556036543080
# work_id: 
# title: Boston demolition plan : environmental impact statement.
# pass: blind
# source: run_manifest.json
# artifact_stage: v1
# grade options: correct|minor_issue|wrong|cant_tell
# BLIND PASS (MCAL_PLAN 7 Q5). critic_verdict is deliberately ABSENT and your_notes is deliberately EMPTY. Grade from extracted_value, quote and source_pages only. Do not open the reveal sheet until this one is finished: the human grade and the Critic verdict must be independent, because their agreement is what fits the conformal thresholds.
# page numbers are EXACT (from per-page JSON source).
# quote_verified: yes = quote located on the cited page +/-2 (OCR-normalized, mcal/quote_check.py); mixed = partially supported; no = not located.
# your_failure_tag: one tag from the tags[<field>] line below matching this row's field, or blank if your_grade is 'correct'. Leave blank rather than guessing -- an untagged defect is a signal that the taxonomy needs a new code.
# soi_useful (yes|no): fill ONCE, on the summary_of_interest row. Did summary_of_interest tell you something the standard summary.* fields did not? An empty summary_of_interest is a correct result for a routine document, so 'no' on an empty list is not a criticism of the field.
# extracted_value and quote are NOT truncated (MCAL_PLAN 6 acceptance item 4: gradable without opening another file).
# tags[title]: T04_undefined_acronym
# tags[year]: T11_year_ocr_error
# tags[eis_type]: T12_eis_type_confused_with_rod
# tags[lead_agency]: T04_undefined_acronym, T05_commenter_mislabeled_as_cooperator
# tags[summary.overview]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.project_description]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.affected_community]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.alternatives_overview]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.environmental_impact]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.public_response]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary_of_interest]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T17_manufactured_salience, T18_salience_duplicates_summary, T19_scope_qualifier_dropped
# tags[alternatives]: T01_missing_citation, T03_outside_text_fabrication, T04_undefined_acronym, T10_alternatives_chapter_missed
# tags[themes]: T03_outside_text_fabrication, T04_undefined_acronym
# tags[location]: T01_missing_citation, T03_outside_text_fabrication, T04_undefined_acronym, T06_geocode_missing, T07_geocode_wrong_specificity, T08_scope_misclassified_national, T09_multi_site_partial_geocode, T14_regional_scope_underspecified
# tags[key_people]: T01_missing_citation, T03_outside_text_fabrication, T04_undefined_acronym, T05_commenter_mislabeled_as_cooperator, T13_pre_1978_nepa_format, T20_role_bucket_underpopulated

field,extracted_value,quote,source_pages,quote_verified,model_confidence,your_grade,your_failure_tag,your_notes,soi_useful
title,Boston demolition plan : environmental impact statement.,"[p.1, 2, 3] Environmental Impact Statement for the Clearance of Unsafe Buildings Community Development Block Grant Program office of Community Development City of Boston","1, 2, 3",yes,composite=0.850,,,,
year,1975,"[p.1, 2, 3] January 5, 1976","1, 2, 3",yes,composite=0.650,,,,
eis_type,Final,"[p.1, 2, 3] FINAL Environmental Impact Statement for the Clearance of Unsafe Buildings","1, 2, 3",yes,composite=1.000,,,,
lead_agency,"[""Department of Housing and Urban Development""]","[p.1, 2, 3] Issuing Agency: City of Boston Office of Community Development","1, 2, 3",yes,composite=0.650,,,,
summary.overview,"The City of Boston proposes to demolish about 900 abandoned residential buildings — roughly 2,750 dwelling units, mostly wood-frame triple-deckers and brick rowhouses — across seven Little City Hall neighborhoods (Roxbury, Dorchester, Jamaica Plain, South Boston, Franklin Field, Uphams Corner, and Mattapan) over two years, funded by a federal Community Development Block Grant. The affected neighborhoods are low- and moderate-income areas with aging pre-1930 housing, high rates of abandonment tied to the collapse of the BBURG mortgage program, and clusters of historic properties, including several listed on the National Register of Historic Places. The environmental impact statement (EIS) considers three alternatives — rehabilitation, boarding (sealing windows and doors), and no action — and rejects rehabilitation as viable for only about 2 percent of the 1,145 abandoned buildings surveyed. The main unavoidable impacts are short-term dust, noise, and traffic at each site (about two days per demolition), roughly 562,500 cubic yards of debris to be sent to state-approved landfills or the RESCO incinerator in Saugus, possible harm to nearby historic buildings, and rat displacement — offset by removal of fire and safety hazards and about 91,800 man-hours of demolition employment. Environmental Protection Agenty (EPA) rated the draft adequate with no objections, but Massachusetts Department of Environmental Quality Engineering (DEQE) called the air, water, and solid waste sections inadequate, and the Dorchester Historical Society warned that no adequate historical inventory exists for the affected areas.",,,,composite=0.400,,,,
summary.project_description,"The City of Boston proposes to demolish 900 abandoned and unsafe residential buildings — about 2,750 dwelling units, averaging 2.5 units per building — over two years under Phases II and III of its Clearance of Unsafe Buildings program, funded by a federal Community Development Block Grant. Most are wood-frame triple-deckers (about 60 percent wood frame and clapboard, another 2 percent wood frame with asbestos shingles); the remainder are brick or masonry. Licensed wreckers under contract to the Building Department will exterminate rodents, cap utilities, raze each structure, remove debris, and grade the vacant lot; each demolition takes about three workers 2.5 days. The program is budgeted at roughly $1.6 million for FY 1975-1976 and will clear approximately 61.44 acres of former residential land.","[p.3, 11, 25, 27, 115, 163] The Clearance of Unsafe Buildings Program is an intensive two-year effort to demolish approximately 1100 residential buildings","3, 11, 25, 27, 115, 163",yes,composite=0.850,,,,
summary.affected_community,"The demolitions are concentrated in seven Little City Hall neighborhoods — Roxbury, Dorchester, Jamaica Plain, South Boston, Franklin Field, Uphams Corner, and Mattapan — with about half the buildings located in Roxbury alone. These are largely low- and moderate-income areas: Roxbury is roughly 79 percent Black with average 1970 incomes near $6,300 and more than double the state unemployment rate, and about a quarter of families in Mission Hill and West Broadway earned under $5,000 in 1970. Several neighborhoods experienced rapid racial transition tied to the BBURG bank mortgage program; for example, Wellington Hill in Mattapan went from 4 Black residents in 1960 to over 4,000 in 1970. The affected areas also contain many historically significant buildings, including several National Register properties in Highland Park and landmarks such as the Alvah Kittredge House, Loring-Greenough House, James Blake House, Shirley-Eustis House, and William Lloyd Garrison House.","[p.3, 25, 38, 39, 56, 68, 175, 178, 203] Unemployment is another critical concern for Roxbury which suffers more than double the already very high state unemployment rate. Where residents are employed, earning is still low; residents earned an average income of about $6,300 in 1970.","3, 25, 38, 39, 56, 68, 175, 178, 203",yes,composite=0.400,,,,
summary.alternatives_overview,"The environmental impact statement (EIS) considers three alternatives to demolition: rehabilitating the abandoned buildings, boarding them up (sealing windows and doors to prevent vandalism), and taking no action. Rehabilitation is judged not viable across the program because only 23 of the 1,145 abandoned buildings identified in the January 1975 windshield survey — about 2 percent — are in good condition, boarded, and located in an area with recent housing reinvestment. Boarding is already separately funded ($312,500 allocated in the Community Development Block Grant (CDBG) budget, more than the roughly $289,500 estimated to board all 193 buildings needing it at $1,500 each), so no money would need to shift from demolition. Under 'no action,' fire and safety hazards would persist and program benefits such as rat control, open space, and demolition jobs would be lost. Cleared small lots (under 5,000 square feet) would be eligible for the City's REVIVAL program, which lets abutting homeowners buy or lease the empty lot for a yard or garden but bars new construction for seven years.","[p.13, 74, 152, 153] Possible alternatives discussed here include: taking no action, rehabilitating the abandoned buildings and boarding program.","13, 74, 152, 153",yes,composite=1.000,,,,
summary.environmental_impact,"The main unavoidable adverse effects are short-term traffic congestion, dust, and noise at each demolition site, along with longer-term changes to neighborhood character and committed landfill capacity. Without dust control, the program would release about 423 tons of fugitive dust over two years; continuous water spraying is expected to cut particulate emissions by at least 80 percent, though roughly 10 percent of the remaining particles are respirable (10 microns or smaller, small enough to reach the lungs). Demolition noise measured at 50 feet ranged from 78–86 L10 dB(A), which could exceed Boston's construction-noise limit of 75 dB(A) L10 by as much as 6 dB(A) and expose residents to elevated noise for one to three weeks per block. About 562,500 cubic yards (135,000 tons) of debris — roughly double the Boston Building Department's usual annual load of 67,000 tons — must go to one of four state-approved private landfills or the RESCO incinerator in Saugus. Rats would be displaced into neighboring houses unless each building is exterminated with an approved rodenticide (zinc phosphide, warfarin, or ANTU) two to three weeks before leveling. Historic buildings could be harmed directly or isolated from their architectural context, triggering the Section 106 review (a federal historic-preservation consultation with the State Historic Preservation Officer and the Advisory Council on Historic Preservation). Asbestos boiler insulation, where friable (crumbly enough to become airborne), must be removed by hand before demolition.","[p.3, 80, 86, 90, 93, 101, 103, 112, 113, 132, 151, 162, 164, 220] The noise ranged from 78-86 L_{10}dB(A)","3, 80, 86, 90, 93, 101, 103, 112, 113, 132, 151, 162, 164, 220",yes,composite=0.650,,,,
summary.public_response,"Written responses to the draft environmental impact statement (EIS) were mixed. Environmental Protection Agenty (EPA) had no objections and rated the statement 'LO-1' (adequate); HEW found the impacts adequately addressed; and the Department of the Interior called it 'a well done environmental statement' but asked for added attention to archaeology, erosion control, sealing of wells and cisterns, pigeon displacement, and specific historic sites such as the Dillaway-Thomas, Shirley-Eustis, and Garrison houses. Massachusetts Department of Environmental Quality Engineering (DEQE), by contrast, found the draft inadequate on air quality, water quality, and solid waste, calling one section 'extremely simplistic' and correcting references such as the applicable landfill statute (Section 150A, not 105A, of Chapter 111). The Boston Redevelopment Authority and the Boston Air Pollution Control Commission supported the program, while the Dorchester Historical Society warned that no suitable historic inventory exists for the affected areas and that some buildings slated for demolition likely qualify for the National Register. Community-level concerns reported in the document include Mission Hill residents' opposition to further institutional encroachment on Parker Hill open space and on 23 acres of vacant 'land-banked' parcels in Back of the Hill, and the possibility that residents of transitional neighborhoods may see demolition as treating only the symptoms of decline.","[p.52, 122, 197, 200, 201, 202, 204, 205, 206, 208, 215] we find this a well done environmental statement","52, 122, 197, 200, 201, 202, 204, 205, 206, 208, 215",yes,composite=0.600,,,,
