# doc_id: p1074_35556038322269
# work_id: csv:35556038322269
# title: Los Angeles regional core transit system improvements alternatives analysis : environmental impact statement.
# n_commenters: 95
# n_complaints: 115
# n_responses: 7
# grade options: correct|minor_issue|wrong|cant_tell
# stance vocab: in_favor|opposed|conditional|neutral
# kind vocab: individual|official|organization|agency|tribe|government|other
# response_pages: resolved by searching source per-page JSON for the response opening_anchor; '?' means anchor did not match any page.

complainer_id,entity,kind,role,stance,stance_confidence,comment_pages_from,comment_pages_to,comment_pages_all,n_complaints,responded,response_ids,response_pages,response_agency,needs_human_review,human_review_reasons,your_grade,your_notes
p1074_35556038322269_K018,Secretary of the United States Department of Transportation,official,Federal cabinet official,neutral,medium,1,1,1,1,N,,,,yes,quote_not_verbatim,,
p1074_35556038322269_K006,County of Los Angeles,government,Local government; IACC participant,neutral,medium,11,21,"11,21",2,N,,,,no,,,
p1074_35556038322269_K002,California Department of Transportation (CalTrans),agency,State transportation agency; study funder and IACC participant,neutral,medium,17,17,17,2,N,,,,no,,,
p1074_35556038322269_K019,Southern California Association of Governments (SCAG),organization,Regional planning organization providing socio-economic and land use projections,neutral,medium,21,21,21,4,N,,,,no,,,
p1074_35556038322269_K012,Los Angeles Department of Water and Power,agency,"municipal utility, commenter on electric power impacts",neutral,medium,30,30,30,1,N,,,,no,,,
p1074_35556038322269_K036,Traffic Department of the City of Los Angeles,agency,City traffic management agency,neutral,medium,60,60,60,1,N,,,,no,,,
p1074_35556038322269_K024,California State Legislature,government,State legislative body,neutral,medium,67,67,67,1,N,,,,no,,,
p1074_35556038322269_K032,SCRTD,agency,Transit agency providing transit system data input for alternatives,neutral,medium,67,67,67,3,N,,,,no,,,
p1074_35556038322269_K028,Los Angeles Regional Transportation Study (LARTS),organization,Branch of CalTrans conducting travel pattern analyses,neutral,medium,68,68,68,1,N,,,,no,,,
p1074_35556038322269_K030,Rapid Transit Advisory Committee (RTAC),organization,Advisory committee guiding transit planning,neutral,medium,68,68,68,1,N,,,,no,,,
p1074_35556038322269_K033,SCRTD Board of Directors,agency,Governing board of SCRTD,neutral,medium,68,68,68,1,N,,,,no,,,
p1074_35556038322269_K035,Technical Advisory Committee (TAC),organization,Advisory committee for transit planning,neutral,medium,68,68,68,1,N,,,,no,,,
p1074_35556038322269_K025,CalTrans,agency,State transportation agency providing highway system information and modifying line speed data,neutral,medium,69,103,"69,103",2,N,,,,no,,,
p1074_35556038322269_K026,Community Redevelopment Agency (CRA),agency,Agency that made patronage estimates for the Downtown People Mover,neutral,medium,70,70,70,2,N,,,,no,,,
p1074_35556038322269_K038,U.S. Secretary of Transportation,official,U.S. Secretary of Transportation,conditional,medium,70,70,70,1,N,,,,yes,quote_not_verbatim,,
p1074_35556038322269_K034,State of California,government,State government,neutral,medium,71,71,71,1,N,,,,yes,quote_not_verbatim,,
p1074_35556038322269_K039,United States Government,government,Federal government,conditional,medium,71,71,71,2,N,,,,yes,quote_not_verbatim,,
p1074_35556038322269_K037,U.S. Department of Transportation,agency,Federal transportation department,neutral,medium,72,72,72,2,N,,,,no,,,
p1074_35556038322269_K031,SCAG,organization,Regional planning organization that adopted a 6% mode split target for transit in 1990,conditional,medium,73,103,"73,103",3,N,,,,no,,,
p1074_35556038322269_K029,President Carter,official,U.S. President,in_favor,medium,74,74,74,1,N,,,,no,,,
p1074_35556038322269_K043,LARTS,agency,Branch of CalTrans responsible for patronage projections using UMTA/UTPS models,neutral,medium,103,109,"103,108,109",3,N,,,,no,,,
p1074_35556038322269_K047,SCRTD's Bus Planning Section,agency,Section with West Los Angeles bus route/headway recommendations under consideration,neutral,medium,107,107,107,1,N,,,,no,,,
p1074_35556038322269_K046,SCRTD Bus Planning Department,agency,Department coordinating interface between DPM and downtown L.A. bus system,neutral,medium,110,110,110,1,N,,,,no,,,
p1074_35556038322269_K042,L.A. City Traffic Department,agency,Agency estimating operational speeds for express buses in Alternative VII,neutral,medium,113,113,113,1,N,,,,no,,,
p1074_35556038322269_K040,CalTrans/CHP,agency,Agency whose safety requirements limit load factor for freeway buses mixed with carpools,neutral,medium,121,121,121,1,N,,,,no,,,
p1074_35556038322269_K045,Los Angeles City Traffic Department,agency,Agency conducting traffic forecasting and congestion analysis for the alternatives,neutral,medium,128,129,"128,129",1,N,,,,no,,,
p1074_35556038322269_K053,Dr. Sieh,individual,researcher/scientist (paleoseismologist),neutral,medium,145,145,145,1,N,,,,yes,private_individual,,
p1074_35556038322269_K058,NOAA,agency,source of seismic intensity estimates,neutral,low,146,146,146,1,N,,,,yes,low_stance_confidence,,
p1074_35556038322269_K049,California Division of Oil and Gas,agency,source of oil field data,neutral,medium,148,148,148,1,N,,,,no,,,
p1074_35556038322269_K062,U.S. Fish and Wildlife Services,agency,source of rare and endangered animal species list,neutral,medium,148,148,148,1,N,,,,no,,,
p1074_35556038322269_K048,California Air Resources Board,agency,source of emission factors; determiner of SO2 standard violations,neutral,low,157,157,157,2,N,,,,yes,low_stance_confidence,,
p1074_35556038322269_K061,U.S. Environmental Protection Agency,agency,source of emission factors,neutral,low,157,157,157,1,N,,,,yes,low_stance_confidence,,
p1074_35556038322269_K052,City Traffic Department,agency,provider of traffic volume data for CO analysis,neutral,low,159,166,"159,166",2,N,,,,yes,low_stance_confidence,,
p1074_35556038322269_K051,City Department of Water and Power,agency,advisor on electric power supply for rail transit,neutral,medium,165,165,165,1,N,,,,no,,,
p1074_35556038322269_K059,Timothy J. Healy,individual,researcher/author of BART energy study for Caltrans,neutral,medium,165,165,165,1,Y,p1074_35556038322269_R001,165,other,yes,private_individual,,
p1074_35556038322269_K056,Los Angeles City Community Analysis Bureau,agency,source of median family income data,neutral,low,179,179,179,1,N,,,,yes,low_stance_confidence,,
p1074_35556038322269_K068,Los Angeles Police Department,agency,"municipal police department, commenter on crime impacts",conditional,medium,194,194,194,1,Y,p1074_35556038322269_R002,196,Southern California Rapid Transit District,no,,,
p1074_35556038322269_K067,Los Angeles City Police Department,agency,"municipal police department, commenter on security staffing needs",conditional,medium,195,195,195,2,Y,p1074_35556038322269_R003,196,other,no,,,
p1074_35556038322269_K066,Los Angeles City Fire Department,agency,"municipal fire department, commenter on fire protection impacts",conditional,medium,196,196,196,2,Y,p1074_35556038322269_R004;p1074_35556038322269_R005,196;197,other,no,,,
p1074_35556038322269_K064,DWP,agency,"Los Angeles Department of Water and Power, commenter on power requirements",neutral,medium,203,203,203,1,N,,,,no,,,
p1074_35556038322269_K063,American Public Transit Association,organization,"industry association, participant in safety criteria development",neutral,medium,206,206,206,1,N,,,,no,,,
p1074_35556038322269_K069,UMTA,agency,"Urban Mass Transportation Administration, participant in safety criteria development",neutral,medium,206,206,206,1,N,,,,no,,,
p1074_35556038322269_K076,Federal Highway Administration,agency,Federal highway and transportation funding source,neutral,medium,242,242,242,1,N,,,,no,,,
p1074_35556038322269_K079,State Department of Transportation,agency,California state transportation agency,conditional,medium,243,243,243,2,N,,,,no,,,
p1074_35556038322269_K078,Southern California Association of Government,organization,"Regional planning organization, author of RTDP report",in_favor,medium,248,248,248,1,N,,,,no,,,
p1074_35556038322269_K071,California State Historic Preservation Office,agency,State historic preservation authority,neutral,medium,255,255,255,1,N,,,,no,,,
p1074_35556038322269_K074,Dr. Charles Rozaire,individual,Los Angeles County Museum of Natural History archaeologist,neutral,medium,256,256,256,1,N,,,,yes,private_individual;quote_not_verbatim,,
p1074_35556038322269_K077,SCRTD's engineering staff,agency,Engineering staff of Southern California Rapid Transit District,opposed,medium,263,263,263,1,Y,p1074_35556038322269_R006,263,other,no,,,
p1074_35556038322269_K070,Archeological Resources Management Corporation,organization,Consultant that prepared paleontological resources report,neutral,medium,264,264,264,1,N,,,,no,,,
p1074_35556038322269_K081,Building Industry Associates,organization,Regional organization participating in Community Participation Program,neutral,medium,291,291,291,1,N,,,,no,,,
p1074_35556038322269_K082,Chambers of Commerce,organization,Business organizations in the Regional Core,conditional,medium,291,291,291,1,N,,,,no,,,
p1074_35556038322269_K085,League of Women Voters,organization,Regional organization participating in Community Participation Program,neutral,medium,291,291,291,1,N,,,,no,,,
p1074_35556038322269_K092,SCRTD staff,agency,Transit district staff assisting with community meetings,neutral,medium,291,291,291,1,N,,,,no,,,
p1074_35556038322269_K084,L. A. City Council members,official,Elected officials representing Regional Core districts,neutral,medium,292,292,292,1,N,,,,no,,,
p1074_35556038322269_K086,Los Angeles City Boards and Commissions,agency,City boards and commissions briefed on the project,neutral,medium,292,292,292,1,N,,,,no,,,
p1074_35556038322269_K083,Hollywood community groups,organization,Community groups in the Hollywood area,conditional,medium,293,293,293,1,Y,p1074_35556038322269_R007,293,other,no,,,
p1074_35556038322269_K094,State Cultural Heritage Preservation Office,agency,State agency consulted on cultural-historic resource impacts,neutral,medium,293,293,293,1,N,,,,no,,,
p1074_35556038322269_K001,Byron Cook,official,"President, Board of Directors, SCRTD; IACC member",neutral,low,18,18,18,1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556038322269_K003,City of Los Angeles,government,Local government / plan area authority,neutral,low,30,72,"30,72",1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556038322269_K004,Councilman John Ferraro,official,"City Council member, City of Los Angeles; IACC member",neutral,low,18,18,18,1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556038322269_K005,Councilwoman Pat Russell,official,"Chairperson, City Council Transportation Committee; IACC member",neutral,low,18,18,18,1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556038322269_K007,Dee Jacobs,official,"Regional Director, UMTA; IACC member",neutral,low,18,18,18,1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556038322269_K008,Deputy Mayor Ray Remy,official,"Deputy Mayor, City of Los Angeles; IACC member",neutral,low,18,18,18,1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556038322269_K009,Gerald Leonard,official,"Chairman, Rapid Transit Committee, SCRTD; IACC member",neutral,low,18,18,18,1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556038322269_K010,Jerome Premo,official,"Executive Director, Los Angeles County Transportation Commission; IACC member",neutral,low,18,18,18,1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556038322269_K011,Los Angeles County Transportation Commission (LACTC),agency,Member of Interagency Technical Committee Marketing Sub-Committee,neutral,low,17,292,"17,71,246,292",1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556038322269_K013,Mark Pisano,official,"Executive Director, Southern California Association of Governments; IACC member",neutral,low,18,18,18,1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556038322269_K014,Marvin Holen,official,"President, Board of Directors, SCRTD; IACC member",neutral,low,18,18,18,1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556038322269_K015,Mayor Tom Bradley,official,"Mayor, City of Los Angeles; IACC member",neutral,low,18,18,18,1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556038322269_K016,O.L. Homme,official,"Division Administrator, Federal Highway Administration; IACC member",neutral,low,18,18,18,1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556038322269_K017,Robert Datel,official,"District Director, California Department of Transportation (CalTrans); IACC member",neutral,low,18,18,18,1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556038322269_K020,Southern California Rapid Transit District (SCRTD),organization,Transit planning and operating agency,neutral,low,1,64,"1,64",1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556038322269_K021,Thomas Neusom,official,"Chairman, Rapid Transit Committee, SCRTD; IACC member",neutral,low,18,18,18,1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556038322269_K022,Urban Mass Transportation Administration,agency,Federal co-lead agency for the AA/EIS/EIR,neutral,low,14,242,"14,74,242",1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556038322269_K023,W.E. Schaefer,official,"Chief, Div. of Transportation Planning, CalTrans; IACC member",neutral,low,18,18,18,1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556038322269_K027,Los Angeles Metropolitan Transit Authority (LAMTA),agency,Predecessor transit authority,neutral,low,67,67,67,1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556038322269_K041,"Hoey, W.F.",individual,Author of 'Bus Capacity Analysis' cited in Transportation Research Record 548,neutral,low,130,130,130,1,N,,,,yes,private_individual;quote_not_verbatim;low_stance_confidence;no_complaints,,
p1074_35556038322269_K044,"Levinson, H.S.",individual,Author of 'Bus Capacity Analysis' cited in Transportation Research Record 548,neutral,low,130,130,130,1,N,,,,yes,private_individual;quote_not_verbatim;low_stance_confidence;no_complaints,,
p1074_35556038322269_K050,California Native Plant Society,organization,source of rare and endangered plant list,neutral,low,148,148,148,1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556038322269_K054,Jeffrey Druyun,official,"Acting Oil Administrator, City of Los Angeles",neutral,low,150,150,150,1,N,,,,yes,quote_not_verbatim;low_stance_confidence;no_complaints,,
p1074_35556038322269_K055,Jet Propulsion Laboratory,organization,source of study on energy savings from dipped subway profile,neutral,low,165,165,165,1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556038322269_K057,Los Angeles City Planning Department,agency,"source of population, housing, and employment data",neutral,low,191,191,191,1,N,,,,yes,quote_not_verbatim;low_stance_confidence;no_complaints,,
p1074_35556038322269_K060,U.S. Census Bureau,agency,source of urbanized area population density data,neutral,low,174,174,174,1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556038322269_K065,L.A. City Planning Department,agency,source of school facilities data,neutral,low,198,198,198,1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556038322269_K072,City Planning Department,agency,Source for archaeological sites and historic landmarks list,neutral,low,256,256,256,1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556038322269_K073,Dr. C. W. Meighan,individual,Archaeologist who recorded site LAn-7 in 1951,neutral,low,255,255,255,1,N,,,,yes,private_individual;low_stance_confidence;no_complaints,,
p1074_35556038322269_K075,Dr. Robert F. Heizer,individual,Archaeologist who recorded Rancho La Brea deposits,neutral,low,259,259,259,1,N,,,,yes,private_individual;low_stance_confidence;no_complaints,,
p1074_35556038322269_K080,State Historical Preservation Office,agency,Source for archaeological sites and historic landmarks list,neutral,low,256,256,256,1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556038322269_K087,Los Angeles City Planning staff,agency,City planning staff conducting community meetings,neutral,low,291,291,291,1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556038322269_K088,Los Angeles Community Redevelopment Agency,agency,Member of Interagency Technical Committee Marketing Sub-Committee,neutral,low,292,292,292,1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556038322269_K089,Los Angeles County Employees Association (LACEA),organization,Regional organization participating in Community Participation Program,neutral,low,291,291,291,1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556038322269_K090,Los Angeles County Organization for Economic Development Program (OEDP),organization,Regional organization participating in Community Participation Program,neutral,low,291,291,291,1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556038322269_K091,Los Angeles NAACP,organization,Regional organization participating in Community Participation Program,neutral,low,291,291,291,1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556038322269_K093,Sierra Club,organization,Regional organization participating in Community Participation Program,neutral,low,291,291,291,1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556038322269_K095,Urban League,organization,Regional organization participating in Community Participation Program,neutral,low,291,291,291,1,N,,,,yes,low_stance_confidence;no_complaints,,
