# doc_id: p1074_35556037530615
# work_id: 29e993fd-c646-46b9-b599-e0fe041c5f14
# title: Motorcycle noise emission regulations : environmental impact statement.
# grade options: correct|minor_issue|wrong|cant_tell
# page numbers are ESTIMATED from char offsets at 2500 chars/page

field,extracted_value,source_pages,critic_verdict,model_confidence,your_grade,your_notes
title,Motorcycle noise emission regulations : environmental impact statement.,NUL,PASS_WITH_NOTE,high,,"The extracted title is plausible and well-formed for an Environmental Impact Statement document. However, no cited page text was provided to verify the extraction, and only a single source (NUL) was used. Confidence is medium due to the lack of corroborating text or a second source."
year,2026,"NUL, regex (first 3 pages)",HUMAN_REVIEW,low,,"The extracted year of 2026 fails the validity range check as it exceeds the current year. The regex extraction from the first 3 pages yields 1980, which is a plausible EIS publication year and falls within the valid range. No cited page text was provided to adjudicate between the two values. A huma…"
eis_type,Draft,Sonnet (first 2 pages),HUMAN_REVIEW,medium,,"The extracted value of 'Draft' is a valid EIS type, but confidence is undermined by the absence of any cited page text or evidence phrase to corroborate the classification. Additionally, only one extraction method (Sonnet) is listed with no regex confirmation, making cross-validation impossible. Hu…"
lead_agency,"[""United States. Environmental Protection Agency""]",NUL,PASS,high,,"The single extracted agency is cleanly named and sourced from NUL contributors. No cited title pages were provided for cross-verification, which slightly limits confidence, but the extraction appears well-formed. No joint-lead or role-text issues detected."
summary.project_description,"The U.S. EPA's Office of Noise Abatement and Control proposes federal noise emission regulations for newly manufactured street and off-road motorcycles, mopeds, and motorcycle replacement exhaust systems under the Noise Control Act. The rule sets a phased standard reaching 78 dB(A) by 1985 for street and small off-road motorcycles, 82 dB(A) by 1983 for larger off-road motorcycles, and 70 dB(A) for mopeds, measured under newly developed test procedures. It also establishes a one-year Acoustical Assurance Period, labeling requirements, and an enforcement program covering production verification…","1-51, 49-99, 97-147, 145-195, 193-211",PASS_WITH_NOTE,high,,"The extraction is highly accurate and well-supported by the cited pages. Two minor details—the '10-20 million extra gallons per year' fuel aggregate and '7,000-8,000 franchised dealers'—are not direc…"
summary.affected_community,"The rule affects urban, suburban, and rural residents exposed to motorcycle noise—an estimated 1.7 million daily outdoor speech-interference events from street motorcycles and roughly 1–2 million people impacted daily by off-road motorcycles across more than 33,000 square miles. Motorcycle operators and passengers themselves face ear-level sound exposures near 100–105 dB(A), posing hearing-loss risks. Industry stakeholders include major Japanese manufacturers, AMF/Harley-Davidson (with about 3,000 jobs in Milwaukee and York, PA), smaller European and U.S. makers, over 100 aftermarket exhaust …","1-51, 49-99, 97-147, 145-195, 193-211",PASS_WITH_NOTE,high,,
summary.alternatives_overview,"EPA evaluated taking no action, requiring labeling only, or setting standards at study levels of 86, 83, 80, 78, or 75 dB(A), with parallel options for off-road motorcycles and a two-class split at 170 cc, plus normal versus accelerated lead times from 1979 to 1991. Replacement exhaust systems and competition motorcycles were each considered for full regulation versus labeling only, and non-EPA strategies such as sales limits and pollution taxes were also reviewed. EPA rejected 75 dB(A) as not achievable with best available technology and 80 dB(A) as insufficient, selecting 78 dB(A) for stree…","1-51, 49-99, 97-147, 145-195, 193-211",PASS_WITH_NOTE,high,,
summary.environmental_impact,"The proposed standards are projected to reduce street motorcycle outdoor speech interference by 55–75% and sleep disturbance by 50–65%, and to cut noise-impacted off-road area by 25–35% (about 80,000–115,000 square miles). Side effects include a 5–10% fuel economy penalty (10–20 million extra gallons per year), possible power loss up to 15%, and modest weight increases, while water quality, solid waste, and air emissions impacts are minor and wildlife may benefit slightly. Motorcycle prices are expected to rise 7–10%, with annualized industry costs near $200 million and possible loss of 3,000…","1-51, 49-99, 97-147, 145-195",PASS_WITH_NOTE,high,,
summary.public_response,"EPA conducted extensive outreach with every state, numerous local governments, environmental and user groups, manufacturers, dealers, and federal agencies including the Forest Service, BLM, and DOT, and distributed advance copies of the draft rule for comment. State and local officials broadly urged EPA to set federal standards, citing difficulty enforcing in-use and land-use restrictions, while attitudinal surveys consistently ranked motorcycles as a top noise annoyance and federal land managers identified trail motorcycles as their most urgent off-road recreational vehicle problem. Some Eur…","1-51, 49-99, 97-147, 145-195, 193-211",PASS_WITH_NOTE,high,,
alternatives,"[{""name"": ""Federal New Product Noise Standard"", ""description"": ""Establishment of a Federal noise emission standard for new motorcycles, setting not-to-exceed sound level limits measured by the F-76a test procedure. Multiple regulatory study levels were analyzed (75, 78, 80, and 83 dB(A)) with various effective dates."", ""source_pages"": [""25-104""]}, {""name"": ""Alternatives to Federal Regulation"", ""d…",25-104,HUMAN_REVIEW,high,,"The cited source page (25-104) is not present in the provided text excerpt, which only covers Sections 2 and 3 of the document. While the table of contents briefly references 'Section 10. Alternatives to Federal Regulation' and a 'Federal new product standard,' the actual content of page 25-104 can…"
themes,"{""themes"": [""Governance and Institutional Control"", ""Transportation Infrastructure""], ""subthemes"": [""Environmental Regulation and Policy"", ""Mobility Networks and Connectivity"", ""Infrastructure Impacts on Landscapes""]}",summary,HUMAN_REVIEW,high,,"No cited page text was provided, making it impossible to verify that the document summary supports the chosen themes and subthemes. The count ranges are satisfied, but the core evidentiary check fails due to missing source material. A human reviewer should confirm the taxonomy names and subtheme as…"
location,"{""places"": [{""name"": ""Washington, D.C."", ""kind"": ""point"", ""state"": null}], ""is_multi_site"": false, ""geocoded"": [{""name"": ""Washington, D.C."", ""lat"": 38.895098, ""lon"": -77.036385, ""address"": ""Washington, District of Columbia, United States""}]}",1-30,PASS_WITH_NOTE,low,,"The extraction correctly identifies Washington, D.C. as the only named place in the document, which serves solely as the issuing agency's address. The extractor's note accurately characterizes this as a nationwide federal rulemaking EIS with no discrete geographic project area. The low confidence f…"
key_people.agency_preparers,"[{""name"": ""Scott Edwards"", ""role"": ""Program Manager-Motorcycles, Office of Noise Abatement and Control""}]",1-30,PASS,high,,"All extracted values are directly supported by the cited text. Scott Edwards is confirmed as the contact/program manager for motorcycles at ONAC, and all five cooperating agencies are listed verbatim…"
key_people.cooperating_agencies,"[{""name"": ""U.S. Forest Service (Department of Agriculture)""}, {""name"": ""U.S. Bureau of Land Management (Department of Interior)""}, {""name"": ""Department of Transportation""}, {""name"": ""National Bureau of Standards (Department of Commerce)""}, {""name"": ""Department of the Treasury""}]",1-30,PASS,high,,
key_people.public_commenters,[],,PASS,high,,
