# doc_id: p1074_35556039563135
# work_id: csv:35556039563135
# title: Lincoln Hwy upgrade from Cicero Ave. to Chicago Road, Cook County : environmental impact statement.
# n_commenters: 131
# n_complaints: 164
# n_responses: 54
# grade options: correct|minor_issue|wrong|cant_tell
# stance vocab: in_favor|opposed|conditional|neutral
# kind vocab: individual|official|organization|agency|tribe|government|other
# response_pages: resolved by searching source per-page JSON for the response opening_anchor; '?' means anchor did not match any page.

complainer_id,entity,kind,role,stance,stance_confidence,comment_pages_from,comment_pages_to,comment_pages_all,n_complaints,responded,response_ids,response_pages,response_agency,needs_human_review,human_review_reasons,your_grade,your_notes
p1074_35556039563135_K007,Deputy Administrator,official,"FHWA Deputy Administrator, issuing Section 4(f) determination",in_favor,high,1,1,1,1,N,,,,no,,,
p1074_35556039563135_K021,Office of Environmental Policy,agency,FHWA office reviewing Section 4(f) statement,in_favor,medium,1,1,1,1,N,,,,no,,,
p1074_35556039563135_K022,Office of the Chief Counsel,agency,FHWA office reviewing Section 4(f) statement,conditional,medium,1,3,"1,3",2,Y,p1074_35556039563135_R001,3,Office of the Chief Counsel,no,,,
p1074_35556039563135_K004,Bruce Blanchard,official,"Director, Office of Environmental Project Review, Department of the Interior",in_favor,medium,2,2,2,1,N,,,,no,,,
p1074_35556039563135_K015,Donald E. Trull,official,"Regional Administrator, FHWA, Homewood, Illinois",in_favor,high,6,6,6,1,N,,,,no,,,
p1074_35556039563135_K029,W. G. EMRICH,official,"Director, Office of Environment and Design, FHWA",in_favor,high,6,6,6,1,N,,,,no,,,
p1074_35556039563135_K006,Department of the Interior,agency,Federal agency reviewing Section 4(f) statement,in_favor,high,7,7,7,1,N,,,,no,,,
p1074_35556039563135_K009,Deputy Assistant Secretary of the Interior,official,"Deputy Assistant Secretary, Department of the Interior",in_favor,high,7,7,7,1,N,,,,no,,,
p1074_35556039563135_K018,Manuel A. Marks,official,"Assistant Division Administrator, FHWA Illinois Division",neutral,high,9,9,9,2,N,,,,no,,,
p1074_35556039563135_K017,Jay W. Miller,official,"Division Administrator / Division Engineer, FHWA Illinois Division",neutral,medium,10,12,"10,11,12",3,N,,,,no,,,
p1074_35556039563135_K079,Village of Olympia Fields,government,Local municipality / early coordination meeting participant,neutral,low,13,13,13,1,N,,,,yes,low_stance_confidence,,
p1074_35556039563135_K003,"Assistant Secretary for Health and Science Affairs, Department of Health, Education & Welfare",official,Federal agency commenter on draft EIS,neutral,low,19,19,19,2,N,,,,yes,low_stance_confidence,,
p1074_35556039563135_K008,"Deputy Assistant Secretary for Environmental Affairs, Department of Commerce",official,Federal agency commenter on draft EIS,neutral,low,19,19,19,2,N,,,,yes,low_stance_confidence,,
p1074_35556039563135_K010,"Deputy Assistant Secretary, Department of the Interior",official,Federal agency commenter on draft EIS,neutral,low,19,19,19,2,N,,,,yes,low_stance_confidence,,
p1074_35556039563135_K016,Illinois Department of Transportation,agency,state transportation agency / project proponent,in_favor,medium,21,31,"21,31",2,N,,,,no,,,
p1074_35556039563135_K037,Village of Park Forest,government,Local municipality / public hearing and draft EIS commenter,conditional,medium,21,21,21,1,N,,,,no,,,
p1074_35556039563135_K001,"Acting Superintendent, Cook County Highway Department",official,Local agency commenter on draft EIS,neutral,low,24,24,24,1,N,,,,yes,low_stance_confidence,,
p1074_35556039563135_K013,"Director, Northeastern Illinois Planning Commission (Metropolitan Clearinghouse)",official,Local agency commenter on draft EIS,neutral,low,24,24,24,1,N,,,,yes,low_stance_confidence,,
p1074_35556039563135_K026,"President, Village of Park Forest",official,Local government commenter on draft EIS,neutral,low,24,24,24,2,N,,,,yes,low_stance_confidence,,
p1074_35556039563135_K005,Cook County Forest Preserve District,organization,Owner of Section 4(f) lands affected by project,neutral,medium,43,43,43,1,N,,,,no,,,
p1074_35556039563135_K033,Natural Resource Development Board,agency,State natural resources review board,in_favor,medium,52,52,52,1,N,,,,no,,,
p1074_35556039563135_K035,State of Illinois Department of Business and Economic Development,agency,State agency reviewer of EIS,neutral,medium,52,52,52,1,N,,,,no,,,
p1074_35556039563135_K030,Chicago Area Transportation Study,agency,Regional transportation planning agency,in_favor,medium,63,63,63,1,N,,,,no,,,
p1074_35556039563135_K034,School District,organization,Chicago Heights School District No. 170,conditional,medium,65,75,"65,75",2,Y,p1074_35556039563135_R002;p1074_35556039563135_R005,67;75,Illinois Department of Transportation;other,no,,,
p1074_35556039563135_K020,Northeastern Illinois Planning Commission (Metropolitan Clearinghouse),agency,Regional planning commission that adopted highway interim plan,conditional,high,70,70,70,2,Y,p1074_35556039563135_R003;p1074_35556039563135_R004,70;71,Illinois Department of Transportation;other,no,,,
p1074_35556039563135_K032,Interstate Planning Committee,agency,"Interstate planning body, NIPC/Northwestern Indiana Regional Planning Commission",in_favor,medium,71,71,71,1,N,,,,no,,,
p1074_35556039563135_K031,City of Chicago Heights Park District,organization,Local park district / early coordination meeting participant,conditional,medium,78,78,78,1,Y,p1074_35556039563135_R006,78,other,no,,,
p1074_35556039563135_K036,"Superintendent of Schools (Chicago Heights, District No. 170, Cook County)",official,School district superintendent,conditional,medium,78,78,78,1,Y,p1074_35556039563135_R007,78,other,no,,,
p1074_35556039563135_K122,Chicago Heights Park District,organization,park district / commenter on Roosevelt School area proposal,neutral,low,78,78,78,1,Y,p1074_35556039563135_R008,78,other,yes,low_stance_confidence,,
p1074_35556039563135_K040,James M. Weigle,individual,U.S. Geological Survey researcher,neutral,medium,105,105,105,1,Y,p1074_35556039563135_R009,106,other,yes,private_individual,,
p1074_35556039563135_K041,U.S. Public Health Service,agency,federal public health authority,neutral,medium,105,105,105,1,Y,p1074_35556039563135_R010,106,other,no,,,
p1074_35556039563135_K038,Illinois Environmental Protection Agency,agency,state environmental regulatory agency,neutral,medium,106,106,106,2,N,,,,no,,,
p1074_35556039563135_K039,Illinois Pollution Control Board,agency,state pollution control regulatory body,neutral,medium,106,106,106,1,N,,,,no,,,
p1074_35556039563135_K057,"Department of Transportation, Office of the Secretary for the Environment and Urban Systems (TEU)",agency,Federal agency / draft EIS commenter,conditional,medium,145,194,"145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194",1,N,,,,yes,quote_not_verbatim,,
p1074_35556039563135_K061,Howard W. Busch,individual,"State Conservationist, USDA Soil Conservation Service",conditional,medium,145,194,"145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194",1,N,,,,yes,private_individual;quote_not_verbatim,,
p1074_35556039563135_K070,Robert Luedner,individual,Director of the Park District for Chicago Heights,neutral,medium,145,168,"145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168",1,Y,p1074_35556039563135_R011,161,"Board of Education District No. 170, Chicago Heights, Illinois",yes,private_individual;quote_not_verbatim,,
p1074_35556039563135_K076,United States Department of the Interior (BOR),agency,Federal agency commenter on Section 4(f) and environmental statement,conditional,medium,145,168,"145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168",1,Y,p1074_35556039563135_R012,159,Illinois Department of Transportation,yes,quote_not_verbatim,,
p1074_35556039563135_K046,Cheker Oil Company,organization,Business / early coordination meeting participant,neutral,low,157,157,157,1,N,,,,yes,low_stance_confidence,,
p1074_35556039563135_K060,Former State Representative Brenne,individual,Former state representative / early coordination meeting participant,neutral,low,157,157,157,1,N,,,,yes,private_individual;low_stance_confidence,,
